Physical Time (s),etp_top Monitor (W): top_cv1,etp_top Monitor (W): top_cv2,etp_top Monitor (W): top_cv3,etp_top Monitor (W): top_cv4,etp_top Monitor (W): top_cv5,etp_top Monitor (W): top_cv6,etp_top Monitor (W): top_cv7
0.2475,2.9151156565183528e-10,-1.0268065240341897e-10,-4.6562826619413597e-10,-5.6409207239900718e-10,-3.8894859852948603e-10,-2.6837843734793854e-10,1.5794096762076911e-10
0.25,1.8423495881100813e-09,8.6233875825246564e-11,2.7029691942221203e-10,-3.7306903673465356e-11,-1.3941163810829714e-10,1.6616871148410871e-10,5.6558457821920345e-10
0.2525,3.0215422629469844e-09,3.0788709069793418e-10,9.6180201455774221e-10,3.5981184812905176e-10,-1.5468260974458104e-11,4.2888349007169599e-10,8.2553707210011935e-10
0.255,3.9242069541131001e-09,5.5150822891361321e-10,1.6033209808201773e-09,6.8341019404297712e-10,4.6319573297077504e-11,4.8537285850156281e-10,8.7119340942000852e-10
0.2575,4.672573677551949e-09,7.9121262126024346e-10,2.173737468386844e-09,9.8015682449988337e-10,1.0640369951658429e-10,3.6514135604566655e-10,7.1600860837113931e-10
0.26,5.3757364662974756e-09,9.876164742510269e-10,2.6311392806421889e-09,1.2669624928502395e-09,2.0570785438728293e-10,1.7144743558347207e-10,4.4460005734635714e-10
0.2625,6.0966137808409974e-09,1.0941341189419719e-09,2.9169253997130787e-09,1.5338212278568744e-09,3.6674954890986783e-10,5.4647815631621001e-11,1.7630083871423787e-10
0.265,6.8382375460217197e-09,1.0688871505112751e-09,2.9742902854591742e-09,1.7578234286395603e-09,5.970850536233185e-10,1.516738194396728e-10,1.8776678996627986e-11
0.2675,7.5468233796125916e-09,8.8713172030065371e-10,2.7698926128660548e-09,1.9159680521990668e-09,8.8671204123361417e-10,5.1699461317131353e-10,2.9047114546496298e-11
0.27,8.1285739676981531e-09,5.5188083553498584e-10,2.310625000488319e-09,1.9920699154189499e-09,1.2005004924795058e-09,1.0832097928468078e-09,1.9529719694324173e-10
0.2725,8.4821131802938388e-09,9.847740556762726e-11,1.6492426873543819e-09,1.9773340172450282e-09,1.4813998755524053e-09,1.6793673673317513e-09,4.4426666137105886e-10
0.275,8.5323241547550162e-09,-4.1219521744626808e-10,8.7290724682901779e-10,1.8720349033723501e-09,1.6661433561461472e-09,2.1043261585803916e-09,6.7144764307148687e-10
0.2775,8.2548877395994445e-09,-9.054656658156614e-10,8.2322434446729025e-11,1.6847372712325278e-09,1.7134733649857043e-09,2.2169010807078064e-09,7.8176867207291591e-10
0.28,7.6761841627979518e-09,-1.3096884204368753e-09,-6.3146118324889257e-10,1.4330137368963876e-09,1.6220455616519887e-09,1.9978861762581666e-09,7.2629032061851082e-10
