Physical Time (s),etp_left Monitor (W)
1.2575,2.3948043671172386e-09
1.26,2.1571609917972233e-09
1.2625,1.9046225746150396e-09
1.265,1.6451164739961308e-09
1.2675,1.3849080191124466e-09
1.27,1.129204431629137e-09
1.2725,8.8302841867724038e-10
1.275,6.5115710824453373e-10
1.2775,4.3832488330300282e-10
1.28,2.5097068204227775e-10
1.2825,9.3626779929921562e-11
1.285,-2.9014732214719792e-11
1.2875,-1.1261830690545654e-10
1.29,-1.5290059129320368e-10
1.2925,-1.4628662436938033e-10
1.295,-8.9973420429179647e-11
1.2975,1.7765998108560784e-11
1.3,1.7726375736861425e-10
1.3025,3.8716765667149525e-10
1.305,6.4508755028293313e-10
1.3075,9.4685207918517711e-10
1.31,1.2872497658387365e-09
1.3125,1.6563968069911548e-09
1.315,2.0456162086289375e-09
1.3175,2.4460152407039523e-09
1.32,2.8484668637478088e-09
1.3225,3.2437587830369129e-09
1.325,3.6231901840459639e-09
1.3275,3.9790908021917734e-09
1.33,4.3049406255220982e-09
1.3325,4.595354743997126e-09
1.335,4.8440669440245755e-09
1.3375,5.0493257150944471e-09
1.34,5.2114051808572816e-09
1.3425,5.3290437525177665e-09
1.345,5.403986267449402e-09
1.3475,5.4379254915610404e-09
1.35,5.4336272649361087e-09
1.3525,5.3941202948717578e-09
1.355,5.322691704532973e-09
1.3575,5.2228342564435012e-09
1.36,5.0981428362695997e-09
1.3625,4.9523722924324677e-09
1.365,4.7891869844728363e-09
1.3675,4.6123176665814753e-09
1.37,4.425435946745227e-09
1.3725,4.2319402615340793e-09
1.375,4.0351310737185287e-09
1.3775,3.838172411166043e-09
1.38,3.6440796688659615e-09
1.3825,3.4557499393845407e-09
1.385,3.2759933533829216e-09
1.3875,3.1073980323808392e-09
1.39,2.9524791750325122e-09
1.3925,2.8135004887791213e-09
1.395,2.6924826006002943e-09
1.3975,2.5911419170648262e-09
1.4,2.5109013514091052e-09
1.4025,2.4528960533759016e-09
1.405,2.4177467147375929e-09
1.4075,2.4057968993756291e-09
1.41,2.4170144246791572e-09
1.4125,2.4510161309520382e-09
1.415,2.5070457385353746e-09
1.4175,2.5840371273624233e-09
1.42,2.6805607726009838e-09
1.4225,2.7947919249116648e-09
1.425,2.9246272819111308e-09
1.4275,3.0675897273547897e-09
1.43,3.2208589045371742e-09
1.4325,3.3813134230041249e-09
1.435,3.5455205948850052e-09
1.4375,3.709877214281736e-09
1.44,3.8706202644018614e-09
1.4425,4.0238984709741422e-09
1.445,4.1658400094269682e-09
1.4475,4.2927092712958723e-09
1.45,4.4010335244460557e-09
1.4525,4.4876710535103208e-09
1.455,4.549899850001865e-09
1.4575,4.5855183951223732e-09
1.46,4.5928611700258736e-09
1.4625,4.5708523967050378e-09
1.465,4.5189497735591894e-09
1.4675,4.4371511539682531e-09
1.47,4.3260696137258645e-09
1.4725,4.1868826522801411e-09
1.475,4.0213707221800896e-09
1.4775,3.8318632105006453e-09
1.48,3.6211229812536684e-09
1.4825,3.3923422647149597e-09
1.485,3.148854480811207e-09
1.4875,2.8941809180185194e-09
1.49,2.631911721200769e-09
1.4925,2.3655282546118269e-09
1.495,2.098512758066239e-09
1.4975,1.8341682728603341e-09
1.5,1.5757990608974002e-09
1.5025,1.3264610766133061e-09
1.505,1.0891034820342397e-09
1.5075,8.6650013386654391e-10
1.51,6.6122703562051918e-10
1.5125,4.7566638119823954e-10
1.515,3.119684237160417e-10
1.5175,1.7202664834902199e-10
1.52,5.7558635295466963e-11
1.5225,-3.0097639166680582e-11
1.525,-8.9918139870539846e-11
1.5275,-1.2129742117106433e-10
1.53,-1.2411635939293747e-10
1.5325,-9.8806625826415757e-11
1.535,-4.6403522706879361e-11
1.5375,3.1410647929476956e-11
1.54,1.3228641506304188e-10
1.5425,2.5323599212069528e-10
1.545,3.9064955038165964e-10
1.5475,5.4044231303464939e-10
1.55,6.9809959124723154e-10
1.5525,8.5878927986921746e-10
1.555,1.0176439817982222e-09
1.5575,1.1698588613974729e-09
1.56,1.3108561428440417e-09
1.5625,1.4364536461097171e-09
1.565,1.5430252617556724e-09
1.5675,1.6275212383218635e-09
1.57,1.6877049711910155e-09
1.5725,1.7220257128539311e-09
1.575,1.7297222868969996e-09
1.5775,1.7107302450067999e-09
1.58,1.6656719407800647e-09
1.5825,1.5957401348491473e-09
1.585,1.5026461367677117e-09
1.5875,1.3884623576732439e-09
1.59,1.2555462360573396e-09
1.5925,1.1064643862769079e-09
1.595,9.4387263399180355e-10
1.5975,7.7055265047680532e-10
1.6,5.8934243942822915e-10
1.6025,4.0301675045862462e-10
1.605,2.1435316452231374e-10
1.6075,2.6018799014417476e-11
1.61,-1.5934889094839097e-10
1.6125,-3.3913463964076056e-10
1.615,-5.1073115636658915e-10
1.6175,-6.7166346184853034e-10
1.62,-8.1946416187575064e-10
1.6225,-9.5180791484267083e-10
1.625,-1.0664807997904535e-09
1.6275,-1.1615204449468712e-09
1.63,-1.2351617792190993e-09
1.6325,-1.2859921395632243e-09
1.635,-1.3129450253400769e-09
1.6375,-1.3153818233241592e-09
1.64,-1.293102767833312e-09
1.6425,-1.2463805180496891e-09
1.645,-1.1760015362291788e-09
1.6475,-1.0832345508267436e-09
1.65,-9.6980757293237607e-10
1.6525,-8.378741783657425e-10
1.655,-6.899711119620712e-10
1.6575,-5.289109540910987e-10
1.66,-3.5772677741361177e-10
1.6625,-1.7957025372645368e-10
1.665,2.3950175229314457e-12
1.6675,1.8502411431600531e-10
1.67,3.6529195956759199e-10
1.6725,5.4039680133962803e-10
1.675,7.0780978398904284e-10
1.6775,8.653291250778171e-10
1.68,1.011039913181991e-09
1.6825,1.1434219670203942e-09
1.685,1.2612711326960933e-09
1.6875,1.3637771458306062e-09
1.69,1.4504243760416435e-09
1.6925,1.5210238100226358e-09
1.695,1.5756834466454126e-09
1.6975,1.6147333766745487e-09
1.7,1.6387624932190192e-09
1.7025,1.6485620129557632e-09
1.705,1.6451195113302225e-09
1.7075,1.6295580733895291e-09
1.71,1.603143909354048e-09
1.7125,1.56722827272386e-09
1.715,1.5232457611292564e-09
1.7175,1.472661644487965e-09
1.72,1.4170233319692857e-09
1.7225,1.3578996309406692e-09
1.725,1.296855778461161e-09
1.7275,1.2354652681209007e-09
1.73,1.1752925300947584e-09
1.7325,1.1178701055530452e-09
1.735,1.0646668439887493e-09
1.7375,1.0170942556034802e-09
1.74,9.7647451515431053e-10
1.7425,9.4405641866672725e-10
1.745,9.2098266462097782e-10
1.7475,9.0828324592008289e-10
1.75,9.0688455802974628e-10
1.7525,9.1756595911407432e-10
1.755,9.4096474878574631e-10
1.7575,9.7755256104398799e-10
1.76,1.0276284618155873e-09
1.7625,1.0912979265534821e-09
1.765,1.1684661310397575e-09
1.7675,1.2588508297324706e-09
1.77,1.3619368921340039e-09
1.7725,1.4769961095988331e-09
1.775,1.6030905586505447e-09
1.7775,1.7390681487571625e-09
1.78,1.8835756952351031e-09
1.7825,2.0350178924562026e-09
1.785,2.1916711776544918e-09
1.7875,2.3516128756426366e-09
1.79,2.5127803144842189e-09
1.7925,2.6730320774109362e-09
1.795,2.830165947731778e-09
1.7975,2.9820534466279299e-09
1.8,3.1265365443507936e-09
1.8025,3.261601600055159e-09
1.805,3.3854562925592015e-09
1.8075,3.4964008746717527e-09
1.81,3.5930028319796747e-09
1.8125,3.6740688057625454e-09
1.815,3.7386769649042131e-09
