Physical Time (s),enth_flux_viscous_right Monitor (W): right_cv1,enth_flux_viscous_right Monitor (W): right_cv2,enth_flux_viscous_right Monitor (W): right_cv3,enth_flux_viscous_right Monitor (W): right_cv4,enth_flux_viscous_right Monitor (W): right_cv5,enth_flux_viscous_right Monitor (W): right_cv6,enth_flux_viscous_right Monitor (W): right_cv7
0.1925,3.303701721541171e-08,3.0795609815378993e-10,-1.3285196311906917e-10,3.7641625215744497e-11,1.2725696955316704e-10,2.1439227672284075e-11,-1.8159774293952893e-10
0.195,3.3885344560148366e-08,3.7000508457423388e-10,-1.1314726987717475e-10,3.6801782851157799e-11,1.1198709818000082e-10,1.3232832062357505e-11,-2.2491503526510626e-10
0.1975,3.4706726696530551e-08,4.3943190169211265e-10,-9.3984188513120822e-11,2.4319107834240562e-11,7.8642103088845536e-11,-1.5992060333149509e-12,-2.529467292905504e-10
0.2,3.5503939712849067e-08,5.1418772265147238e-10,-7.86543630905397e-11,2.8823291427402831e-12,3.3328972100649383e-11,-2.3907796607338313e-11,-2.6264469613226629e-10
0.2025,3.6276114937158811e-08,5.8790887951947679e-10,-7.002090102973981e-11,-2.3928586052395507e-11,-1.6609552359311097e-11,-5.3038028377913364e-11,-2.536896335528299e-10
0.205,3.7018405396306157e-08,6.5256682358295169e-10,-6.974024717244568e-11,-5.2408380861944544e-11,-6.4239833837243862e-11,-8.6861851122620026e-11,-2.2861663406845389e-10
0.2075,3.7722369089599735e-08,7.0117855714687172e-10,-7.7825339852617834e-11,-7.9389058417102136e-11,-1.0418621723975867e-10,-1.2210103752289981e-10,-1.9245299026712588e-10
0.21,3.8375615727637101e-08,7.3642526113626749e-10,-9.2637527963256828e-11,-1.0253368728001666e-10,-1.3324361771446576e-10,-1.5480780686845958e-10,-1.5174363595327072e-10
0.2125,3.8964382077292597e-08,7.582586067876311e-10,-1.1124680013323771e-10,-1.2041786622094064e-10,-1.5046757982797634e-10,-1.8095836741007526e-10,-1.1330816544276486e-10
0.215,3.9477345666214499e-08,7.6706446200544175e-10,-1.301319274844086e-10,-1.3241558154608726e-10,-1.568287795250093e-10,-1.9715109751804762e-10,-8.2970007232204161e-11
0.2175,3.9904371550320674e-08,7.6422808639808899e-10,-1.4606083047589798e-10,-1.3848153994532673e-10,-1.5450777796242549e-10,-2.0123432218818869e-10,-6.4562449375669342e-11
0.22,4.023975248741367e-08,7.5128897817611142e-10,-1.5684915449766737e-10,-1.3899544373782094e-10,-1.4602787892967148e-10,-1.9270730601268692e-10,-5.9365973034718107e-11
