Physical Time (s),xth_bot Monitor (W): bot_cv1,xth_bot Monitor (W): bot_cv2,xth_bot Monitor (W): bot_cv3,xth_bot Monitor (W): bot_cv4,xth_bot Monitor (W): bot_cv5,xth_bot Monitor (W): bot_cv6,xth_bot Monitor (W): bot_cv7
0.3175,-2.2385776850338401e-19,2.5679836102832463e-20,3.508163527758745e-19,-1.0784700444413536e-19,-1.2021251907530183e-19,1.7729944849206187e-20,1.794592112165301e-20
0.32,1.4240302778982325e-18,-3.891162386293014e-20,4.2606552667764511e-19,-4.2215240165850214e-20,-5.6082457190042018e-20,8.0288021349805352e-20,7.6524849377084487e-21
0.3225,5.27706445182318e-19,-1.0128881314869877e-19,-3.3798442983032416e-19,2.0278270628561059e-19,-2.2228716842562446e-19,-2.3729568307009048e-20,1.549881290597738e-21
0.325,-5.2095001769839438e-19,-1.5559987448065747e-19,2.2564047197808822e-20,-4.9709294088387672e-20,-7.9992336489904092e-20,-7.9966189586163512e-20,-5.0106684730721318e-20
0.3275,5.1213565802301932e-19,2.4307887726124474e-19,-3.5018056154591841e-19,-3.2263669368607078e-19,8.8154859005531959e-20,1.3363943215128695e-20,-7.0016615397360351e-21
0.33,4.77981116295002e-19,-5.5555020057262708e-20,3.1139102399452336e-19,-4.0085207644431113e-19,-1.5082112684122108e-19,2.9730365787994139e-20,3.2833703126793854e-20
0.3325,7.8869058248295248e-19,-7.9308805327154618e-20,5.2413180221497042e-19,-4.820087279576892e-19,1.1339972406687445e-19,-2.2953453345906334e-20,3.5589344487577873e-21
0.335,1.0553514126131752e-18,-1.7672690282465145e-19,-5.9883653215329569e-19,-8.2951131799905631e-19,3.2910248645631697e-19,-1.5282676940211158e-19,-2.0451953814297491e-20
0.3375,3.8444021130188268e-19,1.6506036888817568e-19,-8.856221521546268e-20,-4.3487299361100309e-19,3.9574179986553508e-19,-4.9156709764585852e-20,5.8048523637490501e-22
0.34,-1.601826410989154e-18,-2.0597823115424712e-19,1.0861201051845559e-18,-4.3700389125070509e-19,3.2324617486202481e-19,-2.5101938012035678e-19,-3.2930883123484557e-20
0.3425,-3.3021631892881281e-19,-2.6582993348973087e-19,-5.5226014832188588e-19,8.8024712577499445e-19,9.3648504236676377e-20,-2.670154320926257e-19,2.6355191067262059e-20
0.345,-8.486710212071928e-20,2.4514261400886477e-20,1.5586626425580048e-19,-6.3776356325247572e-19,1.7596436525761724e-20,-3.842421218354374e-20,-7.0162905406588887e-20
0.3475,1.8291989217049354e-19,6.5975958410613926e-20,4.6459399071722977e-19,-2.379245616829391e-19,9.7436586815804219e-21,-1.5229949371842301e-19,9.0687207326873981e-21
0.35,1.0330964322535875e-18,-8.3101869378556827e-19,-1.118238889216178e-18,-4.7858563341379877e-19,-1.6908066671919562e-20,1.1401703276543025e-19,-5.7642695726331552e-20
0.3525,7.1255363884271768e-21,-1.7165843431234211e-19,-6.1867935733596189e-19,2.0469520889819275e-19,-2.5670253970284947e-20,1.3407859405254205e-19,-3.0116979729780675e-20
0.355,-1.1036084207210078e-19,-2.1716239374565818e-19,-4.7192015149887652e-19,7.4994851663734079e-19,2.5795847605558387e-20,-6.1445366167617627e-20,1.3503103970388106e-20
