Physical Time (s),anabla_vol Monitor (W): cv1,anabla_vol Monitor (W): cv2,anabla_vol Monitor (W): cv3,anabla_vol Monitor (W): cv4,anabla_vol Monitor (W): cv5,anabla_vol Monitor (W): cv6,anabla_vol Monitor (W): cv7
0.26,7.6170503269301321e-11,1.0734796445727318e-11,1.3619973025303153e-12,2.6164530223379709e-17,2.514653316572868e-17,3.195915240515307e-17,2.5279025243538548e-17
0.2625,7.5416956814642361e-11,1.0743288811261862e-11,1.4113832026772236e-12,2.4211448595913088e-17,2.42330396083357e-17,3.4616376842444556e-17,1.910095512122105e-17
0.265,7.4670287624700075e-11,1.0750506194334685e-11,1.4621160318218934e-12,2.188866684894646e-17,2.0420094901472304e-17,3.1817990508761336e-17,1.367861067282279e-17
0.2675,7.3930014498171403e-11,1.0756142765307547e-11,1.5143939683036462e-12,1.9484144879564803e-17,1.5102586269621514e-17,2.5045709681329207e-17,1.0503270984204141e-17
0.27,7.319637828067265e-11,1.0759895861690254e-11,1.568390433603364e-12,1.7341190938721187e-17,9.9051106019307314e-18,1.6979143160515853e-17,1.0076666307769268e-17
0.2725,7.2470122517897305e-11,1.0761472615451579e-11,1.6242421954266545e-12,1.590335664057357e-17,6.1185188440138634e-18,1.0159124064706927e-17,1.2092254344171532e-17
0.275,7.1751723284268725e-11,1.0760597050814354e-11,1.6820442618223743e-12,1.5682215149743477e-17,4.4264340246846635e-18,6.0613012478952421e-18,1.5964659006877138e-17
0.2775,7.1041221731461645e-11,1.0757014183959054e-11,1.7418434042519318e-12,1.7175804193673954e-17,4.9593978367317913e-18,4.9305008428284036e-18,2.1163115265867601e-17
0.28,7.0338220631499335e-11,1.0750508629852502e-11,1.8036363620200399e-12,2.072533632982793e-17,7.4709386414205518e-18,6.1581957823238794e-18,2.719903427044724e-17
0.2825,6.9641943646162471e-11,1.0740916123457826e-11,1.8673682656978315e-12,2.6384505260113016e-17,1.151469268738875e-17,8.7998790375566492e-18,3.3473123269563288e-17
0.285,6.8951282519774934e-11,1.0728146087254608e-11,1.932926907422648e-12,3.3830808967057644e-17,1.6534513081125259e-17,1.1968718046453722e-17,3.9245393015156056e-17
0.2875,6.8264987564876427e-11,1.0712182814156126e-11,2.0001443749208307e-12,4.2374192232127706e-17,2.1885256572194947e-17,1.4998920510033452e-17,4.3771746179819797e-17
0.29,6.7581921286719791e-11,1.0693098514928548e-11,2.0688033815764039e-12,5.1013503870052291e-17,2.682953036697704e-17,1.7425692304918759e-17,4.6450008170653877e-17
0.2925,6.6901277174455458e-11,1.0671059417817279e-11,2.1386324039732873e-12,5.8594876517520141e-17,3.0578352808871015e-17,1.8903272444142638e-17,4.6824193832622498e-17
0.295,6.6222569388528034e-11,1.0646321205964805e-11,2.2093151517193738e-12,6.4055658427269613e-17,3.2365645760540673e-17,1.9151771763533935e-17,4.4501035919642229e-17
0.2975,6.5545642478318508e-11,1.0619217879705696e-11,2.2805013908998608e-12,6.6687032969516412e-17,3.1632120980423841e-17,1.8005353617895452e-17,3.928861882164613e-17
0.3,6.4870737589235192e-11,1.0590153081885801e-11,2.3518086776683848e-12,6.6384749379767963e-17,2.8259049457714766e-17,1.553039962710506e-17,3.1542803605780878e-17
0.3025,6.4198471180046431e-11,1.0559574399539341e-11,2.4228532562028939e-12,6.3814702499404767e-17,2.2755667254952525e-17,1.2107009633427961e-17,2.2490711412216735e-17
0.305,6.3529656195780075e-11,1.0527949139738448e-11,2.493265280882415e-12,6.0418598017526586e-17,1.6246366841462805e-17,8.4104972487338723e-18,1.4179175434712837e-17
0.3075,6.2865288536970646e-11,1.0495783264111355e-11,2.5626572109602723e-12,5.8156675688142571e-17,1.0229606713406176e-17,5.2325556220949262e-18,8.9341643527130833e-18
0.31,6.2206420442946286e-11,1.0463598039679419e-11,2.6306475395045423e-12,5.9125511567955102e-17,6.1270291920225967e-18,3.2253383273368073e-18,8.5398860748946048e-18
0.3125,6.1554073483972225e-11,1.0431887053416032e-11,2.6968818400003359e-12,6.5049908802144565e-17,4.8175984891822206e-18,2.6673872810330363e-18,1.3557315253109192e-17
0.315,6.0909056615327739e-11,1.0401125640362176e-11,2.7610296262026307e-12,7.6856100649518467e-17,6.3612785305046564e-18,3.3782371784055498e-18,2.3124243820143401e-17
0.3175,6.0271950004045059e-11,1.037174760335596e-11,2.8227891411698072e-12,9.4509254458376107e-17,1.0026199266745555e-17,4.8219248673894041e-18,3.5281926839971385e-17
0.32,5.9643066249804344e-11,1.0344131557266373e-11,2.8818967892571387e-12,1.1714318802506282e-16,1.4590960563514036e-17,6.3464059685270835e-18,4.7616220531473249e-17
0.3225,5.902250972380771e-11,1.0318593719320762e-11,2.9381326106243167e-12,1.43389814755057e-16,1.8794893812274726e-17,7.4113155526351625e-18,5.7931196596402166e-17
0.325,5.8410234506109037e-11,1.0295379548955314e-11,2.9913225334382662e-12,1.7184409322288679e-16,2.1706747477056122e-17,7.7386912257434735e-18,6.4716924147564652e-17
0.3275,5.7806107529188519e-11,1.027467307430277e-11,3.0413365376827016e-12,2.0147785254992855e-16,2.2906356134268573e-17,7.3406598578916884e-18,6.7353372087706713e-17
0.33,5.7210160163797734e-11,1.0256603604392537e-11,3.0880856895875999e-12,2.3190347160423897e-16,2.2460168152495599e-17,6.4482249871784583e-18,6.6059965556448913e-17
0.3325,5.6622341868596203e-11,1.0241254201045481e-11,3.1315183374601247e-12,2.6340493811828778e-16,2.0730321031393779e-17,5.3691294602064174e-18,6.163023072730605e-17
