Physical Time (s),enthalpy_storage_vol Monitor (J): cv1,enthalpy_storage_vol Monitor (J): cv2,enthalpy_storage_vol Monitor (J): cv3,enthalpy_storage_vol Monitor (J): cv4,enthalpy_storage_vol Monitor (J): cv5,enthalpy_storage_vol Monitor (J): cv6,enthalpy_storage_vol Monitor (J): cv7
0.2525,7.3287855556381714e-07,3.6682214659152186e-07,1.4346633913507831e-07,9.5937374993801886e-10,9.0648259175990884e-11,7.2030780997540723e-10,3.2293369951563646e-10
0.255,7.3257550273395537e-07,3.6635203500785175e-07,1.4871140162950413e-07,9.9983597364080855e-10,5.8553613148015317e-11,6.7989521183895502e-10,5.2427707751134295e-10
0.2575,7.3228639088255416e-07,3.6580322425115311e-07,1.5403942504887033e-07,1.0491708143413442e-09,2.605127091174781e-11,6.3291424268787347e-10,7.173717632628082e-10
0.26,7.3198421527870789e-07,3.6517266851437619e-07,1.5942563182903307e-07,1.0950395116857526e-09,-1.4524185234843049e-11,5.6405287464011297e-10,8.531642060832263e-10
0.2625,7.3164834511385144e-07,3.6446898826206306e-07,1.6484932201190709e-07,1.129660391857965e-09,-6.6579045930748074e-11,4.6685974231318035e-10,8.9980719318437219e-10
0.265,7.3124624870338477e-07,3.6370592343870743e-07,1.7028726729826334e-07,1.1430598062178279e-09,-1.36694538153719e-10,3.2860448360303779e-10,8.2315093307729448e-10
0.2675,7.3083290877284366e-07,3.6292370662042105e-07,1.757550131865459e-07,1.164730359478506e-09,-1.9400509953770938e-10,2.1209787339686516e-10,7.1066388575496479e-10
0.27,7.3038922845352063e-07,3.6214339076067079e-07,1.8123725318154967e-07,1.194258653133985e-09,-2.3871495932696813e-10,1.1706747569423481e-10,5.6315280029850252e-10
0.2725,7.2993277425772733e-07,3.6139065075109494e-07,1.8673289278436973e-07,1.2470384936188707e-09,-2.5676323530624034e-10,7.1353962995914036e-11,4.2913762949161662e-10
0.275,7.2944610499397592e-07,3.6067464792338517e-07,1.9222498486009982e-07,1.3231064735628788e-09,-2.5016406262597355e-10,6.9828699454011532e-11,3.1062753486581018e-10
0.2775,7.2891217318051545e-07,3.5999631337022679e-07,1.9769497441015398e-07,1.4205184396500948e-09,-2.2291505156733331e-10,1.0318822229387329e-10,2.0295410040947516e-10
0.28,7.2832115105461429e-07,3.5935081931342316e-07,2.0312528533766165e-07,1.537745654474354e-09,-1.7869270704166772e-10,1.6281561324945356e-10,1.0069773600833701e-10
0.2825,7.2767293054400616e-07,3.5873107256582839e-07,2.0850044761081502e-07,1.6740969038345389e-09,-1.198910065741734e-10,2.4239275123096767e-10,1.1263929554984898e-12
0.285,7.2697783112722481e-07,3.5813180124676226e-07,2.1380853069679603e-07,1.8297881119344671e-09,-4.7667975013292356e-11,3.3847286342987716e-10,-9.4217467763636472e-11
0.2875,7.2624951863675753e-07,3.5755156859919698e-07,2.1903835880765421e-07,2.0029112642150083e-09,3.5411047430647223e-11,4.4536563944307635e-10,-1.8633358878745539e-10
