Physical Time (s),etp_bot Monitor (W): bot_cv1,etp_bot Monitor (W): bot_cv2,etp_bot Monitor (W): bot_cv3,etp_bot Monitor (W): bot_cv4,etp_bot Monitor (W): bot_cv5,etp_bot Monitor (W): bot_cv6,etp_bot Monitor (W): bot_cv7
0.2,5.1550243362402748e-09,2.1065964102016477e-09,5.3875504613338805e-09,3.8742582423500278e-09,2.1321199040976834e-09,1.7760249905948923e-09,3.9947287237880986e-10
0.2025,4.2719806482993561e-09,2.1631375656091778e-09,5.3729063691379074e-09,3.9366047589892816e-09,2.209229160041724e-09,1.6903049902150965e-09,-5.495976530635276e-11
0.205,3.4379024057552496e-09,2.0255707672969574e-09,4.9490814813007242e-09,3.631284172156366e-09,2.0227323389986852e-09,1.4017993428002678e-09,-2.7350067463257061e-10
0.2075,2.6176271485979393e-09,1.7148172312049043e-09,4.1640522308504034e-09,3.0027630378817186e-09,1.6095075298013093e-09,9.4658367658660106e-10,-1.8448777245293844e-10
0.21,1.7519198888615633e-09,1.2817914716431257e-09,3.1138714663214784e-09,2.1581093686229502e-09,1.067149543235779e-09,4.6654236006896648e-10,1.3601003624434858e-10
0.2125,7.6458643524019669e-10,7.930760324465092e-10,1.9149352879943595e-09,1.2284244518438647e-09,5.2246724858763957e-10,1.4026247805246446e-10,5.1049942064968476e-10
0.215,-4.252166021409479e-10,3.1449049490796427e-10,6.7914829890513118e-10,3.2822789807582938e-10,8.217678889496022e-11,6.6737462413520166e-11,7.548065085277409e-10
0.2175,-1.8819239615674919e-09,-1.0194568754091773e-10,-5.0269325138357181e-10,-4.7241449125647315e-10,-2.11716306577285e-10,1.9168412116237069e-10,7.7217876927109994e-10
0.22,-3.6161123423593465e-09,-4.256879222543133e-10,-1.5660971788455148e-09,-1.1598174269863045e-09,-3.9895284345102315e-10,3.337763283909007e-10,5.912360155304321e-10
0.2225,-5.5539706236657839e-09,-6.4637543043539448e-10,-2.4699299277716634e-09,-1.7680270438936316e-09,-5.7817680253616417e-10,2.9079465767902722e-10,3.2543512774644603e-10
0.225,-7.5152158571361185e-09,-7.706445660331123e-10,-3.1904306820243842e-09,-2.3464692273596611e-09,-8.5059832767104635e-10,-4.3936476690560943e-11,8.7177941759980702e-11
0.2275,-9.2271647585463036e-09,-8.1536146651385537e-10,-3.7109726098903782e-09,-2.9143173650899316e-09,-1.2569561176475079e-09,-6.282044475898901e-10,-7.9630922023864151e-11
0.23,-1.037164053915854e-08,-8.0133554121347854e-10,-4.0092418331271424e-09,-3.4232676437611933e-09,-1.7407632674198789e-09,-1.299587799644845e-09,-2.0753513520505722e-10
0.2325,-1.067094590175299e-08,-7.4846366424376606e-10,-4.0577876339189049e-09,-3.7580529302360297e-09,-2.1612140424308489e-09,-1.8580380494047407e-09,-3.5437043329448723e-10
0.235,-1.001282629377612e-08,-6.7323463198389644e-10,-3.8488593926932573e-09,-3.798445819228438e-09,-2.3646531570768629e-09,-2.1556493440560732e-09,-5.3530886773917199e-10
0.2375,-8.4838339535105108e-09,-5.8585232099191094e-10,-3.4026906275368647e-09,-3.4852034598511191e-09,-2.263576795970017e-09,-2.1415729504838243e-09,-6.969485377165137e-10
0.24,-6.343576462727131e-09,-4.8968928654700777e-10,-2.7703583882707144e-09,-2.8613217635248434e-09,-1.8819795182703481e-09,-1.8529802308735937e-09,-7.4524403691042169e-10
0.2425,-3.943690379704027e-09,-3.8237370777457647e-10,-2.0232312739499089e-09,-2.0605112320675978e-09,-1.3425241877919746e-09,-1.3787863096298549e-09,-6.0675834694494424e-10
0.245,-1.6192190862497531e-09,-2.5692404032578383e-10,-1.2325132440577077e-09,-1.2471577175470896e-09,-8.0372185551446755e-10,-8.2322187749688858e-10,-2.8038730147528067e-10
0.2475,3.951452795052111e-10,-1.0487155898308494e-10,-4.5240324883840222e-10,-5.4724585522615985e-10,-3.861766869364636e-10,-2.8455139861678248e-10,1.5204214231144046e-10
0.25,1.998497830587623e-09,8.0711159394787872e-11,2.9041364346458103e-10,-7.8466254412711631e-12,-1.3078502081099348e-10,1.5017476854390568e-10,5.589866510269463e-10
0.2525,3.2054852417253012e-09,3.0050259134950795e-10,9.8536296324268092e-10,3.9540826512243727e-10,-5.6420067256649565e-12,4.1240688864715069e-10,8.1620523584495051e-10
0.255,4.1101567346384615e-09,5.4356015203653974e-10,1.6266175990135046e-09,7.1910384448460754e-10,5.5651215497201425e-11,4.7110658088981287e-10,8.5842269767557394e-10
0.2575,4.8396474601366864e-09,7.8407975090520511e-10,2.1945087677622455e-09,1.0108342805326036e-09,1.1502494648897794e-10,3.5625633212353466e-10,7.0164919439994972e-10
0.26,5.5071071503324409e-09,9.8252103156039048e-10,2.6470904612315857e-09,1.2881541868805948e-09,2.1236432520147978e-10,1.6879204459149368e-10,4.3258823098913992e-10
