Physical Time (s),ep_left Monitor (W)
0.765,-2.3152715158731465e-09
0.7675,-3.0869152542508535e-09
0.77,-3.8487900335003949e-09
0.7725,-4.5588453601536561e-09
0.775,-5.1666369966153566e-09
0.7775,-5.6181506702263828e-09
0.78,-5.8640370886184421e-09
0.7825,-5.8686205102331797e-09
0.785,-5.6111166187122802e-09
0.7875,-5.0899638242344709e-09
0.79,-4.3238935353291904e-09
0.7925,-3.3513284256547732e-09
0.795,-2.2258104121174353e-09
0.7975,-1.0140642607464108e-09
0.8,2.1408293971843988e-10
0.8025,1.3912535566160313e-09
0.805,2.4581079374230998e-09
0.8075,3.3676302276627088e-09
0.81,4.0910347222892745e-09
0.8125,4.6165109930578757e-09
0.815,4.9475080644163099e-09
0.8175,5.0996529373619661e-09
0.82,5.0970200586844971e-09
0.8225,4.9670654343915867e-09
0.825,4.7374260243577937e-09
0.8275,4.433486473226475e-09
0.83,4.077350748491173e-09
0.8325,3.6866728658637055e-09
0.835,3.2746016165865015e-09
0.8375,2.8511887349084516e-09
0.84,2.4236460540105434e-09
0.8425,1.9974473701654932e-09
0.845,1.5775709829683744e-09
0.8475,1.1690026919718912e-09
0.85,7.7699725489188003e-10
0.8525,4.0730790644095637e-10
0.855,6.6338758607555766e-11
0.8575,-2.3921643669157672e-10
0.86,-5.0304203761704107e-10
0.8625,-7.1903102080226959e-10
0.865,-8.8155112655763514e-10
0.8675,-9.8611631983355415e-10
0.87,-1.0292717350490953e-09
0.8725,-1.0089353938098245e-09
0.875,-9.2396996146915827e-10
0.8775,-7.7481488455154019e-10
0.88,-5.6326052737258575e-10
0.8825,-2.912550000993434e-10
0.885,3.9020319982483431e-11
0.8875,4.2527336401162031e-10
0.89,8.6482103949834494e-10
0.8925,1.3548033673033981e-09
0.895,1.892393927417829e-09
0.8975,2.4738484636712706e-09
0.9,3.0943732470527292e-09
0.9025,3.7469077011370515e-09
0.905,4.4228056510351522e-09
0.9075,5.1107290136488588e-09
0.91,5.7962587134651016e-09
0.9125,6.4630904457607552e-09
0.915,7.0931705199821069e-09
0.9175,7.6670181938235293e-09
0.92,8.1649185365946584e-09
0.9225,8.569030921444633e-09
0.925,8.8639927447012855e-09
0.9275,9.0383966826673736e-09
0.93,9.0862799652601441e-09
0.9325,9.0074484349350929e-09
0.935,8.8077443441822491e-09
0.9375,8.4978450063160216e-09
0.94,8.0933582772308959e-09
0.9425,7.61254303938686e-09
0.945,7.0757346172612375e-09
0.9475,6.5031751941516759e-09
0.95,5.9145639409667579e-09
0.9525,5.3272004994404269e-09
0.955,4.7563088779051445e-09
0.9575,4.2138545360985553e-09
0.96,3.7094978171959994e-09
0.9625,3.2508013129420182e-09
0.965,2.8440798249325189e-09
0.9675,2.4948445773689831e-09
0.97,2.2088295366074309e-09
0.9725,1.9920323240310527e-09
0.975,1.8517635898066282e-09
0.9775,1.7957244024856554e-09
0.98,1.8333068207938962e-09
0.9825,1.9725685810191095e-09
0.985,2.2165913847731101e-09
0.9875,2.5662408508680941e-09
0.99,3.0178825768319812e-09
0.9925,3.5615055915091609e-09
0.995,4.1814848500630256e-09
0.9975,4.856259766016296e-09
1.0,5.5600374801001721e-09
1.0025,6.2623160959342054e-09
1.005,6.9316849959887391e-09
1.0075,7.5385276942789084e-09
1.01,8.0562638344245349e-09
1.0125,8.4637326920874348e-09
1.015,8.746667956850784e-09
1.0175,8.8986543828657194e-09
1.02,8.9213507463625058e-09
1.0225,8.8231272256924034e-09
1.025,8.6170296196692927e-09
1.0275,8.3204306077235485e-09
1.03,7.9537128411482161e-09
1.0325,7.5360164680062875e-09
1.035,7.0839641594478718e-09
