Physical Time (s),ev_bot Monitor (W): bot_cv1,ev_bot Monitor (W): bot_cv2,ev_bot Monitor (W): bot_cv3,ev_bot Monitor (W): bot_cv4,ev_bot Monitor (W): bot_cv5,ev_bot Monitor (W): bot_cv6,ev_bot Monitor (W): bot_cv7
0.1325,6.669317365170411e-13,-2.727268507054242e-15,-1.2040283035733985e-14,-3.5471886719413119e-15,-1.4549551817539243e-14,-2.152164731218582e-13,-3.127312927380501e-13
0.135,2.6504312251871119e-13,-1.8772028754174845e-14,-4.2548845364629615e-14,-9.1099443283070247e-15,-8.9817968211854307e-15,-8.0871480937573112e-14,-1.9975861684297903e-13
0.1375,7.1476668971806795e-14,-8.2781643430747175e-14,-1.3816994761635727e-13,-2.7106728079598457e-14,-5.5386413295146693e-15,-9.8266711990655065e-15,-5.7183227492409434e-14
0.14,-2.5215359502460304e-14,-2.4000257880397191e-13,-3.5356826830848759e-13,-6.7804315237814563e-14,-4.6310986746038941e-15,-2.4914333984138517e-17,-2.6737449300725518e-15
0.1425,-1.2158703669126076e-13,-4.9961990770535885e-13,-7.0017147069901824e-13,-1.3256013988471101e-13,-5.2872708399877863e-15,8.8255247086168853e-15,7.7614804433847323e-15
0.145,-2.2513084423473059e-13,-7.9150560416224977e-13,-1.0920523197622511e-12,-2.0446166712649081e-13,-6.6383354631179433e-15,3.5474089800356062e-14,6.9785533713286883e-14
0.1475,-2.7980095543740589e-13,-9.8942323737150901e-13,-1.3731203829715104e-12,-2.5543634739877893e-13,-8.2635365042674693e-15,5.0879675596260599e-14,1.557581607702178e-13
0.15,-2.4689015668453136e-13,-9.9996725745003193e-13,-1.4235243374506782e-12,-2.6560351365290121e-13,-9.9140268087251626e-15,3.7087651496223842e-14,1.6280085091973743e-13
0.1525,-1.4012577119783782e-13,-8.3176018067328627e-13,-1.2425067646415446e-12,-2.3571235764250702e-13,-1.1455623869566794e-14,1.2631739988579338e-14,8.4571576359057633e-14
0.155,9.042212579756609e-15,-5.7856428712582948e-13,-9.3270686317488303e-13,-1.8305071542242137e-13,-1.2894635486854278e-14,7.3551915773181183e-16,1.5109841991684672e-14
0.1575,1.8624521676997559e-13,-3.4297760286928517e-13,-6.176478936616297e-13,-1.2799300639507459e-13,-1.4147763518416514e-14,-2.0076423040225406e-15,2.6946461003573536e-17
0.16,3.8150393522980401e-13,-1.784154684631346e-13,-3.7354912998087786e-13,-8.3527905180206581e-14,-1.4806955129061804e-14,-1.3216833110082826e-14,-8.7376701350640269e-15
0.1625,5.6477038613161107e-13,-8.5714010994596453e-14,-2.1694378146006444e-13,-5.3244205529247257e-14,-1.4274192676567194e-14,-3.3448725143060557e-14,-4.5935664640049555e-14
0.165,6.9591704170930649e-13,-4.1390451030376416e-14,-1.2963278931910587e-13,-3.4943861879725495e-14,-1.2265810284211561e-14,-4.3568635949738318e-14,-7.4081667890838578e-14
0.1675,7.5666162478567314e-13,-2.2451235440206543e-14,-8.6180206393118501e-14,-2.4812249601538026e-14,-9.0960394145361493e-15,-3.233065491228568e-14,-5.6197989125362019e-14
0.17,7.6386988585637414e-13,-1.5049881236218869e-14,-6.7585044798292477e-14,-1.9649785457588958e-14,-5.6418448500389091e-15,-1.2198750125179742e-14,-1.7940008492974378e-14
0.1725,7.5351364572575752e-13,-1.2772728782111089e-14,-6.2981562408691174e-14,-1.7342888077497038e-14,-2.8588855139293613e-15,-1.3057501682311062e-15,-6.9430366258935723e-16
0.175,7.5776800717210309e-13,-1.3047108262265173e-14,-6.6778632928018986e-14,-1.6564494443872347e-14,-1.2131385559230439e-15,1.221647013048381e-16,9.2768434114962566e-16
0.1775,7.9349168366172762e-13,-1.4853556545183865e-14,-7.5790302546276301e-14,-1.6478859688390416e-14,-4.9614387925711963e-16,4.6599866222353202e-15,1.6096562245693972e-14
0.18,8.5999771700454376e-13,-1.7804954368282552e-14,-8.7862544062385127e-14,-1.6639638844719932e-14,-1.9666526641479283e-16,1.506516540441354e-14,4.157528048138658e-14
0.1825,9.4000436844777225e-13,-2.1965204862660931e-14,-1.0191894643393592e-13,-1.7035609015077285e-14,-3.4794841820341101e-17,2.0076204448429985e-14,4.7552862719229742e-14
0.185,1.0036625037740822e-12,-2.7898321405367137e-14,-1.1853176826400298e-13,-1.8134850385204126e-14,-3.1954713796492019e-17,1.3208802714820346e-14,2.7122540182869853e-14
0.1875,1.0199454643063754e-12,-3.6749994291884987e-14,-1.4017503707316998e-13,-2.0920178556935711e-14,-1.8426195784871937e-16,3.2578832125143563e-15,5.6006205854297704e-15
0.19,9.7211663178788629e-13,-5.0302063378574265e-14,-1.7110931668260226e-13,-2.709663992969248e-14,-6.3492146490438424e-16,1.8781554616947424e-17,1.2650873384274796e-17
0.1925,8.6641569149639892e-13,-7.089621297023624e-14,-2.1700472207851953e-13,-3.9536659963037856e-14,-2.7135290231089457e-15,-1.4253685851359819e-15,-2.5134243850720164e-15
0.195,7.2735804573588417e-13,-1.0098325267356193e-13,-2.8421023087414576e-13,-6.2433333698784152e-14,-9.4100746053868016e-15,-1.3117004054986434e-14,-1.8220240211768799e-14
0.1975,5.8445248276301827e-13,-1.4209154250997471e-13,-3.7773225680236938e-13,-9.992838775092585e-14,-2.3319887285559283e-14,-3.5039091419653404e-14,-3.8744520875521537e-14
0.2,4.6033044777553481e-13,-1.9332770381150138e-13,-4.9723148572830983e-13,-1.5224143522698102e-13,-4.2835421273203971e-14,-5.2138986901086162e-14,-4.3257941113741255e-14
0.2025,3.6590085631828721e-13,-2.5046173658221536e-13,-6.3304269758183092e-13,-2.1149495407075961e-13,-6.0812709105805426e-14,-5.148843329116817e-14,-2.8085656741028437e-14
0.205,3.0297554571920259e-13,-3.0635291479096285e-13,-7.6545193105173943e-13,-2.6202088091747075e-13,-6.8609876037924426e-14,-3.5730775900503664e-14,-9.4767589808995909e-15
0.2075,2.6921890449954962e-13,-3.5261991870585642e-13,-8.6959809060976093e-13,-2.8748832484571886e-13,-6.2600744612559654e-14,-1.7597958988834832e-14,-9.1717553948486994e-16
0.21,2.6161501298389132e-13,-3.8205721053081148e-13,-9.2499647635158301e-13,-2.8056878513479613e-13,-4.6833096172936971e-14,-6.1949837522403615e-15,5.4572237339334027e-17
0.2125,2.7799161594152849e-13,-3.9060894999514565e-13,-9.2443628694308099e-13,-2.4730757322057233e-13,-2.9323555119377638e-14,-1.53460408863002e-15,2.1014493232301278e-15
