Physical Time (s),ek_vol Monitor (J): cv1,ek_vol Monitor (J): cv2,ek_vol Monitor (J): cv3,ek_vol Monitor (J): cv4,ek_vol Monitor (J): cv5,ek_vol Monitor (J): cv6,ek_vol Monitor (J): cv7
0.225,1.7307686850455225e-07,3.5561040256935562e-08,1.0876745944003198e-09,6.4523826292759561e-11,1.2145578484536989e-11,1.9345576393116683e-11,2.5119910694400223e-11
0.2275,1.7357691491370415e-07,3.63591383572968e-08,1.0756300822040911e-09,6.1636714863811837e-11,1.1322448923623418e-11,1.2970386352713773e-11,1.9271047134683233e-11
0.23,1.7406260662272675e-07,3.7139781255672448e-08,1.0620359136648371e-09,5.9945060645754406e-11,1.1318131474742906e-11,9.1878691001255186e-12,1.6467919683855183e-11
0.2325,1.7456725875548437e-07,3.7927188318490787e-08,1.0538803883890006e-09,5.9375982054958384e-11,1.187785408080241e-11,7.8984200956663578e-12,1.5364754741674216e-11
0.235,1.7510802353833487e-07,3.8745265401889601e-08,1.0569623897037663e-09,5.9512234453097299e-11,1.235939291944715e-11,8.0359888117239944e-12,1.406226134242339e-11
0.2375,1.7568467400067345e-07,3.9613752695938641e-08,1.0753265323118063e-09,5.997397611811411e-11,1.2069303369746029e-11,8.2747400466951925e-12,1.1453205904611966e-11
0.24,1.7628351382882182e-07,4.0545458780362624e-08,1.1110040867920916e-09,6.0824326859098752e-11,1.0718676362516108e-11,7.7041911232368952e-12,7.7226078360356079e-12
0.2425,1.7688362647838936e-07,4.1544396694052654e-08,1.1638780166541231e-09,6.2659115771835192e-11,8.6809490948412457e-12,6.1552528503478303e-12,3.9731013884575077e-12
0.245,1.7746281453962007e-07,4.2605626956548296e-08,1.2317026091628238e-09,6.6300956497962809e-11,6.8761720318647728e-12,4.1057756268650493e-12,1.4861056865761616e-12
0.2475,1.7800325272740791e-07,4.37164692530662e-08,1.3105191915260436e-09,7.2340669348907184e-11,6.369674783531911e-12,2.3272933374817109e-12,1.1264561068833405e-12
0.25,1.7849508654335144e-07,4.4859130792567928e-08,1.3955111058690903e-09,8.0850374057436456e-11,7.9587648660680661e-12,1.5287885741458526e-12,3.0894452685158051e-12
