Physical Time (s),ea_left Monitor (W)
1.575,-3.2024201513364902e-10
1.5775,-3.1708677616969625e-10
1.58,-3.1391209894317058e-10
1.5825,-3.1077675446035063e-10
1.585,-3.0773592906516527e-10
1.5875,-3.0483991559111364e-10
1.59,-3.0213291030323232e-10
1.5925,-2.9965310397920243e-10
1.595,-2.9743229644315882e-10
1.5975,-2.9549486775265022e-10
1.6,-2.938588237895135e-10
1.6025,-2.9253520006028883e-10
1.605,-2.9152803243475427e-10
1.6075,-2.9083464043475063e-10
1.61,-2.9044561464458993e-10
1.6125,-2.9034615685160613e-10
1.615,-2.9051694656912485e-10
1.6175,-2.9093351947545532e-10
1.62,-2.9156729471931446e-10
1.6225,-2.9238578256436829e-10
1.625,-2.9335334035815599e-10
1.6275,-2.944315634206387e-10
1.63,-2.9558049131345522e-10
1.6325,-2.9675914888734639e-10
1.635,-2.9792671899600136e-10
1.6375,-2.9904341527222209e-10
1.64,-3.0007151746730317e-10
1.6425,-3.0097659932732983e-10
1.645,-3.0172831056513576e-10
1.6475,-3.0230119098062707e-10
1.65,-3.0267562034542231e-10
1.6525,-3.0283807395019134e-10
1.655,-3.0278136183940248e-10
1.6575,-3.0250426688620275e-10
1.66,-3.020121623890517e-10
1.6625,-3.0131512854185043e-10
1.665,-3.0042787236833513e-10
1.6675,-2.9936861152433782e-10
1.67,-2.9815850331514641e-10
1.6725,-2.9682042529848884e-10
1.675,-2.9537867266706474e-10
1.6775,-2.9385820587568744e-10
1.68,-2.9228343913042009e-10
1.6825,-2.9067778806006713e-10
1.685,-2.8906272929727098e-10
1.6875,-2.8745788764357271e-10
1.69,-2.8587991052331629e-10
1.6925,-2.8434283977603078e-10
1.695,-2.8285799992011051e-10
1.6975,-2.8143447469343943e-10
1.7,-2.8007906230617668e-10
1.7025,-2.7879644948119564e-10
1.705,-2.7758946704215483e-10
1.7075,-2.7645913532690754e-10
1.71,-2.7540515763015927e-10
1.7125,-2.744263199311506e-10
1.715,-2.7352036816401659e-10
1.7175,-2.7268441366113922e-10
1.72,-2.7191520706422557e-10
1.7225,-2.7120951018956403e-10
1.725,-2.7056431816742174e-10
1.7275,-2.6997713804104917e-10
1.73,-2.6944590700544572e-10
1.7325,-2.6896921686195613e-10
1.735,-2.685460232593433e-10
1.7375,-2.6817561370734636e-10
1.74,-2.6785736714917445e-10
1.7425,-2.6759066013860734e-10
1.745,-2.6737491189529622e-10
1.7475,-2.6720940745352243e-10
1.75,-2.6709316912281757e-10
1.7525,-2.670246813917659e-10
1.755,-2.6700172445480271e-10
1.7575,-2.6702118320085511e-10
1.76,-2.6707896873249516e-10
1.7625,-2.6717015605019128e-10
1.765,-2.6728855020895551e-10
1.7675,-2.6742673639457591e-10
1.77,-2.6757641586986414e-10
1.7725,-2.6772806788980037e-10
1.775,-2.6787172217943665e-10
1.7775,-2.6799667559999595e-10
1.78,-2.6809192402355014e-10
1.7825,-2.6814572930260444e-10
1.785,-2.6814632908472262e-10
1.7875,-2.6808181598729402e-10
1.79,-2.6794074991544181e-10
1.7925,-2.6771226442875063e-10
1.795,-2.6738638012737739e-10
1.7975,-2.6695539760960872e-10
1.8,-2.6641434350986053e-10
1.8025,-2.6576009555278369e-10
1.805,-2.6499247910452189e-10
1.8075,-2.6411372376720106e-10
1.81,-2.6312810618623659e-10
1.8125,-2.6204254517651065e-10
1.815,-2.6086717958208768e-10
1.8175,-2.5961303709770271e-10
1.82,-2.5829337323353759e-10
1.8225,-2.5692309960896539e-10
1.825,-2.5551846558116278e-10
1.8275,-2.5409660332947815e-10
1.83,-2.5267556533304845e-10
1.8325,-2.5127383602782327e-10
1.835,-2.4991002777393842e-10
1.8375,-2.4860238919289966e-10
1.84,-2.4736813904676774e-10
1.8425,-2.4622278684403374e-10
1.845,-2.4518010563252653e-10
1.8475,-2.4425181258012208e-10
1.85,-2.4344775749929163e-10
1.8525,-2.4277580637464678e-10
1.855,-2.4224149093157908e-10
1.8575,-2.4184721817004412e-10
1.86,-2.4159233354408147e-10
1.8625,-2.4147342128389585e-10
1.865,-2.414842101081013e-10
1.8675,-2.4161641916184706e-10
1.87,-2.4185969411105455e-10
1.8725,-2.4220172619886955e-10
1.875,-2.4262821710474766e-10
1.8775,-2.4312280260871067e-10
1.88,-2.4366724535812152e-10
1.8825,-2.4424204314369089e-10
1.885,-2.4482713740174768e-10
1.8875,-2.4540256803870237e-10
1.89,-2.4594886605482157e-10
1.8925,-2.4644773836966095e-10
1.895,-2.4688109192959314e-10
1.8975,-2.4723319186747958e-10
1.9,-2.4748897897587388e-10
1.9025,-2.4763727304116858e-10
1.905,-2.4766831415731748e-10
1.9075,-2.4757686513848382e-10
1.91,-2.4735935134120756e-10
1.9125,-2.4701665854920746e-10
1.915,-2.4655095800777952e-10
1.9175,-2.4596894319314046e-10
1.92,-2.4527810441790095e-10
1.9225,-2.44489848002081e-10
1.925,-2.4361592192071132e-10
1.9275,-2.426708426820385e-10
1.93,-2.4166885552847941e-10
1.9325,-2.4062609697204578e-10
1.935,-2.3955843190024675e-10
1.9375,-2.3848236549077709e-10
1.94,-2.3741350998615241e-10
1.9425,-2.3636645816498851e-10
1.945,-2.3535424292582673e-10
1.9475,-2.343881994687264e-10
1.95,-2.3347797618396861e-10
1.9525,-2.3263165089666266e-10
1.955,-2.3185558218309768e-10
1.9575,-2.3115450866143044e-10
1.96,-2.3053144546410085e-10
1.9625,-2.2998748063686907e-10
1.965,-2.2952169828984412e-10
1.9675,-2.2913162071248943e-10
1.97,-2.2881386619867018e-10
1.9725,-2.2856418094872805e-10
1.975,-2.2837746179343391e-10
1.9775,-2.2824827168439596e-10
1.98,-2.2817086267950684e-10
1.9825,-2.2813933084811988e-10
1.985,-2.281477033399441e-10
1.9875,-2.2818946188716158e-10
1.99,-2.2825796743356216e-10
1.9925,-2.2834681353121012e-10
1.995,-2.284505137524434e-10
1.9975,-2.2856409868579387e-10
