Physical Time (s),ea_bot Monitor (W): bot_cv1,ea_bot Monitor (W): bot_cv2,ea_bot Monitor (W): bot_cv3,ea_bot Monitor (W): bot_cv4,ea_bot Monitor (W): bot_cv5,ea_bot Monitor (W): bot_cv6,ea_bot Monitor (W): bot_cv7
0.2875,1.8464919311706693e-12,-1.7801136142626971e-12,-1.0824588572046153e-12,-5.4855024444110349e-14,-1.0389654733083969e-15,-2.0047957834306909e-16,-5.0310355211733412e-17
0.29,1.953858047110148e-12,-1.7976308812944626e-12,-1.2061551986968053e-12,-8.6313561856537405e-14,-4.6310897981178308e-15,-1.2591565178659458e-16,6.1970124912387674e-16
0.2925,2.1174737086842994e-12,-1.7545990455433632e-12,-1.2970214897933618e-12,-1.1983714483144903e-13,-1.0507933682204176e-14,-6.6026366646665802e-16,9.3507276827630571e-16
0.295,2.3271145132889299e-12,-1.6565855903234869e-12,-1.3482205948472014e-12,-1.513010766130979e-13,-1.8105378298338419e-14,-1.8278768767775409e-15,-8.1542205259366754e-17
0.2975,2.5632289939402796e-12,-1.5168771405368711e-12,-1.3593608234530404e-12,-1.7685416805362985e-13,-2.6449606760296721e-14,-3.7083909347406558e-15,-3.2134980457319491e-15
0.3,2.8022448469832323e-12,-1.3534301035011149e-12,-1.3358295982244255e-12,-1.9342173080633845e-13,-3.3893181006865567e-14,-5.9783598747220374e-15,-8.3158891762207485e-15
0.3025,3.021308990311103e-12,-1.1853481927112404e-12,-1.2867850194846904e-12,-1.9925056373520646e-13,-3.8500326453341353e-14,-7.8412918965064479e-15,-1.3994256542207014e-14
0.305,3.201414230925643e-12,-1.0299915291031905e-12,-1.2228558241479179e-12,-1.9428243673729833e-13,-3.8899024424055539e-14,-8.466248213921438e-15,-1.8101869939705617e-14
0.3075,3.3288602363103436e-12,-9.0120798440280537e-13,-1.1539640253937208e-12,-1.8013367134790552e-13,-3.5004306059402971e-14,-7.5655745484881382e-15,-1.8879890663598933e-14
0.31,3.3952238811342555e-12,-8.0863018249489376e-13,-1.0878705120203758e-12,-1.5956665711108294e-13,-2.8064992442972538e-14,-5.5852776289823469e-15,-1.6005757486768972e-14
0.3125,3.3966723872282668e-12,-7.5753505189980253e-13,-1.0294578042788984e-12,-1.3569720430485949e-13,-2.0034451608217473e-14,-3.3692307409395298e-15,-1.0791150832106552e-14
0.315,3.3335062672984071e-12,-7.4878595828020563e-13,-9.8039574728419814e-13,-1.1119982459056116e-13,-1.268547273852901e-14,-1.6178465657117169e-15,-5.4168287492542696e-15
0.3175,3.2098816795152993e-12,-7.7887277224347774e-13,-9.3943146573223975e-13,-8.7870397144554678e-14,-7.0234291326755913e-15,-5.8139142584627983e-16,-1.6927185039929971e-15
0.32,3.0338407174387133e-12,-8.4032743385719841e-13,-9.0315615122461925e-13,-6.6616230330398356e-14,-3.2384936929342502e-15,-1.2933696144780579e-16,-1.5039360109791132e-16
0.3225,2.8170397880404076e-12,-9.2272494259787893e-13,-8.6734423037785642e-13,-4.7835273745844478e-14,-1.0538659763801706e-15,-6.5100734286599822e-18,1.3764677616905969e-17
0.325,2.5736899017483133e-12,-1.0146602315777562e-12,-8.2854904440362797e-13,-3.1877166175252504e-14,-1.4082557620419632e-16,-2.9080816821394187e-17,1.9712458808157535e-16
0.3275,2.3192672170735257e-12,-1.1058153473020799e-12,-7.8548831150652948e-13,-1.9303937302413575e-14,-3.423066942004443e-16,-1.3099158261306568e-16,1.3699393886273194e-15
0.33,2.0691174978949434e-12,-1.1886857217874617e-12,-7.3953689996937172e-13,-1.0789276910297667e-14,-1.6531898232321167e-15,-3.1980097470303263e-16,3.3960255689549791e-15
