Physical Time (s),drag Monitor (N)
1.1675,6.0433608173234362e-06
1.17,6.0372273444755256e-06
1.1725,6.0309101221778983e-06
1.175,6.0247560893273797e-06
1.1775,6.0188960232266548e-06
1.18,6.0136040962343096e-06
1.1825,6.0088659631233132e-06
1.185,6.0051269787259815e-06
1.1875,6.0021442339239117e-06
1.19,6.0002582514981369e-06
1.1925,5.9995411394902679e-06
1.195,6.0001404927216978e-06
1.1975,6.0022098338345217e-06
1.2,6.0057516518819301e-06
1.2025,6.0106495567403317e-06
1.205,6.0166245869754272e-06
1.2075,6.0235649276712573e-06
1.21,6.0314123222570719e-06
1.2125,6.0399634511513253e-06
1.215,6.0491096508374796e-06
1.2175,6.0587071743597562e-06
1.22,6.0686608224447385e-06
1.2225,6.0787643625947165e-06
1.225,6.088901690054179e-06
1.2275,6.0988050605316801e-06
1.23,6.1082390596758609e-06
1.2325,6.1169918295084671e-06
1.235,6.1248832469500254e-06
1.2375,6.1314711386032228e-06
1.24,6.1372678394479191e-06
1.2425,6.1419439694774421e-06
1.245,6.1457194363321158e-06
1.2475,6.1481187707351354e-06
1.25,6.1491047894484824e-06
1.2525,6.1487830152483757e-06
1.255,6.1473287073373915e-06
1.2575,6.144900387322086e-06
1.26,6.1413255493282678e-06
1.2625,6.1371899660206122e-06
1.265,6.1328805851736269e-06
1.2675,6.1279217916939523e-06
1.27,6.122465696058654e-06
1.2725,6.1169611550709245e-06
1.275,6.1117192343893391e-06
1.2775,6.1068120827070888e-06
1.28,6.102519554407882e-06
1.2825,6.0987555701128251e-06
1.285,6.0956489100935449e-06
1.2875,6.0932362555189367e-06
1.29,6.0918509142532956e-06
1.2925,6.0918882606020755e-06
1.295,6.0932020052074806e-06
1.2975,6.0956060105695425e-06
1.3,6.0990557322256383e-06
1.3025,6.103557299743737e-06
1.305,6.1090513822409611e-06
1.3075,6.1155832841659637e-06
1.31,6.1230458556656557e-06
1.3125,6.1311133077925261e-06
1.315,6.1396071047139573e-06
1.3175,6.1483497146314425e-06
1.32,6.1573727550277692e-06
1.3225,6.1666645793629681e-06
1.325,6.1760427494204796e-06
1.3275,6.1852730349602051e-06
1.33,6.1942140207586132e-06
1.3325,6.2027110209001297e-06
1.335,6.210665038454208e-06
1.3375,6.2180280008313403e-06
1.34,6.2249568679409816e-06
1.3425,6.2310090347783738e-06
1.345,6.2363680408831109e-06
1.3475,6.2409325590300255e-06
1.35,6.2445820265796553e-06
1.3525,6.2472246757862964e-06
1.355,6.2490027287751363e-06
1.3575,6.2501108785611741e-06
1.36,6.2506453821624758e-06
1.3625,6.2505768980010128e-06
1.365,6.2501257128884069e-06
1.3675,6.2495025760614405e-06
1.37,6.2486778295859688e-06
1.3725,6.2476182172147402e-06
1.375,6.2464093469325789e-06
1.3775,6.2451641252868318e-06
1.38,6.2439834267609681e-06
1.3825,6.2429566976827866e-06
1.385,6.2421104071481461e-06
1.3875,6.2414928588576501e-06
1.39,6.2411156986931036e-06
1.3925,6.2410350783070363e-06
1.395,6.2412795815373147e-06
1.3975,6.2418655033104886e-06
1.4,6.2428678331933544e-06
1.4025,6.2444387951842391e-06
1.405,6.2464380839924196e-06
1.4075,6.2488826631939544e-06
1.41,6.251779753063811e-06
1.4125,6.2552089627894728e-06
1.415,6.2592121449897387e-06
1.4175,6.2636912604003687e-06
1.42,6.2687367459482453e-06
1.4225,6.2742796615617989e-06
1.425,6.2802594132465949e-06
1.4275,6.2865871489080037e-06
1.43,6.2931814072385848e-06
1.4325,6.3000047779309168e-06
1.435,6.3070137155342497e-06
1.4375,6.3142374180801213e-06
1.44,6.3216860840314824e-06
1.4425,6.32929290950673e-06
1.445,6.3369489701668501e-06
1.4475,6.3445470953734435e-06
1.45,6.3519957575668489e-06
1.4525,6.3592354606902856e-06
1.455,6.366188173684486e-06
1.4575,6.372854115737244e-06
1.46,6.3791840483441406e-06
1.4625,6.3850643305315378e-06
1.465,6.3904025553106611e-06
1.4675,6.395136864722674e-06
1.47,6.3992533932795417e-06
1.4725,6.4027490238289303e-06
1.475,6.4056081680487553e-06
1.4775,6.4077963757424506e-06
1.48,6.4093141945290477e-06
1.4825,6.4101713716357885e-06
1.485,6.4104338318146747e-06
1.4875,6.4101292268092796e-06
1.49,6.4093094002718798e-06
1.4925,6.4080681881843863e-06
1.495,6.4064661840604575e-06
1.4975,6.4045964751952602e-06
1.5,6.4025138257280415e-06
1.5025,6.4003780956732883e-06
1.505,6.3983235180534598e-06
1.5075,6.3964007793538589e-06
1.51,6.3947272127562285e-06
1.5125,6.3934211264588516e-06
1.515,6.3925778069110591e-06
1.5175,6.3922919492566045e-06
1.52,6.3925621648410393e-06
1.5225,6.3935121952283975e-06
1.525,6.3952323137389456e-06
1.5275,6.3976800899738404e-06
1.53,6.4008092458658398e-06
1.5325,6.4047302055791097e-06
1.535,6.4093657062877311e-06
1.5375,6.4147282665224266e-06
1.54,6.4208013811777569e-06
1.5425,6.427504836944114e-06
1.545,6.4347281145374633e-06
1.5475,6.442375976002639e-06
1.55,6.4503783140750285e-06
1.5525,6.4586862234578876e-06
1.555,6.4671948891128579e-06
1.5575,6.4757384803972198e-06
1.56,6.4841977921324049e-06
1.5625,6.4924799633427777e-06
1.565,6.5005314754504739e-06
1.5675,6.508224109779587e-06
1.57,6.5154775011906215e-06
1.5725,6.5221922555413722e-06
1.575,6.5283657419220142e-06
1.5775,6.5339693361078563e-06
1.58,6.5389127928351686e-06
1.5825,6.5431277801891751e-06
1.585,6.5466090447646771e-06
1.5875,6.5493672942431176e-06
1.59,6.5514835689736716e-06
1.5925,6.5529839921244632e-06
1.595,6.5538512595901248e-06
1.5975,6.5540831467984625e-06
1.6,6.5538720541756006e-06
1.6025,6.5532724206316993e-06
1.605,6.5523649165290944e-06
1.6075,6.5512414603726633e-06
1.61,6.5499824126552868e-06
1.6125,6.5486154290681932e-06
1.615,6.5472357158958761e-06
1.6175,6.5459925346299027e-06
1.62,6.544943422391026e-06
1.6225,6.5441542239846187e-06
1.625,6.5436289208908747e-06
1.6275,6.5434335425292311e-06
1.63,6.5436141756769722e-06
1.6325,6.5442066096034598e-06
1.635,6.5452986911601479e-06
1.6375,6.5468264659535113e-06
1.64,6.5487950211775283e-06
1.6425,6.5512736498653753e-06
1.645,6.5542107831446009e-06
1.6475,6.5575855342114541e-06
1.65,6.5613735563106533e-06
1.6525,6.5655509193778028e-06
1.655,6.5700838052546507e-06
1.6575,6.5748987646086335e-06
1.66,6.5799673884256616e-06
1.6625,6.5852965606900368e-06
1.665,6.5908488509547565e-06
1.6675,6.596522275453149e-06
1.67,6.6022492465401175e-06
1.6725,6.6079635582204507e-06
1.675,6.6136632099511322e-06
1.6775,6.6193299922886746e-06
1.68,6.6249045014691241e-06
1.6825,6.6303424205252638e-06
1.685,6.6356400754422531e-06
1.6875,6.6407585546885525e-06
1.69,6.6457184064782253e-06
1.6925,6.6504622641958184e-06
1.695,6.6550054113090434e-06
1.6975,6.659272371154297e-06
1.7,6.6632577519497246e-06
1.7025,6.6669932138879469e-06
1.705,6.6705323636045474e-06
1.7075,6.6739637543360209e-06
1.71,6.6771429271266657e-06
1.7125,6.6801559662814535e-06
1.715,6.6829436835802203e-06
1.7175,6.685482625099693e-06
1.72,6.6878480790124143e-06
1.7225,6.6900328491860783e-06
1.725,6.6920780308144865e-06
1.7275,6.6939716857926368e-06
1.73,6.6957100496022146e-06
1.7325,6.6973072145966648e-06
1.735,6.6987510705124938e-06
1.7375,6.7000770137915446e-06
1.74,6.7012896603363431e-06
1.7425,6.7024458821075086e-06
1.745,6.7035584448864938e-06
1.7475,6.7045531068182153e-06
1.75,6.7055185175474405e-06
1.7525,6.7064553325571658e-06
1.755,6.7073690014289994e-06
1.7575,6.7082971085161504e-06
1.76,6.7092756880666947e-06
1.7625,6.7103956117373816e-06
1.765,6.7116637852434176e-06
1.7675,6.7130328019685794e-06
1.77,6.71457760947018e-06
1.7725,6.7163299782863722e-06
1.775,6.7182249135484856e-06
1.7775,6.7203412156898532e-06
1.78,6.7226945463517986e-06
1.7825,6.7253194289485816e-06
1.785,6.7282193133881159e-06
1.7875,6.7313579033293797e-06
1.79,6.7347075290845023e-06
1.7925,6.7383600281300856e-06
1.795,6.7422041729679299e-06
1.7975,6.7462628954073685e-06
1.8,6.7504814853793154e-06
1.8025,6.7549925367316642e-06
1.805,6.7596828701284701e-06
1.8075,6.7643613556572091e-06
1.81,6.7690946508880954e-06
1.8125,6.7738939674937739e-06
1.815,6.7788535941056737e-06
1.8175,6.7833208485268301e-06
1.82,6.7885299090766068e-06
1.8225,6.7933577350828141e-06
1.825,6.797764690466389e-06
1.8275,6.8022020065034431e-06
1.83,6.806507875995344e-06
1.8325,6.8105923828770952e-06
1.835,6.8144789601511874e-06
1.8375,6.8183439757437428e-06
1.84,6.8219616096275244e-06
1.8425,6.8253770589955139e-06
1.845,6.8284742200791366e-06
1.8475,6.8313490978583305e-06
1.85,6.8340226992640333e-06
1.8525,6.8365502688941885e-06
1.855,6.8389215610301133e-06
1.8575,6.8411163898081555e-06
1.86,6.8430978882620395e-06
1.8625,6.8448968004597192e-06
1.865,6.8465722487418526e-06
1.8675,6.8481681146862704e-06
1.87,6.8496884610194574e-06
1.8725,6.8511559625713507e-06
1.875,6.8525531742650087e-06
1.8775,6.8538709689902055e-06
1.88,6.8551721964934725e-06
1.8825,6.856473629272595e-06
1.885,6.8577942793077956e-06
1.8875,6.8591222630063096e-06
1.89,6.8604814289999035e-06
1.8925,6.861908483984635e-06
1.895,6.8634969478341043e-06
1.8975,6.8645579250345751e-06
1.9,6.8662864708279146e-06
1.9025,6.8678200796122492e-06
1.905,6.8696994033205064e-06
1.9075,6.8712579940431932e-06
1.91,6.8731330726590746e-06
1.9125,6.8748374727577788e-06
1.915,6.876744492352368e-06
1.9175,6.8786446669142921e-06
1.92,6.8806821171973547e-06
1.9225,6.8828869243261706e-06
1.925,6.885072265923969e-06
1.9275,6.8874636800772351e-06
1.93,6.8896889489920514e-06
1.9325,6.8922852115396022e-06
1.935,6.8946181111209014e-06
1.9375,6.8976363332247486e-06
1.94,6.9003286891152592e-06
1.9425,6.9034517557128575e-06
1.945,6.9065140076148963e-06
1.9475,6.9098115657278086e-06
1.95,6.9133451220393993e-06
1.9525,6.9169911259147108e-06
1.955,6.9207139932158078e-06
1.9575,6.9245882818893904e-06
1.96,6.9285327977713176e-06
1.9625,6.9326249536114211e-06
1.965,6.9369234160029772e-06
1.9675,6.9414116993510328e-06
1.97,6.9459043732538375e-06
1.9725,6.9503467858459004e-06
1.975,6.9547998911479593e-06
1.9775,6.959235944858158e-06
1.98,6.9636242087152315e-06
1.9825,6.9678911567137552e-06
1.985,6.9720911575164687e-06
1.9875,6.9761432999428506e-06
1.99,6.9799765497877868e-06
1.9925,6.9837155906879294e-06
