Physical Time (s),enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv1,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv2,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv3,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv4,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv5,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv6,enth_flux_enthalpy_top Monitor (kg-m/s^3): top_cv7
0.00313937,0.0033349292792915534,0.0029011623591556333,0.0022945853898719113,0.0021196698261469666,0.0019632422473257515,0.0024271115207077768,0.00060784042620325726
0.00319001,0.00331061316730659,0.0028873187019563865,0.0022220440862926231,0.0020245019273901618,0.0018778197799591263,0.0023723156115490968,0.00062661388725137419
0.00324064,0.0031021107958248378,0.0027587837913534141,0.0021804894837931933,0.0020327217615646103,0.0019396579600409688,0.0023846762458453754,0.00089711464782059368
0.00329127,0.0027175858846396448,0.0025190807264452424,0.0021649663184052171,0.0021347955711161059,0.0021345743514097331,0.0024827297597649024,0.0013893738377395953
0.00334191,0.0021934280883323105,0.0021868769164558443,0.0021658244256607798,0.0023058801074421391,0.0024245344824545571,0.0026720954123063017,0.0020309045176467649
0.00339254,0.0015829762454246073,0.0017904867516737896,0.0021704160308829339,0.0025141333954421534,0.0027620766235807955,0.0029432529441445854,0.0027317012324020429
0.00344318,0.00095032173590337931,0.0013665871751972621,0.0021658668424323394,0.0027255809183219476,0.003098760176147844,0.0032685232792320001,0.003399012026681492
0.00349381,0.00036250830167789224,0.00095687517941847751,0.0021412358618102148,0.002907145379389436,0.0033900091501450876,0.0036040836750882502,0.0039501349242614635
0.00354445,-0.00012558715379142814,0.00059856209948366064,0.0020891348261422161,0.0030319384612068146,0.0036019412320407638,0.0039005806032152588,0.0043285093638419482
0.00359509,-0.00047841444220410653,0.00031921684415852671,0.0020076003537230162,0.0030828778535839036,0.0037143445202250103,0.004114239121276158,0.0045085787533615295
0.00364572,-0.00068062928665605954,0.00013520433716233732,0.0019014593317433362,0.0030549532469841181,0.0037217669992942403,0.0042163921194151603,0.0044965770396412164
0.00369636,-0.0007365053161827971,5.0943564993420447e-05,0.0017826196711878861,0.0029571437759511533,0.003634873685837843,0.0042007974161927635,0.0043277974040671196
0.00374699,-0.00066381330856472973,6.1696959030798759e-05,0.0016682038255571062,0.002809993264628303,0.0034771452804396126,0.0040829056419369901,0.0040564115073613372
0.00379762,-0.00049046686581403478,0.00015459374343001163,0.0015769799827033714,0.0026420312205204378,0.003281444965966481,0.0038961429383123419,0.0037456453492501771
0.00384826,-0.00024921833907641587,0.00031114619739106974,0.0015246984420853311,0.0024829787766835329,0.0030827412822868822,0.0036822310075473519,0.0034544092086031273
0.00389889,2.5482645398967062e-05,0.00050873555840554095,0.001520251440737694,0.0023577063294254667,0.0029116744341392263,0.0034817185400003526,0.0032278099470919273
0.00394953,0.0003000001673225159,0.00072220511549989964,0.0015634076364510168,0.0022815906596490758,0.0027893007696165135,0.0033257474278661644,0.0030891234205208569
0.00400016,0.00054375080564627719,0.00092597756195401037,0.001645606824236402,0.0022595120481315764,0.0027255442279756903,0.0032326256906363578,0.0030427196834587255
0.0040508,0.00073234947727383838,0.00109690214029221,0.001751656114068384,0.0022857342153765076,0.0027181747339608208,0.0032055053035776838,0.0030744537685318657
0.00410143,0.0008482556848215427,0.0012156754828073629,0.0018625748053183139,0.0023468620114247599,0.0027558034562067731,0.0032355187521342439,0.0031584195485013602
0.00415207,0.0008840105699649116,0.0012700339555831686,0.0019584857222954394,0.0024239280703220898,0.0028194541260574174,0.0033032480556438259,0.0032620895406830128
