Physical Time (s),enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv1,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv2,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv3,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv4,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv5,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv6,enth_flux_viscous_bot Monitor (kg-m/s^3): bot_cv7
0.00496223,6.1104464769452447e-07,6.4132711776843148e-07,5.6581943997305435e-07,4.7980954322803677e-07,4.134770983125446e-07,3.2438987997453813e-07,2.7405997843083117e-07
0.00501287,6.2070243800975517e-07,6.5230307536644098e-07,5.7685094641002469e-07,4.9043546740084427e-07,4.2341977632453458e-07,3.3121910758555918e-07,2.6240418116181224e-07
0.0050635,6.2915183094621787e-07,6.6207567160392806e-07,5.866641828763403e-07,4.9971869214327181e-07,4.3203857679552833e-07,3.3704088527765336e-07,2.5126581706202104e-07
0.00511413,6.3620426126739543e-07,6.7040597012650376e-07,5.9502766154479644e-07,5.0742740247581079e-07,4.3910631956178662e-07,3.417652495319703e-07,2.4107587117713734e-07
0.00516477,6.4186569258974034e-07,6.7725910758839372e-07,6.0192787466071091e-07,5.1356777811632065e-07,4.4463880707920939e-07,3.4554095459785081e-07,2.3242335910686869e-07
0.00521541,6.4624788190376255e-07,6.8272258527196864e-07,6.0747660786818565e-07,5.182909717463284e-07,4.4880527504752651e-07,3.4865201182377816e-07,2.2595790968558829e-07
0.00526604,6.4954638313087326e-07,6.8698289872440434e-07,6.1189087339240733e-07,5.2187069238557768e-07,4.5190938981589372e-07,3.5149396377424498e-07,2.2227482458477701e-07
0.00531667,6.5203320328346786e-07,6.9031142607103888e-07,6.1547474305790893e-07,5.2468142448271178e-07,4.5436680230220998e-07,3.545359385843021e-07,2.2189246552701107e-07
0.00536731,6.5397340189494979e-07,6.9297473302993489e-07,6.1852088070175994e-07,5.2709469906842643e-07,4.5660074253798529e-07,3.5820787849554345e-07,2.2512881212791636e-07
0.00541794,6.5560207374289069e-07,6.9520586737969102e-07,6.2128645620876946e-07,5.2944793520321103e-07,4.5900434366900414e-07,3.6286743919093165e-07,2.3208953277846849e-07
0.00546858,6.5708448526109152e-07,6.971648141921882e-07,6.2392450345992049e-07,5.3196736251407544e-07,4.6186043599390372e-07,3.6870753304509161e-07,2.4265585618309399e-07
0.00551922,6.5851099990734371e-07,6.9893514704553936e-07,6.2649816294799383e-07,5.347723582946052e-07,4.6532129811320054e-07,3.7576840168174114e-07,2.5646043326996136e-07
0.00556985,6.5990104486536634e-07,7.0053490497416115e-07,6.2898764167531839e-07,5.3786971725641563e-07,4.6942101341317335e-07,3.8393528914815918e-07,2.7297308878241542e-07
0.00562048,6.6121003553914896e-07,7.0192231924439259e-07,6.313083095511949e-07,5.4117916744397627e-07,4.7405383218452355e-07,3.9294558351130906e-07,2.9154998265617374e-07
0.00567112,6.6234247873040363e-07,7.0301635164908781e-07,6.3333406892247209e-07,5.4449369093257419e-07,4.7901329315634781e-07,4.0244828717391539e-07,3.1151888157161123e-07
0.00572176,6.6316554291687082e-07,7.0370651332043463e-07,6.3491871784468865e-07,5.4761894181637612e-07,4.8402827824734551e-07,4.1205002488619935e-07,3.3220589197509486e-07
0.00577239,6.6351416008791598e-07,7.0385569476706197e-07,6.3590456394643973e-07,5.5029430214856124e-07,4.8875772238996691e-07,4.2131649053186347e-07,3.5294192932077412e-07
0.00582302,6.6323946882363459e-07,7.0334594587145928e-07,6.3616903634666968e-07,5.5228958698704698e-07,4.9288040059814653e-07,4.2986207321099317e-07,3.7312828111363653e-07
0.00587366,6.6220896722373974e-07,7.0207447267284725e-07,6.3561792226639864e-07,5.5341304950763772e-07,4.9611183536072428e-07,4.3735942107749315e-07,3.9221744172510593e-07
0.00592429,6.6034190129043204e-07,6.9998605881826528e-07,6.3421335401805065e-07,5.5355384936064658e-07,4.9825921826034281e-07,4.4358787120602607e-07,4.0972483291146616e-07
0.00597493,6.5761171024753286e-07,6.9707338482342325e-07,6.3196723397328679e-07,5.5268192732592091e-07,4.9922834541292659e-07,4.4842494583737093e-07,4.2523213638216197e-07
0.00602557,6.5406604766403877e-07,6.9339507468634405e-07,6.2895194147533486e-07,5.5085698413276195e-07,4.9903606080733437e-07,4.5185044192429471e-07,4.383847276325554e-07
0.0060762,6.4980779475457889e-07,6.8905356308333788e-07,6.2527473490337282e-07,5.4819644375536282e-07,4.9777850095211243e-07,4.5391001831223967e-07,4.4888170412960967e-07
0.00612683,6.4498795378602497e-07,6.8419453519544748e-07,6.2107003613334989e-07,5.448596573381067e-07,4.9561298370931338e-07,4.5469188027827081e-07,4.564972125694604e-07
0.00617747,6.3980073420300766e-07,6.7899966553210317e-07,6.1649755315284398e-07,5.4103889031835006e-07,4.9273905127355125e-07,4.5432119699246136e-07,4.6112162392071851e-07
0.00622811,6.3447011245720152e-07,6.7367832380202907e-07,6.117346628459324e-07,5.3694201916984097e-07,4.893875527469022e-07,4.5295792359511543e-07,4.6280048422608183e-07
0.00627874,6.292337492198479e-07,6.6845325267062507e-07,6.069681173977755e-07,5.3278268720543936e-07,4.8580299977825339e-07,4.5079616149267574e-07,4.6175734252952447e-07
0.00632937,6.2433558039200494e-07,6.6355698245983767e-07,6.0239177744320996e-07,5.287779444627601e-07,4.8223835104075182e-07,4.4807560698786617e-07,4.58404608039352e-07
0.00638001,6.2001385410387881e-07,6.5922027270694802e-07,5.9820522271415268e-07,5.2514232055225654e-07,4.7894766759288896e-07,4.4508134328448566e-07,4.5332346971718907e-07
0.00643064,6.1649757865456763e-07,6.5566885807699596e-07,5.9461218918661422e-07,5.220891206852276e-07,4.7618736565748085e-07,4.4214332823115467e-07,4.4721771438950982e-07
0.00648128,6.1400400866623387e-07,6.5311981393354119e-07,5.918192517140051e-07,5.198331994294848e-07,4.7421235076372181e-07,4.3962988357106302e-07,4.4085035040967366e-07
0.00653192,6.1273560994362432e-07,6.517749860000478e-07,5.9003326899671102e-07,5.1858891129518813e-07,4.7329085644649177e-07,4.3793858443625099e-07,4.3499171727393616e-07
0.00658255,6.1288106445428337e-07,6.518218413055218e-07,5.8945982101246448e-07,5.1857019577667086e-07,4.7369437929887082e-07,4.3747153051752549e-07,4.3035148363949528e-07
0.00663318,6.1461666777467538e-07,6.5343315737423087e-07,5.9030710495185743e-07,5.2001548301356793e-07,4.7569271677218737e-07,4.3861524549148573e-07,4.275363870368003e-07
0.00668382,6.1810747847443626e-07,6.5676674137150649e-07,5.9275145836912855e-07,5.2310274653559262e-07,4.794962760752887e-07,4.4166879394884226e-07,4.2697070503846984e-07
0.00673445,6.2350366377914907e-07,6.6196239056438527e-07,5.9700412748493473e-07,5.2806343878373757e-07,4.8534848940436385e-07,4.4692617175137124e-07,4.2898639853226083e-07
0.00678509,6.3093295032852242e-07,6.6913722622314937e-07,6.0323285771222773e-07,5.3506489386652846e-07,4.9340583482293825e-07,4.545528357683768e-07,4.337203198985894e-07
0.00683572,6.4048829809176644e-07,6.7837678533318443e-07,6.1157780434167144e-07,5.442405695751358e-07,5.0376371624752763e-07,4.6461390534228237e-07,4.4117036454782425e-07
0.00688636,6.5221183702408563e-07,6.8972271295551781e-07,6.2213783081482584e-07,5.5567529713703817e-07,5.1643323844559599e-07,4.7706689819994789e-07,4.512181279897865e-07
0.00693699,6.6607372959883287e-07,7.0315491601763569e-07,6.3493526713478335e-07,5.6936578788707207e-07,5.3136704434183899e-07,4.917992789826961e-07,4.636883374383721e-07
0.00698763,6.8197189998663522e-07,7.1859343624118236e-07,6.4992309700647255e-07,5.8522805983096956e-07,5.483415426662681e-07,5.0849738656435669e-07,4.7823801331699601e-07
0.00703827,6.9969374957925474e-07,7.3586064370784106e-07,6.669391412059402e-07,6.0305397778887769e-07,5.6705302624096447e-07,5.2679576732928298e-07,4.9451592201412135e-07
0.0070889,7.189522484510422e-07,7.5471597362277449e-07,6.8573580982135159e-07,6.225444992501855e-07,5.8712862032051739e-07,5.4628424119422537e-07,5.1216995106934965e-07
0.00713953,7.3937385592917957e-07,7.748408452494166e-07,7.0596428238953163e-07,6.4329505172487236e-07,6.0811540150588303e-07,5.6649914666721407e-07,5.3083672731299825e-07
0.00719017,7.6051370165311132e-07,7.9584961436499174e-07,7.2718539830548643e-07,6.6480943057312015e-07,6.2949040532015568e-07,5.8694441613233748e-07,5.5020643314915623e-07
0.0072408,7.8186948531057758e-07,8.172981132130537e-07,7.4887716853949796e-07,6.865097875496807e-07,6.5067534397321311e-07,6.0707497989258665e-07,5.697878848682161e-07
0.00729144,8.028870429297512e-07,8.3868486278495237e-07,7.7044500555745849e-07,7.0774764514928411e-07,6.7104667745828594e-07,6.2635491034562011e-07,5.8921152951756763e-07
0.00734207,8.2300181862206674e-07,8.5948751642399623e-07,7.9127125367743637e-07,7.2785554357464e-07,6.8998755943542262e-07,6.4427312311547742e-07,6.0811030387478656e-07
