Physical Time (s),aphi_alt_flux_left Monitor (kg-m/s^3)
0.02233003,-0.0020217013546700974
0.02238067,-0.0019947476370882015
0.0224313,-0.0019677476363863669
0.02248194,-0.0019407671294291739
0.02253257,-0.0019137861114293911
0.02258321,-0.0018867819040075404
0.02263384,-0.0018597961635712765
0.02268448,-0.0018328737621519308
0.02273512,-0.0018058466412151767
0.02278575,-0.0017787722739027194
0.02283639,-0.0017526805553252645
0.02288702,-0.0017262448367403082
0.02293765,-0.0016997523791284924
0.02298829,-0.0016734230502193322
0.02303892,-0.0016473109644636178
0.02308956,-0.0016214704404976341
0.02314019,-0.0015959654439013215
0.02319083,-0.001570774013036466
0.02324146,-0.0015459375243325948
0.0232921,-0.0015214555260443449
0.02334273,-0.0014974310584593758
0.02339337,-0.0014738873321947835
0.02344401,-0.0014507793938203289
0.02349464,-0.0014280112071790294
0.02354528,-0.0014056101818540369
0.02359591,-0.0013836329017208929
0.02364654,-0.0013620928761030764
0.02369718,-0.0013414814785040114
0.02374781,-0.0013209748582480884
0.02379845,-0.0013010405352210325
0.02384908,-0.0012811499503536333
0.02389972,-0.0012615797719257207
0.02395035,-0.0012424950913760596
0.02400099,-0.0012239499063787464
0.02405163,-0.0012058825502810021
0.02410226,-0.0011883707208844392
0.0241529,-0.0011713817208498778
0.02420353,-0.0011549052028726609
0.02425417,-0.0011389012658807119
0.0243048,-0.0011233706092824657
0.02435543,-0.0011083361388898711
0.02440607,-0.0010938318064470192
0.0244567,-0.0010798662184437417
0.02450734,-0.0010664127038316799
0.02455797,-0.0010534770816161988
0.02460861,-0.0010410412814173401
0.02465924,-0.0010291251291849484
0.02470988,-0.0010176774193870531
0.02476052,-0.0010067145727119104
0.02481115,-0.00099623619095853908
0.02486179,-0.00098621454044908155
0.02491242,-0.00097648440617680303
0.02496305,-0.00096756130939326646
0.02501369,-0.00095812292844565537
0.02506432,-0.000949526369388632
0.02511496,-0.0009413357105274257
0.02516559,-0.00093378424212127735
0.02521623,-0.00092669907634336133
0.02526686,-0.00091991411031806987
0.0253175,-0.00091336992586563018
0.02536813,-0.00090701568321798669
0.02541877,-0.00090084796694731451
0.02546941,-0.00089483957348360644
0.02552004,-0.00088896537648509464
0.02557068,-0.00088323457692148822
0.02562131,-0.00087808711285883247
0.02567194,-0.00087292007100333614
0.02572258,-0.00086783331781999031
0.02577321,-0.00086288163639975778
0.02582385,-0.00085807149854813698
0.02587448,-0.00085340114569033734
0.02592512,-0.00084889850509273224
0.02597575,-0.00084454200127992538
0.02602639,-0.00084029604247977245
0.02607703,-0.00083615823315739697
0.02612766,-0.00083209146820981258
0.0261783,-0.00082819501787527352
0.02622893,-0.00082430992972440452
0.02627956,-0.00082056063650808465
0.0263302,-0.00081700172105847251
0.02638083,-0.00081357759336586719
0.02643147,-0.00081017158178294478
0.0264821,-0.00080678088093031665
0.02653274,-0.00080336446013709009
0.02658337,-0.0008001400490773499
0.02663401,-0.00079705089010942258
0.02668464,-0.00079400242974562139
0.02673528,-0.00079108199663792259
0.02678592,-0.00078830235751680962
0.02683655,-0.00078566088103515681
0.02688719,-0.00078310714975882373
0.02693782,-0.00078065803300469288
0.02698845,-0.0007783092333174291
0.02703909,-0.00077608453982160519
0.02708972,-0.00077398546694272216
0.02714036,-0.00077201694661101022
0.02719099,-0.00077024144816209463
0.02724163,-0.0007686391892836673
0.02729226,-0.00076730823347738236
0.0273429,-0.00076618373097678033
0.02739354,-0.00076529032920264048
0.02744417,-0.00076463111646297424
0.02749481,-0.00076413009164978283
0.02754544,-0.00076392982178044946
0.02759607,-0.00076419366477795494
0.02764671,-0.00076481877991116951
0.02769734,-0.00076578589540637822
0.02774798,-0.00076710025606943589
0.02779861,-0.00076879330294915224
0.02784925,-0.00077085095617057632
0.02789988,-0.0007732894859326108
0.02795052,-0.00077611932719821647
0.02800115,-0.00077942058426650927
0.02805179,-0.00078319497077550737
0.02810243,-0.000787482261393531
0.02815306,-0.00079237720896858346
0.0282037,-0.00079784188590725888
0.02825433,-0.0008038228545497369
0.02830496,-0.00081034265581815025
0.0283556,-0.00081737463883621011
0.02840623,-0.00082503512977638441
0.02845687,-0.00083334723084261706
