Physical Time (s),ev_left Monitor (kg-m/s^3)
0.02729226,-0.0020439527516199789
0.0273429,-0.0020432533538303609
0.02739354,-0.0020422120361697155
0.02744417,-0.0020408791976375277
0.02749481,-0.0020393081419927813
0.02754544,-0.0020375543224935501
0.02759607,-0.0020356749386285589
0.02764671,-0.0020337305924275854
0.02769734,-0.0020317819371513464
0.02774798,-0.0020298896392932698
0.02779861,-0.002028114107440325
0.02784925,-0.0020265155138978431
0.02789988,-0.0020251533526288333
0.02795052,-0.0020240858880230124
0.02800115,-0.0020233695564678689
0.02805179,-0.0020230583983423512
0.02810243,-0.002023203546928672
0.02815306,-0.0020238528645215117
0.0282037,-0.0020250505118571366
0.02825433,-0.0020268364162708509
0.02830496,-0.0020292456666395654
0.0283556,-0.0020323079970648848
0.02840623,-0.0020360471858001669
0.02845687,-0.0020404805155718607
0.0285075,-0.0020456180934850122
0.02855814,-0.0020514623975444526
0.02860877,-0.0020580076540053726
0.02865941,-0.0020652392953607137
0.02871005,-0.0020731334296670788
0.02876068,-0.002081656608985421
0.02881132,-0.0020907656733703491
0.02886195,-0.0021004076126500855
0.02891259,-0.0021105196036289523
0.02896322,-0.0021210292913048743
0.02901385,-0.0021318550743819795
0.02906449,-0.0021429066938764164
0.02911512,-0.0021540859712910333
0.02916576,-0.0021652878193818702
0.02921639,-0.0021764013237757672
0.02926703,-0.0021873111510556393
0.02931766,-0.002197898814611912
0.0293683,-0.0022080441547821308
0.02941894,-0.0022176270882656069
0.02946957,-0.0022265290907047082
0.02952021,-0.0022346350688067407
0.02957084,-0.0022418349812710894
0.02962147,-0.002248025976319712
0.02967211,-0.0022531146054774378
0.02972274,-0.0022570169451977015
0.02977338,-0.002259661770087545
0.02982401,-0.0022609917335966764
0.02987465,-0.0022609656623988903
0.02992528,-0.0022595595486595592
0.02997592,-0.0022567678499028207
0.03002655,-0.0022526036819770323
0.03007719,-0.0022470983677923611
0.03012783,-0.0022403018565854021
0.03017846,-0.0022322815124673967
0.0302291,-0.0022231205185000808
0.03027973,-0.0022129168011317574
0.03033036,-0.0022017813072437546
0.030381,-0.0021898350487854039
0.03043163,-0.0021772069646359524
0.03048227,-0.0021640309993877084
0.0305329,-0.002150443128839134
0.03058354,-0.0021365780092990221
