Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.00258238,5.9263275781087894e-15,4.2361460193014912e-15,2.5504523009575196e-15,1.6545597931464471e-15,1.8208787481744973e-15,-3.5856636718742658e-16,-4.116140087920781e-16
0.00263302,2.3116079344316167e-15,1.9052870882416223e-15,9.8034047699272337e-16,8.328696443563691e-16,9.963060731200661e-16,9.9867554470515703e-16,-8.2548778580115524e-16
0.00268366,6.8246083084490472e-15,5.1645052413566199e-15,2.7264397074645358e-15,3.2456732247338107e-15,3.1571599400605031e-15,2.8787283082410225e-15,4.2625389108733978e-15
0.00273429,1.4865798460287368e-15,1.0389451951480023e-15,-2.7087723918830473e-15,-2.8324082788006827e-15,-2.6579879039908655e-15,1.4561145731102548e-15,1.023458007395019e-15
0.00278492,5.1096076254843025e-15,5.6477101370133343e-15,3.7648830100614136e-15,4.5825034359127294e-15,4.4543769303821283e-15,4.211694103815286e-15,6.4487529836113082e-15
0.00283556,1.6185491750760184e-15,1.1841773170540924e-15,-1.9391083486984288e-15,-1.8259526482207368e-15,-2.0396624693084321e-15,-2.2183983025266369e-15,-2.6590769509869253e-15
0.00288619,-1.0933930970425351e-15,-1.4808545721369977e-15,-5.2364030654163607e-15,-6.1577098721403536e-15,-6.9566704433779902e-15,-7.8825618829701194e-15,-9.7865595466896189e-15
0.00293683,3.3980941428682754e-15,3.354306856125602e-15,1.5284074523116046e-15,1.4857435428371452e-16,5.2593436030090187e-16,1.5187400020859469e-15,5.2705584228345726e-15
0.00298746,3.595480448114507e-15,3.0650358307457147e-16,-6.3026637541855357e-16,-4.5807290680869263e-16,-2.9824875829478929e-16,-1.0734673690335572e-15,-3.9893795226162054e-15
0.0030381,8.3496347090004895e-15,7.7090466372119785e-15,8.6753072293323821e-15,8.0709410655630092e-15,7.3536953721583049e-15,7.4109536682291954e-15,6.283140228975103e-15
0.00308874,5.0449970542724843e-15,4.7999875601873755e-15,3.874743805377158e-15,5.643684839526488e-15,6.60678962726139e-15,6.3840939843181828e-15,7.5125663346387652e-15
0.00313937,1.7543645938724491e-15,3.0983388572193323e-15,3.6275000361479944e-15,3.2150198503001674e-15,2.6288232273488612e-15,2.4999236252200519e-15,3.5352280904264965e-15
0.00319001,1.7102919354254241e-15,-6.5227647875296184e-16,-3.2674455573733976e-15,-4.989797663544055e-15,-5.1676947224609716e-15,-4.1162833537604945e-15,-4.0226105798373992e-15
0.00324064,-1.1864711290780936e-14,-1.1413507597462405e-14,-1.0816501043067369e-14,-9.949253609202463e-15,-1.1234289654211361e-14,-1.1209562618272672e-14,-1.4885188801546999e-14
0.00329127,8.8943005262272697e-16,1.4052237081600014e-15,2.2181735689636196e-16,-1.7360835333057486e-15,-6.0223368437912195e-16,-1.0371688292930036e-15,-1.5200940713211182e-15
