Physical Time (s),ev_top Monitor (kg-m/s^3): top_cv1,ev_top Monitor (kg-m/s^3): top_cv2,ev_top Monitor (kg-m/s^3): top_cv3,ev_top Monitor (kg-m/s^3): top_cv4,ev_top Monitor (kg-m/s^3): top_cv5,ev_top Monitor (kg-m/s^3): top_cv6,ev_top Monitor (kg-m/s^3): top_cv7
0.00278492,5.0289748917351479e-07,4.5133885651384772e-07,2.6515260204599657e-07,2.349357679615646e-07,2.3433308905030189e-07,2.058948200209861e-07,1.6823092277886773e-07
0.00283556,4.9106913446616797e-07,4.4411973717436044e-07,2.4821046243499912e-07,2.0937164699284339e-07,2.0832182667047931e-07,1.8960360835117646e-07,1.4324935894423005e-07
0.00288619,4.7065232333646489e-07,4.2666472122433039e-07,2.2680402816332552e-07,1.7920606893053785e-07,1.7741413444605055e-07,1.6702056681867932e-07,1.1393587002168611e-07
0.00293683,4.4854530367164147e-07,4.0541761767194697e-07,2.0530146574331232e-07,1.4965172371252464e-07,1.4676030844007669e-07,1.4247020642980189e-07,8.5323188651783577e-08
0.00298746,4.2955305206529844e-07,3.8485425347902257e-07,1.8578797639163737e-07,1.2341192710441287e-07,1.1904154551875742e-07,1.1852324887428598e-07,5.9976833104631e-08
0.0030381,4.1626087995316735e-07,3.6735194872946296e-07,1.6833261201388962e-07,1.0081146215810771e-07,9.4632647091046355e-08,9.6069026055864748e-08,3.8189597255294308e-08
0.00308874,4.095565057647817e-07,3.5371904413488761e-07,1.5181985210869194e-07,8.0618107533650561e-08,7.2435905146260488e-08,7.4783358585259629e-08,1.8799272697627204e-08
0.00313937,4.092147902217203e-07,3.4383143590127598e-07,1.3468834394281058e-07,6.0873597097085328e-08,5.0686328754291528e-08,5.3530505093136913e-08,-4.1034760819112623e-11
0.00319001,4.1431423688708805e-07,3.3711884067746666e-07,1.1551918254007818e-07,3.9605832525295294e-08,2.760566729459243e-08,3.0802143843689598e-08,-2.020589835389962e-08
0.00324064,4.2348109647405473e-07,3.3283838881823672e-07,9.3281290260701991e-08,1.5207115090327754e-08,1.7250431251926155e-09,5.0754141796333646e-09,-4.3252920663243127e-08
0.00329127,4.3506218618413244e-07,3.3019416170914406e-07,6.7467960197356102e-08,-1.3354754948770848e-08,-2.7940387277193241e-08,-2.482074316249654e-08,-7.0228964175350433e-08
0.00334191,4.473294327574811e-07,3.2842723835104822e-07,3.8199995599207882e-08,-4.6371046168922418e-08,-6.1729304885400391e-08,-5.9338233340789025e-08,-1.0148064159585663e-07
0.00339254,4.5875618426533396e-07,3.2693657068928549e-07,6.3101038861623867e-09,-8.3266579757681356e-08,-9.9182007166094644e-08,-9.7954144294542126e-08,-1.3648725207640177e-07
0.00344318,4.6826775849237842e-07,3.2538306335037408e-07,-2.6680708745218103e-08,-1.2261516781077624e-07,-1.3901637411918665e-07,-1.3917644756400216e-07,-1.7384742281584784e-07
0.00349381,4.7541352090504248e-07,3.2376229548327242e-07,-5.8731102052324743e-08,-1.6230694265751025e-07,-1.7926921061340205e-07,-1.8078945342747608e-07,-2.1145191832642461e-07
0.00354445,4.8039406361121257e-07,3.2239528726243847e-07,-8.7597971875314387e-08,-1.9987680776532227e-07,-2.1759412161876874e-07,-2.2025973796862515e-07,-2.4683135308137136e-07
0.00359509,4.8395499325865162e-07,3.2184409392886406e-07,-1.1124355621059485e-07,-2.329290475886282e-07,-2.5168036686663852e-07,-2.5520182428152613e-07,-2.7760514695900523e-07
0.00364572,4.8718152045294563e-07,3.2277025795205095e-07,-1.2823092133091537e-07,-2.5957042984429042e-07,-2.7968134581804497e-07,-2.8379442551551064e-07,-3.0193329547828022e-07
