Physical Time (s),etp_right Monitor (kg-m/s^3): right_cv1,etp_right Monitor (kg-m/s^3): right_cv2,etp_right Monitor (kg-m/s^3): right_cv3,etp_right Monitor (kg-m/s^3): right_cv4,etp_right Monitor (kg-m/s^3): right_cv5,etp_right Monitor (kg-m/s^3): right_cv6,etp_right Monitor (kg-m/s^3): right_cv7
0.00379762,0.15117159429598642,0.01411190418094992,0.0014589337907328912,0.0016746767896883717,0.0020291271279922213,0.016715305120578491,0.00097453861305729747
0.00384826,0.14656599521765482,0.01427951540855147,0.0011526117555567266,0.0015033855538164609,0.0020471601083424033,0.010304612771895243,0.0003565346554256855
0.00389889,0.142955725896311,0.013969835311442099,0.00095220484967827642,0.0013274235086084046,0.0019358318512923294,0.0054226902303687969,0.00013924033624943672
0.00394953,0.14081987113745542,0.01319137120832084,0.00086092471464252929,0.0011391126703740183,0.001739681168518034,0.0024662445470526378,0.00054555870351954603
0.00400016,0.14038674294991282,0.012019224171843843,0.00087026163727881327,0.00093672523195464225,0.001503049397188464,0.0011335617011677033,0.0017722263851096291
0.0040508,0.14175903385717867,0.010581058600399679,0.00096261810643011943,0.00072470134632110462,0.0012595718625999738,0.0007925836304580881,0.0039477538378825013
0.00410143,0.14481083628992816,0.0090363407915117263,0.0011115574375676765,0.00051248670442833536,0.0010293852800586851,0.00082615371886992327,0.0070848141121008304
0.00415207,0.14919256796017838,0.0075523570587805126,0.0012825511802547927,0.000311949665015235,0.00082140743478376402,0.00083559159124446897,0.011037361446544196
0.00420271,0.15433640572335622,0.0062807166350816682,0.0014352153729439261,0.00013441200539741221,0.0006373163780433544,0.00069102056960033617,0.015472973501466165
0.00425334,0.1596471292480422,0.0053382837163261001,0.0015284675033489235,-1.193872053816843e-05,0.00047514298105506988,0.00044709028272638433,0.019877073028331541
0.00430397,0.16455471913472552,0.0047965586301320796,0.0015277226738082464,-0.00012323302003068733,0.00033171295472690546,0.00023044829906633052,0.023608434357958247
0.00435461,0.16858854576034332,0.0046787906895548754,0.0014120598927354724,-0.00019952501539537024,0.00020407675894163662,0.0001428054483083217,0.02600322656141258
0.00440524,0.17144490966138753,0.0049630285430528522,0.0011787598007814166,-0.00024377562764331216,9.023484842692304e-05,0.00021131011649550672,0.026515161290988819
0.00445588,0.17304583172333335,0.0055870729572905214,0.00084315724030426279,-0.00026099845578981715,-1.0551099317884933e-05,0.00039212417266274113,0.024873592280673845
0.00450651,0.1734902728254917,0.0064539133612753303,0.00043603905402512795,-0.00025796351275109928,-9.7999955686164898e-05,0.00060499864537318353,0.021209202594524877
0.00455715,0.17298882293570766,0.0074394064043478408,-3.0045206436572021e-06,-0.00024375222660338552,-0.00017138802905447819,0.0007723895052492404,0.016046119756802507
0.00460778,0.17180885160023412,0.0084030403924075202,-0.0004330752156655477,-0.00022970262433852568,-0.00023031248303459918,0.00084634463020675892,0.010284220275187977
0.00465842,0.17027045577452124,0.0092035501796362135,-0.00081840265876738534,-0.00022841190938736503,-0.00027525815218898902,0.00081702335297506828,0.0050451962782859091
0.00470906,0.16883068980497945,0.0097175420686115947,-0.0011326089895546138,-0.00025154366947466436,-0.00030782140801143335,0.00070448891689962022,0.0014239056709887564
0.00475969,0.167847621166513,0.009857132290678491,-0.0013598166294937512,-0.00030722564582928241,-0.00033038147659019231,0.00054344749423733396,0.00021380060610971113
0.00481032,0.16763994749915698,0.0095831782858395165,-0.001493702270638401,-0.00039772303936684269,-0.00034562017869293343,0.00037012792770464091,0.001685918441793222
0.00486096,0.16829145070970844,0.0089122247329501449,-0.0015360575700406633,-0.0005187230569825012,-0.00035620359938151635,0.00021225398402596328,0.0054804470155724455
0.00491159,0.16992951153796668,0.0079147985361243088,-0.0014963222313731149,-0.0006601560382186759,-0.00036482502728190942,8.5313611638129807e-05,0.010666664431649814
0.00496223,0.17256100256835519,0.0067044361173479953,-0.0013915768002057572,-0.00080848032678427313,-0.00037446928102013446,-6.567413555808665e-06,0.015971693258444421
0.00501287,0.17607712152619032,0.0054160581951359773,-0.001246758836751775,-0.00095035273649806524,-0.00038867855241399014,-6.7033538888769268e-05,0.020118545777186081
0.0050635,0.18028461090042724,0.0041814132513799309,-0.001093089045372245,-0.0010756641104297754,-0.0004113391396320559,-0.00010327310760412144,0.022155825401458228
0.00511413,0.18494651130892317,0.0031105504823967169,-0.00096514373424257636,-0.0011789554708063182,-0.00044592285616991466,-0.00012287284595581072,0.02172416548834006
0.00516477,0.18996778962613164,0.0022798160324433493,-0.00089599036981775817,-0.0012591934767018195,-0.00049444819311334127,-0.00013228748122140238,0.019060837308239691
0.00521541,0.19513026244296994,0.0017278211553078088,-0.00091165760572453267,-0.0013183923630340801,-0.00055659643546710044,-0.00013619004907162758,0.014867934097486251
0.00526604,0.20014774872834154,0.0014575402260177399,-0.0010257217727139183,-0.0013600429045927856,-0.00062939714768554898,-0.00013776162136076714,0.010126638270470657
0.00531667,0.20479181276420289,0.0014428372192076921,-0.0012372508257978551,-0.0013881234134263732,-0.00070790594598548829,-0.00013905768441774196,0.0058044599072983576
0.00536731,0.2088597286547606,0.0016368765340197843,-0.0015309247772397642,-0.0014069004519265552,-0.00078626247912752468,-0.00014156025217477089,0.0026036612490805376
0.00541794,0.21223632817671625,0.0019810303386449523,-0.001880321344306725,-0.0014214407239264352,-0.00085920393036794317,-0.00014641350795574013,0.00082163374358074027
0.00546858,0.21492411667899225,0.0024126719121601295,-0.0022533853632891922,-0.0014382907968079253,-0.00092324871571197427,-0.00015449637614267656,0.00033651570790180338
0.00551922,0.21702640890025041,0.0028722593441876283,-0.0026187868537768354,-0.0014653220219406093,-0.00097720604988349447,-0.00016639591107628067,0.00073047141106972221
0.00556985,0.21865470863153741,0.0033096516263695858,-0.0029511354069354945,-0.0015104110746922085,-0.0010218936891883891,-0.00018226554941843556,0.001482044145396477
0.00562048,0.22015112922022653,0.0036887893977206238,-0.0032336979209344348,-0.0015794968823940716,-0.0010591304627251235,-0.00020160223555634141,0.0021445060688857305
0.00567112,0.2217695001708557,0.0039900738125020468,-0.003458074636213072,-0.0016746632368800276,-0.0010905080588334015,-0.00022315481129317043,0.0024567330796633913
0.00572176,0.22384708682255253,0.0042105468872606919,-0.0036222463505840106,-0.0017929722710928939,-0.0011167916011633951,-0.00024505506521989187,0.0023689321268996642
0.00577239,0.22662725603782677,0.0043618957841561282,-0.0037282077503305953,-0.0019266407416287231,-0.0011376766154697273,-0.00026502453819082447,0.0019678106920996957
0.00582302,0.23017970008895383,0.0044671485513334639,-0.0037804055266208387,-0.0020647513638978594,-0.0011524128888906857,-0.00028070924779888208,0.0014152255632562064
0.00587366,0.23446091230016408,0.0045565881657801191,-0.0037848204289419843,-0.0021953135288490426,-0.0011605253089650566,-0.00029004197818981582,0.00087065616952600026
0.00592429,0.23947883824939309,0.0046634565447817387,-0.0037483981914471923,-0.0023077990585680238,-0.0011623234762350625,-0.00029150201437433328,0.00044157811897161043
0.00597493,0.2450423037450975,0.004819887252775084,-0.0036788850261898613,-0.0023949058186244253,-0.0011589337624099381,-0.00028430837887276079,0.00016625034394823873
0.00602557,0.25079139027616026,0.0050530211560440652,-0.0035838518103452521,-0.0024530942953390157,-0.0011517696745718788,-0.00026854881721244059,2.6444872737604549e-05
0.0060762,0.25639369484571517,0.005381723862448993,-0.0034694189494065466,-0.0024817681830993366,-0.0011418422335449921,-0.00024526449410190352,-2.3493615087729882e-05
0.00612683,0.26162736427547129,0.0058145678091367208,-0.0033388536822480893,-0.0024817193757071896,-0.0011292640396493036,-0.00021650012501114028,-2.9481492799660797e-05
0.00617747,0.26631430771351372,0.0063496420154133979,-0.0031915763624080075,-0.0024535692764087753,-0.0011133328090994472,-0.00018520764952407415,-2.1673681829185757e-05
0.00622811,0.27031104852716947,0.0069764877350626617,-0.0030226322364594257,-0.002396939279916807,-0.0010930629602629886,-0.00015494954603294774,-1.0325594323081224e-05
0.00627874,0.27378866012861947,0.0076793470332103238,-0.0028230248703865818,-0.0023105238099465392,-0.0010680044097189547,-0.00012936959270528752,7.0068446300037692e-06
0.00632937,0.27695914094499857,0.0084417384306692562,-0.002580580691507716,-0.0021930173695356384,-0.001038905416269561,-0.00011150652382831288,3.8180888935168426e-05
0.00638001,0.28013603413279137,0.0092513011890444502,-0.0022814435565915174,-0.0020442893216583379,-0.0010078727624516922,-0.00010312576226571915,8.8542088664473896e-05
0.00643064,0.28369813466721139,0.010104997687677066,-0.0019117422282687595,-0.0018662151478249039,-0.00097783322051503288,-0.0001042956157574463,0.0001568736354655909
0.00648128,0.28799971525422341,0.011012304445871021,-0.0014594860521304485,-0.0016629069912501894,-0.00095147485551040504,-0.00011335970600068608,0.00023540225009191474
