Physical Time (s),ea_right Monitor (kg-m/s^3): right_cv1,ea_right Monitor (kg-m/s^3): right_cv2,ea_right Monitor (kg-m/s^3): right_cv3,ea_right Monitor (kg-m/s^3): right_cv4,ea_right Monitor (kg-m/s^3): right_cv5,ea_right Monitor (kg-m/s^3): right_cv6,ea_right Monitor (kg-m/s^3): right_cv7
0.00197476,0.038275629835831007,0.0011703174252789906,0.0020428942691977621,0.0060286097501007652,0.0011573092330861069,8.9647364277677309e-05,2.4232551822417622e-09
0.0020254,0.040146092507802551,0.0012708084436863865,0.0022151728876023558,0.0049348589842292904,0.00052755467343957685,0.00013019044897647069,5.1090261622346056e-09
0.00207603,0.041911615409514255,0.0014574935230167708,0.0020618706380722829,0.0031963363089942526,0.00013599669388599309,0.00018085983988364859,1.051434676797861e-08
0.00212667,0.043611254564349757,0.001700710985300136,0.0016865781786170623,0.0015174383418304726,0.00023347922603318152,0.00024115622627703782,2.1091854366739711e-08
0.00217731,0.045304432813714469,0.0019731156410101925,0.0012282499415474015,0.00040498408479834055,0.00092328527031789137,0.00030976258694766841,4.1185703734921205e-08
0.00222794,0.047058221850661323,0.0022486436447697058,0.00080476184505417592,1.6418787334993444e-05,0.0020566291180735947,0.00038450021302987723,7.8188942748446056e-08
0.00227858,0.048937221095316855,0.0025039080786380132,0.00048229331895210351,0.00020661669789114051,0.0032474108575504959,0.00046201599609643383,1.4416126773711314e-07
0.00232921,0.050996491640778033,0.002720668284164696,0.00027397168861363673,0.00068088108676531058,0.0040321336082450882,0.00053697024925617289,2.5790176787571142e-07
0.00237984,0.053276139184597657,0.0028886090924161393,0.00015890128842079655,0.0011490339636783772,0.0040987044495051127,0.00060099957597651264,4.4731288170469199e-07
0.00243048,0.055795526698671653,0.0030066187722640331,0.00010600811918386035,0.0014227417510299808,0.0034367249707186551,0.00064225055521168774,7.5167932470535938e-07
0.00248111,0.058548156583203399,0.003082212981020811,9.0851416742378509e-05,0.0014433652570678837,0.0023251169331021115,0.00064643047092736669,1.2232271713373103e-06
0.00253175,0.061497542262109718,0.003129082361664821,0.00010103052098982498,0.001254530330612123,0.0011791519300338978,0.00060055079739665439,1.9271089685732847e-06
0.00258238,0.064579257599230389,0.0031638110905200106,0.00013302959343550175,0.00095288731820511951,0.0003552517719792364,0.0004990509842752632,2.9390707524668127e-06
0.00263302,0.067714508724797104,0.0032025115305164458,0.00018559430941172007,0.00063811315859340278,1.8668515441817637e-05,0.00035117556861414482,4.3402959661553812e-06
0.00268366,0.070826650383318202,0.0032579807884220574,0.00025475947260117696,0.00037939069486912612,0.00012209609471754683,0.00018730077729728592,6.2096939190254691e-06
0.00273429,0.073858313266591771,0.003337805020331409,0.000332424909772122,0.00020419202969241824,0.00047835555164002448,5.9634995484849439e-05,8.6153100619620722e-06
0.00278492,0.076784013263830775,0.0034434534060206346,0.00040809876610201605,0.00010577597161860291,0.00086733649819887085,3.3219967682805436e-05,1.1606754478675221e-05
0.00283556,0.079613509560802084,0.0035704003309963597,0.00047198202059550449,6.0148602624297571e-05,0.0011236923164215484,0.00016602726603094986,1.5211433430327239e-05
0.00288619,0.082382634243533148,0.0037090707591440845,0.00051763019939629618,4.2489952628336931e-05,0.0011784040437956707,0.0004822675199273253,1.9436703387159737e-05
0.00293683,0.085140732694360427,0.0038468529491477079,0.00054314554445607656,3.6763630088205583e-05,0.0010508582882261005,0.00094875143184252762,2.4276234586465971e-05
0.00298746,0.087937556326591532,0.0039709064656749359,0.0005508031720030496,3.7367759717467263e-05,0.00081392406547699725,0.0014688948085955326,2.9722544720890611e-05
0.0030381,0.090816711919703877,0.004071152070183371,0.00054558689748746415,4.5308802791101215e-05,0.00055200562938783118,0.0019038619144222013,3.5774507044285614e-05
0.00308874,0.093809025931970103,0.0041427132367215184,0.00053344905840990091,6.2978290346536167e-05,0.00032917503538296665,0.0021184067768202923,4.2432999000649182e-05
0.00313937,0.096932920771018533,0.0041870345033037078,0.00051986068220022754,9.041651415754912e-05,0.00017525143499377193,0.002036730715804143,4.9690528630904764e-05
0.00319001,0.10019534478983104,0.0042112942797394859,0.00050887765500573631,0.00012426138162909502,8.8797453611066241e-05,0.0016743660722360969,5.7500612829383927e-05
0.00324064,0.10359270398775242,0.0042264646410095736,0.00050277012335499997,0.00015894025120039568,5.0323574028962953e-05,0.0011389441091800741,6.5739116012394788e-05
0.00329127,0.10711095841571511,0.0042447503035583636,0.00050206712775143901,0.0001887940515160961,3.6796818123020459e-05,0.00059078964786570128,7.4161091440030214e-05
0.00334191,0.11072594637509874,0.0042772108149803246,0.00050583772622209621,0.00020989413527318812,3.14970040410113e-05,0.00018347590582852021,8.2363212646468045e-05
0.00339254,0.11440766610586477,0.0043321584897117972,0.00051210199579987186,0.00022085510612596373,2.7243386013713727e-05,9.7806790936961642e-06,8.9760375770501054e-05
0.00344318,0.11812372480106967,0.0044144364386166863,0.00051838994571958962,0.00022263403607924962,2.4187678003327083e-05,7.5133202893182521e-05,9.5585163004849284e-05
0.00349381,0.12184155341502528,0.0045253684087584109,0.00052230672391118127,0.00021759205212492825,2.5549350958581487e-05,0.0003071088782045546,9.8922797578615334e-05
