Physical Time (s),xth_left Monitor (kg-m/s^3)
0.02901385,-4.6254368400683897e-13
0.02906449,-6.8583871849655697e-12
0.02911512,1.3956200232824765e-12
0.02916576,-2.5374541696221287e-12
0.02921639,1.3398692923820473e-12
0.02926703,-4.1517869689562056e-12
0.02931766,-1.4581301002493295e-12
0.0293683,-9.7134035779223522e-13
0.02941894,-1.9236877641329371e-12
0.02946957,3.1717570084032292e-13
0.02952021,-3.1047894152759828e-12
0.02957084,-3.4615877525001596e-13
0.02962147,-3.387406886927775e-12
0.02967211,-4.5122596226253525e-12
0.02972274,-1.0245904621373961e-12
0.02977338,6.380345216650865e-13
0.02982401,-3.863467492910416e-12
0.02987465,-3.0765895032712493e-12
0.02992528,-2.9625025478559372e-12
0.02997592,9.0392859794567672e-13
0.03002655,-4.1609471381787311e-12
0.03007719,-7.9752042980797869e-13
0.03012783,-1.6674434865673476e-12
0.03017846,-1.8909555578853626e-12
0.0302291,-1.4612125843331029e-12
0.03027973,-8.0559974351353969e-12
0.03033036,1.4896210681532618e-12
0.030381,-7.8026758275481752e-13
0.03043163,-3.9739936562228549e-12
0.03048227,-7.124883323204893e-12
0.0305329,-4.3304875995074728e-12
0.03058354,-3.4543323903040159e-12
0.03063417,-2.5153060310226647e-12
0.03068481,-2.3921646570462916e-12
0.03073545,-9.7795269446351173e-12
0.03078608,-4.4459826973660872e-13
0.03083672,-5.250328344615119e-12
0.03088735,-1.0278323904517748e-11
0.03093798,-3.5372888119462493e-12
0.03098862,-7.7950129605832848e-12
0.03103925,-5.840082208267091e-12
0.03108989,-4.3128097324610713e-12
0.03114052,-1.2906561149347305e-12
0.03119116,-6.4399911292817726e-12
0.03124179,-7.5068562942386689e-12
0.03129243,-3.3484640599706901e-14
0.03134306,-8.9388396033694726e-12
0.0313937,-9.2675894000897541e-12
0.03144433,-1.1805360802394193e-11
0.03149497,-6.6961158900850388e-12
0.0315456,-6.7642480018127809e-12
0.03159624,-1.0678401772259982e-11
0.03164687,-1.0672656157653572e-11
0.03169751,-4.9042974583000908e-12
0.03174814,-4.5432040311959691e-12
0.03179878,-6.4963100845131266e-12
0.03184941,-7.8015852585563891e-12
0.03190005,-2.8603036688974915e-12
0.03195068,-2.5347321766004411e-12
0.03200132,-4.856961799641131e-12
0.03205196,-9.7224129201157853e-12
0.03210259,-1.0176833534779641e-11
0.03215323,-1.3207842627891503e-11
0.03220386,-8.2151014579948974e-12
0.0322545,-1.0683865372237835e-11
0.03230513,-3.0027929532839935e-12
0.03235577,-6.9948328937387053e-12
0.0324064,-9.7920515295267687e-12
0.03245704,-1.1005646958587836e-11
0.03250767,-7.2806353215782613e-12
0.03255831,-5.3077515293867859e-12
0.03260894,-6.9460688034203965e-12
0.03265957,-9.9640808142739536e-12
0.03271021,-1.0746826668740682e-11
0.03276084,-4.8748916224380251e-12
0.03281148,-1.2625829908867464e-11
0.03286211,-6.4097047112741748e-12
0.03291275,-8.2348907354968528e-12
0.03296338,-7.3686159141083491e-12
0.03301402,-1.0869410365974568e-11
0.03306465,-6.802122463556213e-12
0.03311529,-9.4506927365591499e-12
0.03316592,-9.3189533904595766e-12
0.03321656,-1.0001247793281692e-11
0.03326719,-8.130018867246525e-12
0.03331783,-5.1190422849691949e-12
0.03336846,-5.906056907079144e-12
0.0334191,-3.4122866710580917e-12
0.03346974,-5.5853194856832908e-12
0.03352037,-5.5982544324856825e-12
0.03357101,-6.8459656446436591e-12
0.03362164,-6.2347757441042684e-12
0.03367228,-6.3439039042761254e-12
0.03372291,-7.669574196881433e-12
0.03377355,-3.4406256800877969e-12
0.03382418,-4.5963137512755517e-12
0.03387482,-3.8508317060013838e-12
0.03392545,-3.9144584972869463e-12
0.03397608,-3.8675983136055936e-12
0.03402672,-4.3682203497603474e-12
0.03407735,-3.593859961136084e-12
0.03412799,-4.2976649831166913e-12
0.03417862,-2.298219358545909e-12
0.03422926,-5.9283740733132204e-12
0.03427989,-3.7126390606077408e-12
0.03433053,-9.8682444532114048e-13
0.03438116,-3.5939316161486371e-12
0.0344318,-3.7346160031459684e-12
0.03448243,-1.3492630662114229e-12
0.03453307,-3.9662268693691174e-12
0.0345837,-1.7472009825135992e-12
0.03463434,-1.1140183216661297e-12
0.03468497,-2.9509628741788482e-12
0.03473561,-1.6049603581153089e-12
0.03478625,-3.4596991716958111e-12
0.03483688,-2.8062468056610257e-12
0.03488752,-3.1653138121315809e-12
0.03493815,-3.6385061267855495e-12
0.03498879,-3.1436720031523599e-12
0.03503942,9.7706483290417204e-13
0.03509006,-2.0836736435185296e-12
0.03514069,-4.6505548986570178e-13
0.03519133,-2.3286488492243275e-12
0.03524196,-8.8596328587008712e-13
0.03529259,-1.872825031424813e-12
0.03534323,2.7045827617878829e-12
0.03539386,-3.4244751848868751e-12
0.0354445,-1.6239245736014016e-12
0.03549513,-1.2691383057686859e-12
0.03554577,4.0879332761477186e-13
0.0355964,-3.0347346453897349e-12
0.03564704,-4.2799204960121529e-13
0.03569767,-1.3901112268041875e-12
0.03574831,-1.7465591350272333e-12
0.03579894,-4.9039767105672174e-12
0.03584958,-1.7161156015537579e-12
0.03590021,-1.2686424726466519e-12
0.03595085,-6.3932952848709578e-13
0.03600148,3.592385244753667e-14
0.03605212,-3.0175520379667687e-12
0.03610276,-1.5876618163801562e-12
0.03615339,-3.7801473251554727e-12
0.03620403,-1.4662898289305952e-12
0.03625466,-1.6752939816408266e-12
0.0363053,-1.466125840503666e-12
0.03635593,1.7646569824844101e-12
0.03640657,-3.6813320854292301e-12
0.0364572,-1.5789021951972138e-12
0.03650784,-5.0940366597496599e-13
0.03655847,-2.3993916166275913e-12
0.0366091,1.1103062675353388e-12
0.03665974,-7.1075918984080504e-13
0.03671037,-1.3143640590385078e-12
0.03676101,-4.8323788594614098e-13
0.03681164,-1.146781751327132e-12
0.03686228,-3.3272495778907939e-13
0.03691291,-2.7486314690144955e-12
0.03696355,3.7957995353554508e-13
0.03701418,-1.5353383292970355e-12
0.03706482,-8.5374528604761542e-13
0.03711545,-1.2102722836347728e-12
0.03716609,-1.8619942340207601e-13
0.03721672,-3.6556310281600319e-13
0.03726736,2.2365707583256764e-13
0.03731799,-6.45018850057986e-13
