Physical Time (s),Etau_left Monitor (kg-m/s^3)
0.01853241,-1.8037535071135653e-06
0.01858304,-1.8065941858068816e-06
0.01863368,-1.8097318999701178e-06
0.01868431,-1.8131497423257785e-06
0.01873495,-1.8168258886917659e-06
0.01878559,-1.8207342347652706e-06
0.01883622,-1.8248456787244215e-06
0.01888686,-1.8291281797103962e-06
0.01893749,-1.8335484254537051e-06
0.01898812,-1.8380726319862534e-06
0.01903876,-1.8426675474234634e-06
0.01908939,-1.8473011599677465e-06
0.01914003,-1.8519433942454618e-06
0.01919066,-1.8565667648300094e-06
0.0192413,-1.8611465885666031e-06
0.01929193,-1.8656612120018346e-06
0.01934257,-1.8700919626656808e-06
0.01939321,-1.8744237858262677e-06
0.01944384,-1.8786439296629451e-06
0.01949448,-1.8827412606203781e-06
0.01954511,-1.8867078056914041e-06
0.01959575,-1.8905369373180043e-06
0.01964638,-1.8942229511579521e-06
0.01969701,-1.8977598506864979e-06
0.01974765,-1.9011426746385979e-06
0.01979828,-1.904366844828309e-06
0.01984892,-1.9074283642824539e-06
0.01989955,-1.9103237870918846e-06
0.01995019,-1.9130500992736648e-06
0.02000082,-1.9156060563035705e-06
0.02005146,-1.9179921415557543e-06
0.0201021,-1.9202102125948861e-06
0.02015273,-1.9222643408589359e-06
0.02020337,-1.9241612946921146e-06
0.020254,-1.9259116057635499e-06
0.02030463,-1.927527546598103e-06
0.02035527,-1.929024114119516e-06
0.0204059,-1.930420079575214e-06
0.02045654,-1.9317363149638154e-06
0.02050717,-1.9329951819395215e-06
0.02055781,-1.9342221840029033e-06
0.02060844,-1.9354449014305624e-06
0.02065908,-1.9366918026794476e-06
0.02070972,-1.9379926623709447e-06
0.02076035,-1.9393791273223848e-06
0.02081099,-1.9408836590795741e-06
0.02086162,-1.9425388878149293e-06
0.02091226,-1.944376543997132e-06
0.02096289,-1.9464276773278408e-06
0.02101352,-1.9487221604715005e-06
0.02106416,-1.9512874392503983e-06
0.02111479,-1.9541475635609792e-06
0.02116543,-1.9573233137733987e-06
0.02121606,-1.9608325130480696e-06
0.0212667,-1.9646881769587459e-06
0.02131733,-1.9688983401716061e-06
0.02136797,-1.9734677898972262e-06
0.02141861,-1.978395911298755e-06
0.02146924,-1.9836768963997976e-06
0.02151988,-1.9893015553809848e-06
0.02157051,-1.9952549418413977e-06
0.02162114,-2.001517395335721e-06
0.02167178,-2.0080660277957874e-06
0.02172241,-2.0148739796982899e-06
0.02177305,-2.0219098302519656e-06
0.02182368,-2.0291392961558367e-06
0.02187432,-2.0365259619147519e-06
0.02192495,-2.04403062818255e-06
0.02197559,-2.0516122248835077e-06
0.02202622,-2.0592285376199102e-06
0.02207686,-2.0668370110797693e-06
0.0221275,-2.0743952716890235e-06
0.02217813,-2.0818604949836348e-06
0.02222877,-2.0891914498444089e-06
0.0222794,-2.096348994429036e-06
0.02233003,-2.1032942777802085e-06
0.02238067,-2.1099913078149025e-06
0.0224313,-2.1164064763632068e-06
0.02248194,-2.1225082058909834e-06
0.02253257,-2.1282678808240508e-06
0.02258321,-2.1336597305073738e-06
0.02263384,-2.138661333361427e-06
0.02268448,-2.1432535662594303e-06
0.02273512,-2.1474207839044314e-06
0.02278575,-2.1511510864663353e-06
0.02283639,-2.1544362074444304e-06
0.02288702,-2.157271646882275e-06
0.02293765,-2.1596568901954664e-06
0.02298829,-2.1615947748319757e-06
0.02303892,-2.1630920896160988e-06
0.02308956,-2.1641587560073411e-06
0.02314019,-2.1648097012479676e-06
0.02319083,-2.1650593273892813e-06
0.02324146,-2.1649287698188402e-06
0.0232921,-2.1644408656532143e-06
0.02334273,-2.1636209922371284e-06
0.02339337,-2.1624970201340661e-06
0.02344401,-2.1610988071755115e-06
0.02349464,-2.1594584083579656e-06
0.02354528,-2.1576090248637653e-06
0.02359591,-2.1555856851220348e-06
0.02364654,-2.15342396871422e-06
0.02369718,-2.15116026254374e-06
0.02374781,-2.148830727782798e-06
0.02379845,-2.1464730841599917e-06
0.02384908,-2.1441230887654461e-06
0.02389972,-2.141816007598099e-06
0.02395035,-2.1395867673312523e-06
0.02400099,-2.1374692077843208e-06
0.02405163,-2.1354937956723737e-06
0.02410226,-2.1336914677272626e-06
0.0241529,-2.1320892814247898e-06
0.02420353,-2.1307136677955693e-06
0.02425417,-2.1295867940291918e-06
0.0243048,-2.1287306922628195e-06
0.02435543,-2.1281633965895396e-06
0.02440607,-2.1279015261266893e-06
0.0244567,-2.1279589189964877e-06
0.02450734,-2.1283462795643741e-06
0.02455797,-2.129072791220327e-06
0.02460861,-2.1301445170567798e-06
0.02465924,-2.1315654549717436e-06
0.02470988,-2.1333376284522386e-06
0.02476052,-2.1354612311623303e-06
0.02481115,-2.1379335489442859e-06
0.02486179,-2.1407506137487426e-06
0.02491242,-2.1439059318481671e-06
0.02496305,-2.1473903255536173e-06
0.02501369,-2.1511935273625925e-06
0.02506432,-2.1553028410803216e-06
0.02511496,-2.1597048330422711e-06
0.02516559,-2.1643811019309167e-06
0.02521623,-2.169313139855688e-06
0.02526686,-2.1744810033163633e-06
0.0253175,-2.1798642264202462e-06
0.02536813,-2.1854417112561445e-06
0.02541877,-2.191192142345038e-06
0.02546941,-2.1970925525071493e-06
0.02552004,-2.2031179370537174e-06
0.02557068,-2.2092425800199318e-06
0.02562131,-2.2154399724479853e-06
0.02567194,-2.2216829193139983e-06
0.02572258,-2.2279437948049817e-06
0.02577321,-2.2341953723728566e-06
0.02582385,-2.2404105792841009e-06
0.02587448,-2.2465632874962971e-06
0.02592512,-2.2526282784236513e-06
0.02597575,-2.2585813505293521e-06
0.02602639,-2.2644002545770456e-06
0.02607703,-2.2700644891751231e-06
0.02612766,-2.2755550895946344e-06
0.0261783,-2.2808556258274761e-06
0.02622893,-2.2859522864146647e-06
0.02627956,-2.2908337317904014e-06
0.0263302,-2.2954912474557495e-06
0.02638083,-2.2999198663790579e-06
0.02643147,-2.3041179823531754e-06
0.0264821,-2.308088164066829e-06
0.02653274,-2.3118359935718765e-06
0.02658337,-2.3153692317067141e-06
0.02663401,-2.3186985358583101e-06
0.02668464,-2.3218384709139273e-06
0.02673528,-2.324805445458088e-06
0.02678592,-2.3276201093713451e-06
0.02683655,-2.3303050459722773e-06
0.02688719,-2.3328858807568974e-06
0.02693782,-2.3353901804068571e-06
0.02698845,-2.3378464576129589e-06
0.02703909,-2.3402840292335327e-06
0.02708972,-2.3427356820260201e-06
0.02714036,-2.3452328349872621e-06
0.02719099,-2.3478085515754369e-06
0.02724163,-2.3504957894311191e-06
0.02729226,-2.353326247176409e-06
0.0273429,-2.3563305265906181e-06
0.02739354,-2.3595377209985943e-06
0.02744417,-2.3629749536588283e-06
0.02749481,-2.366667772571871e-06
0.02754544,-2.3706377293375936e-06
0.02759607,-2.3749002980179884e-06
0.02764671,-2.3794668261899399e-06
0.02769734,-2.3843498665276681e-06
0.02774798,-2.3895585705904991e-06
0.02779861,-2.3950947095082176e-06
0.02784925,-2.4009550198783435e-06
0.02789988,-2.4071317856393945e-06
0.02795052,-2.4136117007366325e-06
0.02800115,-2.420378573181054e-06
0.02805179,-2.4274132334476263e-06
0.02810243,-2.4346885260396969e-06
0.02815306,-2.4421744132692205e-06
0.0282037,-2.4498353049623014e-06
0.02825433,-2.4576309846711293e-06
0.02830496,-2.4655181600379938e-06
0.0283556,-2.4734473238976598e-06
0.02840623,-2.481365774060425e-06
0.02845687,-2.4892190064422519e-06
0.0285075,-2.4969477760898971e-06
0.02855814,-2.5044917479032405e-06
0.02860877,-2.511788572696219e-06
0.02865941,-2.5187746344290798e-06
0.02871005,-2.525386542561378e-06
0.02876068,-2.5315617807960453e-06
0.02881132,-2.5372389230906591e-06
0.02886195,-2.5423611901734042e-06
0.02891259,-2.5468757568737923e-06
0.02896322,-2.5507327038266475e-06
0.02901385,-2.5538912195874612e-06
0.02906449,-2.5563155958716985e-06
0.02911512,-2.5579796881446714e-06
0.02916576,-2.558865465910481e-06
0.02921639,-2.5589628991748913e-06
0.02926703,-2.5582710430275936e-06
0.02931766,-2.5567976267384199e-06
0.0293683,-2.554558688430118e-06
0.02941894,-2.5515787211308408e-06
0.02946957,-2.5478907910596196e-06
0.02952021,-2.5435370227108861e-06
0.02957084,-2.5385685658630316e-06
0.02962147,-2.5330468593921419e-06
0.02967211,-2.5270401272042672e-06
0.02972274,-2.5206299684060595e-06
0.02977338,-2.5138984843737967e-06
0.02982401,-2.5069384440028644e-06
0.02987465,-2.4998448775900044e-06
0.02992528,-2.4927157896465672e-06
0.02997592,-2.4856532073396716e-06
0.03002655,-2.4787558289541413e-06
0.03007719,-2.4721175170361352e-06
0.03012783,-2.4658289739287828e-06
0.03017846,-2.4599720018492688e-06
0.0302291,-2.4546181718020146e-06
0.03027973,-2.4498297203158205e-06
0.03033036,-2.4456527720222066e-06
0.030381,-2.4421222641078478e-06
0.03043163,-2.439253307842903e-06
0.03048227,-2.4370430034279735e-06
0.0305329,-2.4354696959535343e-06
0.03058354,-2.4344910425337248e-06
0.03063417,-2.434047794972065e-06
0.03068481,-2.4340657166622733e-06
0.03073545,-2.4344588595359767e-06
0.03078608,-2.4351348473182223e-06
0.03083672,-2.4359998346883994e-06
0.03088735,-2.4369605972067072e-06
0.03093798,-2.4379302639039317e-06
0.03098862,-2.4388338886179063e-06
0.03103925,-2.4396085092862092e-06
0.03108989,-2.4402066227448978e-06
0.03114052,-2.4405970690824708e-06
0.03119116,-2.4407618150461659e-06
0.03124179,-2.4406976782631058e-06
0.03129243,-2.4404072406051953e-06
0.03134306,-2.4399051229096023e-06
0.0313937,-2.4392071939636639e-06
0.03144433,-2.4383335085129636e-06
0.03149497,-2.4373052113282569e-06
0.0315456,-2.4361410713763747e-06
0.03159624,-2.4348577651464763e-06
0.03164687,-2.4334661894954115e-06
0.03169751,-2.4319697243421742e-06
0.03174814,-2.4303645014974992e-06
0.03179878,-2.428638335909182e-06
0.03184941,-2.4267717365247333e-06
0.03190005,-2.4247380704677469e-06
0.03195068,-2.4225056978773494e-06
0.03200132,-2.4200397639083103e-06
0.03205196,-2.4173022534116793e-06
