Physical Time (s),aphi_alt_flux_right Monitor (kg-m/s^3): right_cv1,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv2,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv3,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv4,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv5,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv6,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.00248111,0.31318963421901824,0.026219553966902388,0.0056435247011532939,0.0034072569154677489,0.00062869587431728402,0.00022473655194569782,-2.3474219332917526e-05
0.00253175,0.30948914243171982,0.026798591699343038,0.0058084199364116934,0.0033831627021334515,0.0011104182320586839,0.00031675697371297197,6.4696288720212465e-06
0.00258238,0.30543752690600978,0.027368169617524453,0.0060458404247425018,0.0033626543536382893,0.0016059583470702855,0.00038369575676623218,3.7462246607371176e-05
0.00263302,0.30147299692653734,0.027921788549052199,0.006324875703368954,0.0033469190332375593,0.0020146622092905354,0.00043234659457351782,6.578722386350877e-05
0.00268366,0.29794282709022141,0.028450526725270299,0.0066118225381462262,0.0033371858209877538,0.0023056747104842502,0.00046301748010902689,8.6858599965395494e-05
0.00273429,0.29503088668356225,0.028953593150932405,0.0068847643155709459,0.003327008163633227,0.002475479945174604,0.00047425383934548147,0.0001006321452046356
0.00278492,0.2927699957696232,0.029425650188115021,0.0071200722849514781,0.0033101056129830244,0.0025398513105860309,0.00045408124384908221,0.00010195481323572062
0.00283556,0.29121670543453543,0.02986524560609061,0.0073076841121179539,0.0032874074398911105,0.00252502022861463,0.00039964234018116554,9.3917374439082065e-05
0.00288619,0.29043133614020766,0.030278670833521981,0.0074394595539997695,0.0032548208336476594,0.0024554430220298518,0.00031148131681227385,7.6834136704848196e-05
0.00293683,0.29041023998611515,0.030667216464779781,0.0075090299431806416,0.0032053009402895549,0.0023322715820072613,0.00018604280427491555,4.6378251171354571e-05
0.00298746,0.2910446604947543,0.031058373583704255,0.0075343397593952708,0.0031712707554708798,0.002189998426086691,3.97675086720905e-05,1.7564576360689078e-05
0.0030381,0.29216328298416422,0.031473506171599032,0.0075276115484207177,0.0031499947312768812,0.0020498427086633455,-0.0001046200882678041,-4.7622849906055084e-06
0.00308874,0.29352299376149948,0.031921708273462628,0.007497808588187372,0.0031346443155535206,0.0019303701153819415,-0.00022206488686361033,-2.3440666469641112e-05
0.00313937,0.29484199157070307,0.032420258480720249,0.0074678419097170363,0.0031321149735110093,0.0018441597576104667,-0.00027271423386001438,-2.8963365786742154e-05
0.00319001,0.29582480065628985,0.032970718893485074,0.0074478360000423223,0.0031466886067916949,0.0017930294245668108,-0.00020662652326825428,-2.1049104384949623e-05
