Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.00521541,5.0748916686951171e-07,1.0800643403187788e-07,-9.8876436790756741e-07,-1.5334447714292554e-06,-1.6940720340156942e-06,-1.712276894512839e-06,-1.6972584414372265e-06
0.00526604,5.2285811828560438e-07,1.2041747655761801e-07,-9.9569015707727591e-07,-1.5479613519808594e-06,-1.7106560646799155e-06,-1.7322409297538117e-06,-1.7188016087983456e-06
0.00531667,5.3433798332824914e-07,1.3214047045471998e-07,-9.9972356777634294e-07,-1.5598001387071024e-06,-1.7230633108187477e-06,-1.7466864673581673e-06,-1.7336347243756972e-06
0.00536731,5.4976974282010158e-07,1.4817522304468134e-07,-9.9910498449320036e-07,-1.5701970537452135e-06,-1.7344007139943263e-06,-1.7612159981075378e-06,-1.7512470036228464e-06
0.00541794,5.6436004530114886e-07,1.6375159179626351e-07,-9.9486117117350439e-07,-1.5781281942852347e-06,-1.7424240496727609e-06,-1.7722600481090346e-06,-1.765917759944554e-06
0.00546858,5.7701688773949216e-07,1.7663477557664385e-07,-9.8809426782431062e-07,-1.5841221530264994e-06,-1.747662201252286e-06,-1.7800428023891794e-06,-1.7774618775710641e-06
0.00551922,5.8758977570953828e-07,1.8540582035834491e-07,-9.8000579633868273e-07,-1.5890172751597934e-06,-1.7509975966407813e-06,-1.7856106052514641e-06,-1.7868084130697586e-06
0.00556985,5.9636857741277881e-07,1.8904850400375557e-07,-9.7144661686492105e-07,-1.5933393976072067e-06,-1.7529316299796174e-06,-1.7897750908210189e-06,-1.7945962384003296e-06
0.00562048,6.0435644935832488e-07,1.8781646105249373e-07,-9.62853649498747e-07,-1.5975252689773277e-06,-1.7544252503221741e-06,-1.7935965841428421e-06,-1.8019665197752804e-06
0.00567112,6.1221643420147562e-07,1.8155963595964009e-07,-9.5515595620360711e-07,-1.6013643397832642e-06,-1.7555661909679443e-06,-1.7971524844052658e-06,-1.8085766645161245e-06
