Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
0.00334191,0.0002161485768526973,2.5933887059683044e-06,-2.7585088330689309e-08,-1.1954814464441732e-07,-1.3850403969444556e-07,1.1201103892737921e-08,-1.5052037182944081e-07
0.00339254,0.00022521046509525801,2.6770394054753079e-06,-1.7381345713690793e-08,-1.4511534585648451e-07,-1.1715029918393991e-07,-1.1456985748224939e-08,-1.5202125273608746e-07
0.00344318,0.00023454238128688021,2.7716635661637614e-06,-1.2240617360195646e-08,-1.696662666741969e-07,-9.6622033970547812e-08,-3.7488001136671428e-08,-1.5354480711938035e-07
0.00349381,0.00024413545957938568,2.8738091297425141e-06,-1.1171258218901154e-08,-1.849293176979837e-07,-8.1548692478473486e-08,-1.0009646140563142e-07,-1.5582443702907062e-07
0.00354445,0.00025398244757658981,2.9796020983605557e-06,-1.2448687469543004e-08,-1.8679395895654891e-07,-7.3078030139563823e-08,-2.135825446579491e-07,-1.5913981454346552e-07
0.00359509,0.00026407675265432816,3.084880313089068e-06,-1.3897396713835146e-08,-1.7796300869086002e-07,-7.1441704917260208e-08,-3.7634365839202673e-07,-1.6361571846332619e-07
0.00364572,0.00027441358989995656,3.1855007820439673e-06,-1.3289760852447379e-08,-1.6319604046364571e-07,-7.6134629601312439e-08,-6.2565010121146637e-07,-1.660139744914941e-07
0.00369636,0.00028499186833777176,3.2777329210664208e-06,-8.9344783432324138e-09,-1.4707600030516785e-07,-8.6007952860704029e-08,-8.5534232446737403e-07,-1.6016250111587272e-07
0.00374699,0.00029581353977120421,3.3575707519828133e-06,-1.1152165920031817e-10,-1.3276013939310951e-07,-9.9982331721575679e-08,-8.9522032902529057e-07,-1.4198085835891019e-07
0.00379762,0.0003068812959632061,3.422103503362876e-06,1.2764160746791395e-08,-1.2165226968880413e-07,-1.2476693112737076e-07,-8.3538232666850426e-07,-1.0748534129166844e-07
0.00384826,0.00031819994180742108,3.472508872532468e-06,2.8386297750714077e-08,-1.1383783245826109e-07,-1.5659479991718672e-07,-7.0920443788974863e-07,-5.4014433673689275e-08
0.00389889,0.00032976483908980358,3.5113873531717848e-06,4.5041081596779262e-08,-1.0869356268787574e-07,-1.8039394214943416e-07,-5.4908334346293569e-07,1.9002968326817192e-08
0.00394953,0.00034155979404890699,3.5430946099935191e-06,6.0993828799866468e-08,-1.0527057904963827e-07,-1.934413574970812e-07,-3.8631583968564694e-07,1.0987653918525579e-07
0.00400016,0.00035355278659990493,3.5728705525764432e-06,7.4928388106173805e-08,-1.025032222929421e-07,-1.9460978471955918e-07,-2.4451105129794576e-07,2.1493459665915191e-07
0.0040508,0.00036568965902626763,3.606063566392819e-06,8.5846946422351317e-08,-9.9269056083675769e-08,-1.873358374099295e-07,-1.3742336361818894e-07,3.2873232976808618e-07
0.00410143,0.00037791401460934854,3.6471938893293956e-06,9.3125896689985021e-08,-9.4594770774065936e-08,-1.7527321629790284e-07,-7.1094127684109044e-08,4.4430445723406993e-07
0.00415207,0.00039013823054119697,3.6995006198331362e-06,9.647819498629255e-08,-8.7940340476828087e-08,-1.6133584854813126e-07,-5.1547467827770152e-08,5.5345014977098822e-07
0.00420271,0.00040229600165821161,3.7644580024025939e-06,9.5948144815895579e-08,-7.9423911654391746e-08,-1.4748438287288527e-07,-4.9646234744274968e-08,6.4722719325354384e-07
0.00425334,0.00041434639570145419,3.8420845543357212e-06,9.1956879350038475e-08,-6.98148510498727e-08,-1.3490558352208273e-07,-4.2990506662122133e-08,7.1686203466899424e-07
0.00430397,0.00042629696899759451,3.9311406791115257e-06,8.5325327229291197e-08,-6.0246739699239161e-08,-1.2410616416551535e-07,-3.8708276302309778e-08,7.544966142314286e-07
0.00435461,0.00043819486482134018,4.0293316196842554e-06,7.7338830305813749e-08,-5.1852872258983937e-08,-1.1509266279668822e-07,-3.7814334001068622e-08,7.5256051074298565e-07
0.00440524,0.0004501248543636775,4.1336221150751204e-06,6.9435987689625234e-08,-4.5437380811543816e-08,-1.0752216779831563e-07,-4.0570859368722082e-08,6.9519891771720336e-07
0.00445588,0.00046221121392712718,4.2405243770978146e-06,6.3253832968703252e-08,-4.1356577627650109e-08,-1.0086601246737609e-07,-4.7048439161130578e-08,5.5147664551391037e-07
0.00450651,0.00047458360318104308,4.3462682819430939e-06,6.0196704623784713e-08,-3.9675957096632656e-08,-9.4589357183547221e-08,-5.6953378094965028e-08,4.1507348464329448e-07
