Physical Time (s),enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv1,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv2,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv3,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv4,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv5,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv6,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv7
0.00719017,-4.1238719362497971,-2.9729430025056889,-2.6480608284117588,-1.9281085185554483,-1.3154137264362404,-0.23751357296437534,-0.1579223253724526
0.0072408,-3.8607024109396417,-2.861994045132362,-2.684195416385458,-2.0147061080511426,-1.3855160765197119,-0.18735422293612808,-0.063661268736749946
0.00729144,-3.5757517618078616,-2.7269732665778967,-2.7303687133688288,-2.110117154915379,-1.4588196237202795,-0.15363997837017632,0.034986695483574554
0.00734207,-3.2765152328219904,-2.5688349540194872,-2.7858742420574498,-2.2129268197646108,-1.5363339906556843,-0.14035889034154295,0.13241035463071457
0.00739271,-2.9697147938491164,-2.3881686336208636,-2.847073616078148,-2.3205252935899265,-1.6181374546603067,-0.14971356563800653,0.22364472551492812
0.00744334,-2.6613869853186123,-2.1854939863583578,-2.9078033770165668,-2.429463205659101,-1.7035932348075391,-0.18227044458228658,0.30460585090163839
0.00749398,-2.3567411653192374,-1.9615404072202192,-2.9600574915591991,-2.5358522667235901,-1.7916339078484382,-0.23724383946247368,0.37211109278028398
0.00754462,-2.0602736292439991,-1.7171772148236681,-2.994475165662454,-2.6353385228048269,-1.8806843778128659,-0.31255981532202515,0.4240745245158748
0.00759525,-1.775660919234727,-1.4536764317592081,-3.0013495472008396,-2.7234592793937082,-1.9689912541077952,-0.40527374542801031,0.45944217685215016
0.00764588,-1.5061283701428307,-1.1727727744002405,-2.9716339395530906,-2.7959087664792097,-2.0548724184919744,-0.51205745212224785,0.47806362324663659
0.00769652,-1.2545195537446097,-0.87684633812545354,-2.897796016506025,-2.8487537885011136,-2.1368934774691626,-0.62956516746386249,0.48045888043170848
0.00774715,-1.0239788130959195,-0.56895197904650674,-2.7746368667947765,-2.8786201126304891,-2.2140141864248597,-0.75481906388847353,0.46765204861944876
0.00779779,-0.81804403065263576,-0.25281193029474419,-2.5997616796406957,-2.8828226408896427,-2.285625492868673,-0.88551929424682863,0.44098962217589333
0.00784842,-0.6409776914035028,0.06708517650321702,-2.3738413553144366,-2.8594053511276973,-2.351450794701031,-1.0201042426988285,0.401901665479524
0.00789906,-0.49759088243701766,0.38557616156762375,-2.1004548873967179,-2.8071061960411257,-2.4113596662474954,-1.1576729401777845,0.3518708818435059
0.00794969,-0.39294956423281063,0.69678372108603703,-1.7859057992676504,-2.7254478819472547,-2.4651663970468771,-1.2978528581121651,0.29245205115051648
0.00800033,-0.33207088098959853,0.9942431699741211,-1.4386809670334628,-2.6146360183530399,-2.5124053204918093,-1.4405941924501773,0.22485938154371579
0.00805097,-0.31947517185713098,1.2711089645212508,-1.068731739172212,-2.475396142326912,-2.5520571121203588,-1.5858298728365552,0.15031395413799326
0.0081016,-0.35893803235463007,1.5203763232938898,-0.68674670224372791,-2.3089631511147273,-2.5824214061926059,-1.7332340544169529,0.069978992922967664
0.00815223,-0.45303361901091499,1.7350225796539811,-0.30345089253858459,-2.1170135631631508,-2.601043419502953,-1.8819759964432525,-0.015095238663655395
0.00820287,-0.60290566865917894,1.9081902119329583,0.07097943572406562,-1.9016648017856581,-2.6048525327009902,-2.0306707274491944,-0.10405739667655831
0.0082535,-0.80790166510217964,2.0334993925933977,0.42733224307827311,-1.6654944876181033,-2.5902987899398013,-2.1772767467713852,-0.19619357463103315
0.00830414,-1.0652540226488725,2.1053669393618866,0.75778955889123822,-1.4114446006324095,-2.553648472852541,-2.319214375628647,-0.29103688888989848
0.00835478,-1.3701218657886283,2.1192934654133877,1.055925579812226,-1.14280621328479,-2.4912603493814252,-2.4534148910486726,-0.38831326504186103
0.00840541,-1.7161358766106816,2.0721631378145053,1.3167311892685065,-0.86327845314888529,-2.3999641024814831,-2.5765655249927359,-0.48798350061842943
0.00845605,-2.0952607120656124,1.9625506055108404,1.53637134976467,-0.57689669982891978,-2.2773447182146298,-2.6852464879859843,-0.59015269592796149
0.00850668,-2.498258671515635,1.7908491645899636,1.7119933316772298,-0.28794527567795364,-2.122039555316432,-2.7761610007902537,-0.69504754397370028
0.00855731,-2.9146542948299095,1.5595316744932792,1.8414628565117612,-0.0010494496000114928,-1.9339543594951323,-2.8462601410459416,-0.80286437004269118
0.00860795,-3.3332178476785734,1.2731557849184256,1.9231572262193133,0.27896244308179974,-1.7143555222455025,-2.892947682485612,-0.91377729879415259
0.00865858,-3.7420504776498453,0.93847637341494217,1.9558477010531858,0.54708652072829966,-1.4660105282178435,-2.9141482997019144,-1.0277998024104786
0.00870922,-4.129319094604698,0.56429825417631019,1.9386845427473667,0.79821635120691026,-1.1930656466422953,-2.9083531281330179,-1.1447205345509555
0.00875986,-4.4842277063472782,0.1613073726745293,1.8712984347183397,1.0272742857452124,-0.90094637183866055,-2.8746158602477041,-1.2639875722207166
0.00881049,-4.7974855539267214,-0.25838728128466609,1.7539451093615994,1.229427572867402,-0.59590954950207631,-2.8125187072767339,-1.3846941576759983
0.00886112,-5.0614384997569992,-0.68170090666485328,1.5877603596487462,1.4001833574193612,-0.28487052349779596,-2.722118908518036,-1.5055590106831271
0.00891176,-5.270128524786549,-1.0952710570203055,1.374974272963803,1.5354727390816474,0.02511151361394267,-2.6039171656239199,-1.6249543463504117
0.00896239,-5.4195025749586163,-1.48598667844306,1.1191413338316516,1.6319210778116187,0.32707992258177493,-2.4585453473475152,-1.7409235793633493
