Physical Time (s),ea_bot Monitor (kg-m/s^3): bot_cv1,ea_bot Monitor (kg-m/s^3): bot_cv2,ea_bot Monitor (kg-m/s^3): bot_cv3,ea_bot Monitor (kg-m/s^3): bot_cv4,ea_bot Monitor (kg-m/s^3): bot_cv5,ea_bot Monitor (kg-m/s^3): bot_cv6,ea_bot Monitor (kg-m/s^3): bot_cv7
0.00243048,1.0606905593790202e-07,2.8243230301730471e-08,-7.7798090266139617e-09,-1.5563870730495548e-08,-2.1912860006473318e-08,-8.6832329486375088e-08,-8.6815379499653604e-08
0.00248111,1.56682938782905e-07,8.2650133737429129e-08,4.5118087978615689e-08,4.0347848220631413e-08,3.7172976062547391e-08,-2.2860153681545665e-08,-2.2831060721448686e-08
0.00253175,2.107751349131892e-07,1.393100038183885e-07,1.0305122229414884e-07,1.0014419687167633e-07,9.8265079690904243e-08,4.3973468689281528e-08,4.4349423308378936e-08
0.00258238,2.6445451743281524e-07,1.9308898026840221e-07,1.6011817661682258e-07,1.5824650427070271e-07,1.5689429054585963e-07,1.083543391306513e-07,1.0912815800243145e-07
0.00263302,3.1317251522414896e-07,2.3916304624886957e-07,2.1012373835203596e-07,2.088417931886029e-07,2.077722412114746e-07,1.647729976758157e-07,1.6562525022855049e-07
0.00268366,3.5236168741672908e-07,2.7327562934919642e-07,2.4744827644268118e-07,2.4656781005667186e-07,2.4569674675710842e-07,2.0814296985941247e-07,2.0845930845259295e-07
0.00273429,3.7829544877465139e-07,2.9215155985901706e-07,2.6787985315661124e-07,2.6727725521105731e-07,2.6653113637494431e-07,2.344875998836433e-07,2.3352262735327615e-07
0.00278492,3.8971814327074107e-07,2.9476238298945501e-07,2.6999926916693426e-07,2.6946644345749023e-07,2.6873035140777495e-07,2.4230934270380476e-07,2.3934186585719206e-07
0.00283556,3.8742619243230838e-07,2.8190067501730834e-07,2.5463537833940163e-07,2.5384529223938933e-07,2.5297383694839559e-07,2.322187268391816e-07,2.26654165085747e-07
0.00288619,3.7442125893165334e-07,2.5637896946056081e-07,2.2487333833352257e-07,2.2346188220208704e-07,2.2229213760405777e-07,2.0710105934144981e-07,1.9853194337080085e-07
0.00293683,3.5525672788379381e-07,2.225398543664119e-07,1.8539814897362815e-07,1.8309537889033013e-07,1.8145451836824898e-07,1.7152341037546342e-07,1.5978823611396493e-07
0.00298746,3.3482245966083806e-07,1.8540625669949224e-07,1.4155805551445673e-07,1.3828664801079763e-07,1.3600193775407461e-07,1.3076668274777131e-07,1.160275639429674e-07
0.0030381,3.1725608927811652e-07,1.4967989438516911e-07,9.8351593852118201e-08,9.4244241631915782e-08,9.1164522964630101e-08,8.9751820640479706e-08,7.2563835484262815e-08
0.00308874,3.0534084431063551e-07,1.1899473000911589e-07,5.9707883249834095e-08,5.5047762795701514e-08,5.107518988990729e-08,5.2313388007858392e-08,3.3608343125708404e-08
0.00313937,3.00336274062354e-07,9.5458298067430998e-08,2.8051308719900535e-08,2.317511150467784e-08,1.8295531944989723e-08,2.0830787175609297e-08,1.7834734536889969e-09
0.00319001,3.0214313866037794e-07,7.956636030330092e-08,4.1982636276811263e-09,-5.9377681130254316e-10,-6.297325911831667e-09,-3.7767953923646488e-09,-2.1990451439951059e-08
0.00324064,3.0961926462590056e-07,7.0415536787759882e-08,-1.247658303553279e-08,-1.6975131495906997e-08,-2.3334444932262698e-08,-2.1836947690642057e-08,-3.830819310283561e-08
0.00329127,3.2095927319523029e-07,6.6122428949990152e-08,-2.3675600890922556e-08,-2.7775930661711754e-08,-3.457186124018126e-08,-3.4622853055689512e-08,-4.8882642760056746e-08
