Physical Time (s),phi_alt_flux_top Monitor (kg-m/s^3): top_cv1,phi_alt_flux_top Monitor (kg-m/s^3): top_cv2,phi_alt_flux_top Monitor (kg-m/s^3): top_cv3,phi_alt_flux_top Monitor (kg-m/s^3): top_cv4,phi_alt_flux_top Monitor (kg-m/s^3): top_cv5,phi_alt_flux_top Monitor (kg-m/s^3): top_cv6,phi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.00420271,5.2611825437859352e-07,2.749953604129155e-07,-8.2497682163346082e-07,-1.2997115627214047e-06,-1.3974355255304128e-06,-1.4201093622176634e-06,-1.4347401845490674e-06
0.00425334,5.3132921125456609e-07,2.7520327263374035e-07,-8.5244622273256676e-07,-1.3381293689314766e-06,-1.4378956195429821e-06,-1.4642080744463226e-06,-1.4760568760872512e-06
0.00430397,5.3659307054599091e-07,2.7302488173998997e-07,-8.7909003888142815e-07,-1.3773079490337694e-06,-1.4802555523569881e-06,-1.5105185833525236e-06,-1.5179043873648144e-06
0.00435461,5.4130655949292699e-07,2.6863573743549569e-07,-9.0342312683821929e-07,-1.4152698282633528e-06,-1.5225859790913124e-06,-1.5569163344061297e-06,-1.5587907391062503e-06
0.00440524,5.442024031099012e-07,2.6223451345203475e-07,-9.2395141216184512e-07,-1.4492410684513135e-06,-1.5617314077539804e-06,-1.5997669685177306e-06,-1.5961573493830677e-06
0.00445588,5.446309927860051e-07,2.5232685897691149e-07,-9.3977417687096545e-07,-1.4771631483802843e-06,-1.5952999239247192e-06,-1.636312018552644e-06,-1.628225199495831e-06
0.00450651,5.4207783586420562e-07,2.3918761860952443e-07,-9.5054092546040503e-07,-1.4975436737922284e-06,-1.6213125510171128e-06,-1.664380284000866e-06,-1.6535004426303747e-06
0.00455715,5.3657251182963997e-07,2.2316848690347622e-07,-9.5661802929520405e-07,-1.5099858793138323e-06,-1.6389823686968598e-06,-1.6830242326122196e-06,-1.6713446412651529e-06
0.00460778,5.3056317533333148e-07,2.0683841443339678e-07,-9.5677205617684497e-07,-1.5129531321924122e-06,-1.6464610061939615e-06,-1.6903928371951233e-06,-1.6798531037262054e-06
0.00465842,5.2104925656603869e-07,1.8725555632950145e-07,-9.5585611461577566e-07,-1.5115308213713189e-06,-1.6486306722609106e-06,-1.6914992469558253e-06,-1.6835125098652878e-06
0.00470906,5.1095501187540879e-07,1.6745747853151794e-07,-9.5326959871909506e-07,-1.5057939414464774e-06,-1.6455640358061094e-06,-1.686710839675114e-06,-1.6818851766418e-06
0.00475969,5.0250326909225815e-07,1.5003378716973016e-07,-9.492133243985974e-07,-1.496918324468657e-06,-1.6384364808100176e-06,-1.6774862093616522e-06,-1.6754420083351032e-06
0.00481032,4.9571572491131718e-07,1.3523617389580958e-07,-9.4546464055461213e-07,-1.4877545695449806e-06,-1.6302527594109659e-06,-1.6671523034718609e-06,-1.6667228556922968e-06
0.00486096,4.9146265297709562e-07,1.2384024757884535e-07,-9.4302813301185084e-07,-1.4804990621563079e-06,-1.6234726386533937e-06,-1.6585396572711086e-06,-1.6582031922134155e-06
0.00491159,4.897910431378135e-07,1.1589594242536832e-07,-9.4287156698613184e-07,-1.4770127680398836e-06,-1.6201262027609466e-06,-1.6538977026531557e-06,-1.6523033201498306e-06
0.00496223,4.9090334373745863e-07,1.1151282000683146e-07,-9.4522593071499333e-07,-1.4784989958246698e-06,-1.6216713682983343e-06,-1.6549008228591026e-06,-1.6508942925835921e-06
0.00501287,4.9457473978208442e-07,1.1033371273742299e-07,-9.5033201035928914e-07,-1.4857027478639511e-06,-1.6290858113220433e-06,-1.6626880220095401e-06,-1.655625111660781e-06
0.0050635,4.988445753506887e-07,1.106965122065527e-07,-9.5807432520030055e-07,-1.4981598759014283e-06,-1.6417157164384737e-06,-1.6761779902267564e-06,-1.6655411928239902e-06
0.00511413,4.9645763050336518e-07,1.0706980751382464e-07,-9.6866968481021335e-07,-1.5134026453294769e-06,-1.6555162609405612e-06,-1.6891521013789778e-06,-1.6722561768486172e-06
0.00516477,5.030552493156557e-07,1.1111420061229453e-07,-9.769881078375757e-07,-1.5315651265724308e-06,-1.6741424381968144e-06,-1.7094751798994664e-06,-1.6894231216510314e-06
0.00521541,5.1262574151447581e-07,1.1765026502249567e-07,-9.8453642621459162e-07,-1.5521660925844699e-06,-1.6962649938839476e-06,-1.7346096372582392e-06,-1.7140590587287606e-06
0.00526604,5.2365356566301173e-07,1.2549275230147541e-07,-9.8948803019098031e-07,-1.5716434072138427e-06,-1.7176862281181968e-06,-1.7594391491143195e-06,-1.7403850880995512e-06
0.00531667,5.3091612576241469e-07,1.306794389089064e-07,-9.918363256774772e-07,-1.5870197533798974e-06,-1.7340490099859032e-06,-1.7778121953306684e-06,-1.7598428474757794e-06
0.00536731,5.4207470797746979e-07,1.3843147060460083e-07,-9.9040816687323131e-07,-1.5994703527872889e-06,-1.7484254407179587e-06,-1.7952353302592728e-06,-1.7815971990838898e-06
0.00541794,5.5252668101981243e-07,1.4479924700612044e-07,-9.8636677578313518e-07,-1.6076675201332906e-06,-1.7582755305985636e-06,-1.8078378990594687e-06,-1.7993739781054615e-06
0.00546858,5.613323666547045e-07,1.4853888590367506e-07,-9.8092943568487182e-07,-1.6120860268139583e-06,-1.7640001998198133e-06,-1.8157355563489128e-06,-1.8125510108094988e-06
0.00551922,5.6841461540583848e-07,1.4923682975088535e-07,-9.7536650835461952e-07,-1.6137915730231163e-06,-1.7666288333358463e-06,-1.8201197056344151e-06,-1.8219234567428018e-06
0.00556985,5.7413070171969787e-07,1.4695483393531843e-07,-9.70484181879491e-07,-1.6137590666875486e-06,-1.766957754272258e-06,-1.8221136381664765e-06,-1.8283401585623262e-06
0.00562048,5.7958272153008924e-07,1.4251236556385572e-07,-9.6663455095707413e-07,-1.613024611565074e-06,-1.7663749986965293e-06,-1.8231707875636449e-06,-1.8331826282187617e-06
0.00567112,5.8546635405313615e-07,1.3615939647448991e-07,-9.6427995169545919e-07,-1.6119314933815032e-06,-1.7654372211966329e-06,-1.8238367466785546e-06,-1.8366900655815072e-06
0.00572176,5.924779693926784e-07,1.2895544856570008e-07,-9.6345065797871419e-07,-1.611282516991936e-06,-1.7646949465994072e-06,-1.8246196925584765e-06,-1.8391801529010208e-06
0.00577239,6.01168769270892e-07,1.215253876065677e-07,-9.6373908294712501e-07,-1.6109150722020156e-06,-1.7639623264906202e-06,-1.8251994724081364e-06,-1.8401941110591914e-06
0.00582302,6.1187685170023579e-07,1.1422724063268367e-07,-9.6456313699214022e-07,-1.6104070165233809e-06,-1.7627784494231062e-06,-1.8249501329920656e-06,-1.8391381337746572e-06
0.00587366,6.2488381159705592e-07,1.0734284241845852e-07,-9.6507771368806818e-07,-1.6090007903925852e-06,-1.7603274146727219e-06,-1.8228873313578278e-06,-1.835196062510401e-06
0.00592429,6.4012411007843263e-07,1.0129597670711846e-07,-9.6481099005043627e-07,-1.6063162915374427e-06,-1.75623445718322e-06,-1.8185620215470008e-06,-1.8282630004026678e-06
0.00597493,6.533568564505193e-07,9.2822145787146188e-08,-9.6404862180008708e-07,-1.6011354059913155e-06,-1.7484398836349774e-06,-1.8092252972150902e-06,-1.8157071591176974e-06
0.00602557,6.7029135614621541e-07,8.6198156820091793e-08,-9.6126149403781545e-07,-1.5943440802082405e-06,-1.7392622065133476e-06,-1.7984015783396992e-06,-1.8020491273374095e-06
0.0060762,6.8905697278967789e-07,8.0787062938233098e-08,-9.5674395335427383e-07,-1.5858768639091477e-06,-1.7284483922833724e-06,-1.7857212496426786e-06,-1.7869727024176208e-06
0.00612683,7.048089009691787e-07,7.3542119671301794e-08,-9.5131320768106346e-07,-1.5751578244319884e-06,-1.7146846866432277e-06,-1.769467999045502e-06,-1.7688862001557853e-06
0.00617747,7.1928090859234753e-07,6.6459952579044017e-08,-9.4472437835574955e-07,-1.563171368587771e-06,-1.6995969970578437e-06,-1.7518919771856189e-06,-1.7501922599647773e-06
0.00622811,7.3312174855237669e-07,6.081069421800696e-08,-9.3648139750465706e-07,-1.5500202671271006e-06,-1.6835294824657424e-06,-1.7336094250579241e-06,-1.7314342109630877e-06
0.00627874,7.3941250631213123e-07,5.1853911787125461e-08,-9.2848919577040893e-07,-1.5358976039237145e-06,-1.6657316369560048e-06,-1.7133523324543822e-06,-1.7113899672882758e-06
0.00632937,7.4272756682501797e-07,4.3090080881573015e-08,-9.2073330996372174e-07,-1.5231015823980327e-06,-1.649560643206346e-06,-1.6951483182515627e-06,-1.6937491955982674e-06
0.00638001,7.4496625112291267e-07,3.598953268753441e-08,-9.1331092145904201e-07,-1.5127390000072167e-06,-1.6365066673824757e-06,-1.6806745030993108e-06,-1.679930728303885e-06
0.00643064,7.3110699311236033e-07,1.8970080286813445e-08,-9.0989452520282501e-07,-1.503541029354252e-06,-1.6228609540339395e-06,-1.6645576650285075e-06,-1.6646965834598173e-06
0.00648128,7.370351773278059e-07,1.8444627065468342e-08,-9.0383176694499079e-07,-1.5010726630732116e-06,-1.6197294313195693e-06,-1.6616399889784036e-06,-1.6621901300629057e-06
0.00653192,7.2964676929010064e-07,8.7828010559062915e-09,-9.0249696994618742e-07,-1.5009056630229773e-06,-1.6174518429775656e-06,-1.658588031768172e-06,-1.6595340042592948e-06
0.00658255,7.2624304738090946e-07,2.1854250664848031e-09,-9.0299702304885832e-07,-1.5055816450703415e-06,-1.6211386674736873e-06,-1.6621577883839841e-06,-1.6633924779786633e-06
0.00663318,7.2699936707495989e-07,-2.3980643324299782e-09,-9.0539819701026315e-07,-1.5150124709558805e-06,-1.6305742786483472e-06,-1.6720324260386674e-06,-1.6736330636920487e-06
0.00668382,7.3179215987574425e-07,-5.758981254246868e-09,-9.1042641256795792e-07,-1.5293449635751174e-06,-1.6458010912681505e-06,-1.6881775490120056e-06,-1.6903678397639158e-06
0.00673445,7.3945988975338726e-07,-9.220269373876421e-09,-9.182780153604367e-07,-1.5477501034302201e-06,-1.6656873868518943e-06,-1.7092284191848456e-06,-1.7122322800814902e-06
0.00678509,7.3362776161146892e-07,-2.5463873129266583e-08,-9.3249566236790686e-07,-1.5681294951375143e-06,-1.6856011248585717e-06,-1.7283879325692882e-06,-1.7313213866139444e-06
0.00683572,7.4832647702791112e-07,-2.9013772246919466e-08,-9.4588333181673258e-07,-1.5943994320993489e-06,-1.7150343240122118e-06,-1.7596545388176544e-06,-1.7638535617687724e-06
0.00688636,7.5633249377056079e-07,-3.9901670832327241e-08,-9.6345518965137674e-07,-1.6222902714273725e-06,-1.7452780051587846e-06,-1.7907939341402397e-06,-1.7956855023968558e-06
0.00693699,7.6459691515001704e-07,-5.2673416285481296e-08,-9.839699195776291e-07,-1.6532276027154653e-06,-1.7791866257302291e-06,-1.8257952693543828e-06,-1.8313260262451173e-06
0.00698763,7.7457542896509608e-07,-6.5757605238396174e-08,-1.0067783230588638e-06,-1.6873166693350864e-06,-1.8172856803817564e-06,-1.8655255279051425e-06,-1.8718040092903001e-06
0.00703827,7.8279121150868694e-07,-8.1508775218868069e-08,-1.0328416442921065e-06,-1.7249251699809619e-06,-1.8596287169052592e-06,-1.9097516967557275e-06,-1.9166297461195719e-06
