Physical Time (s),massspec_vol Monitor (N): cv1,massspec_vol Monitor (N): cv2,massspec_vol Monitor (N): cv3,massspec_vol Monitor (N): cv4,massspec_vol Monitor (N): cv5,massspec_vol Monitor (N): cv6,massspec_vol Monitor (N): cv7
0.00622811,1.6974023751892885e-07,1.7479870211885162e-07,1.754176443222477e-07,1.7541838231777314e-07,1.7541854426533916e-07,1.7541862757230262e-07,1.7541865781797264e-07
0.00627874,1.7016861895257946e-07,1.7513843917909558e-07,1.7584226488615176e-07,1.7584301583181406e-07,1.7584317619341478e-07,1.758432634889103e-07,1.7584328339183719e-07
0.00632937,1.7061873768118967e-07,1.7549185661340242e-07,1.7628856515868935e-07,1.7628932913392226e-07,1.7628949295762727e-07,1.7628957140817616e-07,1.762895835450428e-07
0.00638001,1.710895311266265e-07,1.7585758537025908e-07,1.7675515471058592e-07,1.7675593154485581e-07,1.76756096678333e-07,1.7675617405908859e-07,1.7675618929663125e-07
0.00643064,1.7157554674677804e-07,1.7623025886171734e-07,1.7723642613543085e-07,1.7723721861581128e-07,1.7723738353608567e-07,1.7723746591356647e-07,1.7723748374083735e-07
0.00648128,1.7207148038802871e-07,1.7660489406860548e-07,1.7772702633223565e-07,1.77727834957425e-07,1.7772799911302478e-07,1.7772808675950857e-07,1.7772810790961786e-07
0.00653192,1.7257168610313679e-07,1.7697630438727323e-07,1.7822141023357095e-07,1.7822223281138989e-07,1.7822240202045769e-07,1.7822248389671429e-07,1.7822251339523817e-07
0.00658255,1.7306994289026596e-07,1.7733885230866007e-07,1.7871352983770265e-07,1.7871436569204749e-07,1.7871453813035158e-07,1.7871461960162113e-07,1.7871463873987122e-07
0.00663318,1.7355883066829604e-07,1.7768587396840875e-07,1.7919623296876596e-07,1.791970838556068e-07,1.7919725664801765e-07,1.7919734343982587e-07,1.7919736236805189e-07
0.00668382,1.7403277576655623e-07,1.7801282156784062e-07,1.7966422393087995e-07,1.7966509449722643e-07,1.7966526674376452e-07,1.7966535566685928e-07,1.7966537845031152e-07
0.00673445,1.744910055533061e-07,1.7832028820835677e-07,1.8011695411432252e-07,1.8011784341819709e-07,1.8011801748155306e-07,1.8011810657228575e-07,1.8011812524101854e-07
0.00678509,1.7493328722954474e-07,1.7860961590483661e-07,1.8055436313229822e-07,1.8055526862821957e-07,1.8055544282741734e-07,1.8055552452886197e-07,1.8055555113098822e-07
0.00683572,1.7535837705514065e-07,1.7888113213044318e-07,1.8097525750989713e-07,1.8097618309093041e-07,1.8097636433076172e-07,1.8097645300003147e-07,1.8097646478005065e-07
0.00688636,1.7576595485994758e-07,1.7913589189899108e-07,1.8137924392107435e-07,1.8138018850311784e-07,1.8138036880002072e-07,1.8138045583989882e-07,1.8138048134450894e-07
0.00693699,1.7616155642659805e-07,1.7938051979709102e-07,1.8177169470674176e-07,1.8177265815042045e-07,1.8177284231648174e-07,1.8177292975493823e-07,1.8177295338198707e-07
0.00698763,1.7655193675254429e-07,1.7962255024555702e-07,1.8215913702420503e-07,1.8216012000493028e-07,1.8216030507858606e-07,1.8216039979051494e-07,1.8216042638082633e-07
0.00703827,1.7694218777918575e-07,1.7986761382411028e-07,1.8254643906409332e-07,1.8254744310999813e-07,1.8254762955159178e-07,1.8254771833756358e-07,1.8254773482017363e-07
0.0070889,1.773357702267723e-07,1.8011952123469471e-07,1.8293686064625129e-07,1.8293788190551076e-07,1.8293807204516098e-07,1.8293817184147938e-07,1.8293819177736634e-07
0.00713953,1.7773296818550907e-07,1.8037878449599204e-07,1.8333057110831904e-07,1.8333161538252222e-07,1.8333180378904879e-07,1.8333190150269333e-07,1.8333192577284473e-07
0.00719017,1.7813316900722977e-07,1.8064496871949586e-07,1.8372691519431491e-07,1.837279786937727e-07,1.8372817003085362e-07,1.8372826351156983e-07,1.8372827871712527e-07
0.0072408,1.7853885293348889e-07,1.8092066489161031e-07,1.8412839748148559e-07,1.8412948362722353e-07,1.841296729441404e-07,1.8412976780556012e-07,1.8412979533462589e-07
0.00729144,1.7895063867718991e-07,1.8120652670881182e-07,1.8453569062544563e-07,1.8453679804733396e-07,1.845369886349766e-07,1.8453708068095862e-07,1.8453709647907856e-07
0.00734207,1.7936667073735138e-07,1.8150063874338683e-07,1.8494698706035247e-07,1.8494811830037191e-07,1.8494831480847158e-07,1.8494841616417769e-07,1.8494843728464444e-07
0.00739271,1.7978545976367169e-07,1.8180137941480842e-07,1.8536082121831192e-07,1.8536197615139238e-07,1.8536217562045366e-07,1.8536227160531991e-07,1.8536229657623189e-07
0.00744334,1.8020476658845149e-07,1.821063476022496e-07,1.8577492328511801e-07,1.8577610147164383e-07,1.857762990582596e-07,1.8577639607547089e-07,1.8577642751095777e-07
0.00749398,1.8062202368555476e-07,1.8241283499517391e-07,1.8618671007742173e-07,1.8618791575678379e-07,1.8618812031206026e-07,1.8618822222638619e-07,1.8618824770440249e-07
