Physical Time (s),phi_alt_flux_right Monitor (kg-m/s^3): right_cv1,phi_alt_flux_right Monitor (kg-m/s^3): right_cv2,phi_alt_flux_right Monitor (kg-m/s^3): right_cv3,phi_alt_flux_right Monitor (kg-m/s^3): right_cv4,phi_alt_flux_right Monitor (kg-m/s^3): right_cv5,phi_alt_flux_right Monitor (kg-m/s^3): right_cv6,phi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.00430397,0.15725137774491033,0.050447152155382181,0.0086341612774481213,0.0035607066511933192,0.0021320280806709003,0.00069478194960842597,-0.00012153904874006799
0.00435461,0.15132172992681836,0.051638908364655872,0.0088281889993497616,0.0036660910018976351,0.0021421877402432741,0.00076397586812459171,-0.00014438836700213275
0.00440524,0.14572518643616866,0.053001541669758179,0.0090161671683490832,0.0037704089608401946,0.002151700494810243,0.00082739412820153594,-0.00016114708956440331
0.00445588,0.14039312988077479,0.054513425431144527,0.0091813094103072035,0.0038658549840058427,0.0021595742051652303,0.00088064552935612881,-0.00018410192614224736
0.00450651,0.13526222956894196,0.056141702175125083,0.009310988899149648,0.0039466720120570073,0.0021649345076924179,0.00091975108025277742,-0.00018288551737424174
0.00455715,0.1302870244107906,0.057855698925026747,0.0093978563348205493,0.004009508045236772,0.0021675712332031509,0.00094404247626070446,-0.00015538876415768758
0.00460778,0.12543962356664903,0.059641649827239643,0.0094401921514111389,0.0040529663387104883,0.0021676644648273738,0.00095429842475497806,-0.00010418911795870436
0.00465842,0.12072085649055943,0.061503748578284112,0.0094444112063921514,0.004077832217232292,0.0021653594056644486,0.00095061945059370806,-3.1731830551557845e-05
0.00470906,0.11614503428992379,0.063476051815957751,0.009422553489476489,0.0040867108483583943,0.0021609561946294934,0.00093678473767914582,5.7709127375892331e-05
0.00475969,0.11171473573151045,0.065619913248478795,0.0093899796615188359,0.0040831514141517703,0.0021557265232535873,0.00091746464438867002,0.00015245161488532845
0.00481032,0.10740169264744558,0.068019596596415682,0.0093650830936250987,0.0040709154966330858,0.0021511982037651675,0.00089606194830076362,0.00022895413876936751
0.00486096,0.10312624407703687,0.070770010791061294,0.0093630578190792152,0.0040524661141172836,0.0021497196077312928,0.00087646705756530552,0.00029341412843899304
0.00491159,0.098741784246447126,0.073960261315022063,0.0093963328574338239,0.0040310200620432184,0.0021517775878030594,0.00086108790943805087,0.00034843953176086351
0.00496223,0.094054066528182226,0.077659746307307237,0.0094723170075079032,0.0040093060300189724,0.0021577945181766394,0.00085120912967869835,0.00039371664738459397
0.00501287,0.088865581736873478,0.081904454693115206,0.0095932785338927237,0.0039894963441227714,0.0021679158544754482,0.00084731963836330126,0.00042823861439822696
0.0050635,0.083061073717863643,0.086687813002704006,0.0097543696931102035,0.0039723685764924219,0.0021816303092666422,0.00084848753182164031,0.00046485559052038532
0.00511413,0.076689211607381902,0.091960145941753446,0.0099419946941006424,0.0039553453972985732,0.0021946538441724047,0.00085023875059459181,0.00048379622941310168
0.00516477,0.070056027640255022,0.097658712268377468,0.010151477785122154,0.0039483595717284235,0.0022151806237973191,0.00085935381843106704,0.00047299839475776985
0.00521541,0.063642074490971048,0.10369777392747975,0.010364271716170435,0.00395027357149123,0.0022411141217661351,0.00087256557624730492,0.00044519388240527274
0.00526604,0.058002919677661371,0.10999426388927044,0.010565246819724754,0.0039610427379307318,0.0022680110091477888,0.00088698296078096122,0.00040240297239103933
0.00531667,0.053610839693320145,0.1164795154451968,0.01073911218206876,0.0039783159285990289,0.0022922977333924999,0.000898264866141731,0.00034287773250809487
0.00536731,0.050860721864968428,0.12312938297650117,0.010882154987825658,0.0040077108347428038,0.0023183524688037607,0.00091065106152936207,0.00029332431427423259
0.00541794,0.049927960257244948,0.12995186441286616,0.010988187760285484,0.0040466527516131523,0.0023432734908924915,0.0009207163057095469,0.00024987354855832079
0.00546858,0.050714951483775229,0.13699010058132827,0.011058461970281151,0.0040940037271055231,0.0023664544365264344,0.00092825654995297706,0.00020828780667801565
0.00551922,0.052891168463582522,0.14432010233850684,0.011098838265294385,0.0041486855721748405,0.0023868568703827365,0.00093369137795968802,0.00017128049876013169
0.00556985,0.056004521600790752,0.15202912936000199,0.011119104789219066,0.0042090479012630707,0.0024040002159322537,0.00093757061758452278,0.00014347023910572852
0.00562048,0.059400084085036206,0.16019741262148146,0.011131954081758473,0.0042731097735524276,0.0024158702882552943,0.00094074809642689613,0.00013062540410474965
0.00567112,0.062410190912399841,0.16887973815284338,0.011150370459466498,0.0043376332114010248,0.0024296800991791758,0.00094371047294868017,8.579039972171538e-05
0.00572176,0.064396975539980111,0.17809139577661443,0.011185362598372524,0.0044004257108307947,0.0024434109512669606,0.00094681092645153395,9.3065879313229195e-05
0.00577239,0.06483720132758064,0.18779758428708013,0.011244092029071487,0.0044577911489914659,0.0024568195119032358,0.00094991312288279773,0.00013319144399022082
0.00582302,0.063395954557840695,0.19790882039067426,0.011330821649568888,0.0045077454800388607,0.002470037636273373,0.00095338699478919207,0.00019062770028569338
0.00587366,0.059982200143536515,0.20828067622427773,0.011447776157623888,0.004548818507416081,0.0024830351461409103,0.00095739478633667034,0.00024680928249681903
0.00592429,0.054813895861833717,0.21872601901361488,0.011594286807210023,0.0045812360230974257,0.0024960207458803786,0.00096212124111343187,0.00029003235783186957
0.00597493,0.048298912180513749,0.2290254338424618,0.011764618279401746,0.0046038047535514586,0.0025069636387468931,0.0009654751055584367,0.00031905158207655871
0.00602557,0.041053054758164009,0.23895399847668908,0.011957375909837793,0.0046213472386485051,0.0025193235022550769,0.00097055958577369156,0.00033907367465386886
0.0060762,0.033772970083905944,0.24828838314639318,0.012165680416839818,0.0046350023333413945,0.0025317050492952046,0.00097667699910551956,0.00035064020770002075
0.00612683,0.027098327743849016,0.25682496137272448,0.012380490237416303,0.0046438483726018703,0.0025413483464979134,0.00098141341765291159,0.00034830226616843678
