Physical Time (s),xth_bot Monitor (kg-m/s^3): bot_cv1,xth_bot Monitor (kg-m/s^3): bot_cv2,xth_bot Monitor (kg-m/s^3): bot_cv3,xth_bot Monitor (kg-m/s^3): bot_cv4,xth_bot Monitor (kg-m/s^3): bot_cv5,xth_bot Monitor (kg-m/s^3): bot_cv6,xth_bot Monitor (kg-m/s^3): bot_cv7
0.00339254,7.2647436365651023e-15,4.3801818621014085e-15,1.9719125695635568e-15,3.9804909904746268e-16,2.0933873810228993e-15,3.4338923380484014e-15,5.9688462673162075e-15
0.00344318,-3.7413278566431057e-15,-5.6639313366900243e-15,-3.9437079014214855e-15,-5.2975915324490959e-15,-5.7821999472352437e-15,-6.3157834830407665e-15,-9.4622960127111775e-15
0.00349381,1.4287509503290268e-14,1.2167023001033917e-14,1.2213989111888346e-14,1.1393338871054328e-14,1.101444132375181e-14,1.0136555145821241e-14,1.1862195937753219e-14
0.00354445,-2.3986071373881327e-15,-1.785445507319527e-15,-4.8313037657671857e-15,-5.1740899223835153e-15,-4.7794357438525768e-15,-5.1522117678479179e-15,-8.5577778497913837e-15
0.00359509,9.6512089227346284e-16,-2.2134493018359e-15,-3.1852052598975384e-15,-2.5893835371842222e-15,-2.5739557053097625e-15,-2.0746995887990465e-15,3.3655100879550143e-15
0.00364572,-9.1876913304044385e-15,-9.5205659104843203e-15,-1.1411475561823884e-14,-1.4085676733269583e-14,-1.5283766193556902e-14,-1.4426339100324532e-14,-1.2585721707730555e-14
0.00369636,-4.1241406061395032e-16,1.3562179542236677e-16,-1.3093731034861361e-15,5.9182295263315596e-16,3.4700581395866412e-16,-5.5496377272834551e-16,-3.206995091199474e-15
0.00374699,2.3330671874976381e-15,1.7697570765832755e-15,7.8488266802889234e-16,-1.4124335619434386e-15,-1.1582437233772561e-15,-9.4683272512177917e-16,3.1048686115867544e-15
0.00379762,-1.0267341707715328e-14,-1.1091349281244048e-14,-1.1900280127597195e-14,-1.2233796833660128e-14,-1.3505091693187919e-14,-1.3947305890752432e-14,-1.4732693106886303e-14
0.00384826,-1.0188649167584283e-14,-1.0025387508542333e-14,-1.4588109314220998e-14,-1.3875613680864491e-14,-1.3199680094237651e-14,-1.3058397084943892e-14,-1.2061232314119261e-14
