Physical Time (s),ea_left Monitor (kg-m/s^3)
0.01969701,-0.0017585601110343455
0.01974765,-0.0017653659838238805
0.01979828,-0.0017719338548565456
0.01984892,-0.0017782480018868289
0.01989955,-0.0017842953429096991
0.01995019,-0.0017900656589474684
0.02000082,-0.0017955520289920778
0.02005146,-0.0018007511697568839
0.0201021,-0.001805664134493712
0.02015273,-0.0018102963162766454
0.02020337,-0.0018146580328216278
0.020254,-0.0018187645759021142
0.02030463,-0.0018226363781607873
0.02035527,-0.001826298457764647
0.0204059,-0.0018297805893241275
0.02045654,-0.0018331171757291537
0.02050717,-0.001836346465793391
0.02055781,-0.0018395107023806247
0.02060844,-0.0018426559482611522
0.02065908,-0.0018458317212510862
0.02070972,-0.0018490902571292537
0.02076035,-0.0018524863710760299
0.02081099,-0.0018560766846948398
0.02086162,-0.0018599186513244697
0.02091226,-0.0018640696583931676
0.02096289,-0.0018685860020122092
0.02101352,-0.0018735216977881044
0.02106416,-0.0018789273579599731
0.02111479,-0.0018848492230787444
0.02116543,-0.0018913285590555174
0.02121606,-0.0018984004345948041
0.0212667,-0.0019060927129990191
0.02131733,-0.0019144258971995759
0.02136797,-0.0019234121190587008
0.02141861,-0.0019330545882077538
0.02146924,-0.0019433477666283439
0.02151988,-0.0019542767003711318
0.02157051,-0.001965816907863105
0.02162114,-0.0019779349826649045
0.02167178,-0.0019905882969203205
0.02172241,-0.002003725323493322
0.02177305,-0.0020172864549290919
0.02182368,-0.0020312045239209097
0.02187432,-0.0020454053248678303
0.02192495,-0.0020598085138418391
0.02197559,-0.002074328840829206
0.02202622,-0.0020888773501986794
0.02207686,-0.0021033626806474283
0.0221275,-0.002117692684443246
0.02217813,-0.0021317755409273461
0.02222877,-0.0021455211265674146
0.0222794,-0.002158842631101509
0.02233003,-0.0021716571896135163
0.02238067,-0.0021838870270409812
0.0224313,-0.0021954604776250166
0.02248194,-0.002206311941675863
0.02253257,-0.0022163827000041139
0.02258321,-0.0022256212327869582
0.02263384,-0.0022339835126718973
0.02268448,-0.0022414332971874909
0.02273512,-0.0022479420487756399
0.02278575,-0.002253489094081588
0.02283639,-0.0022580616923901006
0.02288702,-0.0022616549789321871
0.02293765,-0.0022642718681514617
0.02298829,-0.002265923035209806
0.02303892,-0.0022666266817479436
0.02308956,-0.002266408168114208
0.02314019,-0.0022653001275115361
0.02319083,-0.0022633418843410174
0.02324146,-0.0022605791510770445
0.0232921,-0.0022570635477339386
0.02334273,-0.0022528521928241252
0.02339337,-0.0022480071092284325
0.02344401,-0.0022425944934249711
0.02349464,-0.0022366842028986563
0.02354528,-0.0022303494343266033
0.02359591,-0.0022236660555769948
0.02364654,-0.0022167114109790977
0.02369718,-0.0022095643397152002
0.02374781,-0.0022023038614764935
0.02379845,-0.0021950090986178703
0.02384908,-0.0021877584194362845
0.02389972,-0.0021806282478792644
0.02395035,-0.0021736927740727296
0.02400099,-0.0021670235258880273
0.02405163,-0.0021606878203496264
0.02410226,-0.0021547490859545673
0.0241529,-0.0021492656891159588
0.02420353,-0.0021442910785380844
0.02425417,-0.0021398729169307537
0.0243048,-0.0021360536115418785
0.02435543,-0.0021328698398211669
0.02440607,-0.0021303528151737027
0.0244567,-0.0021285285103347963
0.02450734,-0.0021274174110743399
0.02455797,-0.0021270350835053647
0.02460861,-0.0021273923715303873
0.02465924,-0.0021284958298688596
0.02470988,-0.0021303476044820624
0.02476052,-0.0021329461044593116
0.02481115,-0.0021362858665591915
0.02486179,-0.002140357710351086
0.02491242,-0.0021451484292099128
0.02496305,-0.0021506404870034607
0.02501369,-0.0021568124541369808
0.02506432,-0.0021636388132023881
0.02511496,-0.0021710900485912093
0.02516559,-0.0021791326945826842
0.02521623,-0.0021877298100053911
0.02526686,-0.002196841606406476
0.0253175,-0.0022064252665409821
0.02536813,-0.0022164358626149479
0.02541877,-0.0022268265805593375
0.02546941,-0.0022375485583949382
0.02552004,-0.0022485508836859232
0.02557068,-0.0022597807710017428
0.02562131,-0.0022711838386571658
0.02567194,-0.0022827042418339899
0.02572258,-0.0022942852430528262
0.02577321,-0.0023058699419256697
0.02582385,-0.0023174021086695114
0.02587448,-0.0023288270050557083
0.02592512,-0.0023400922746991629
0.02597575,-0.0023511483995157893
0.02602639,-0.0023619498377861676
0.02607703,-0.0023724555929720693
0.02612766,-0.0023826296531037315
0.0261783,-0.0023924414263160592
0.02622893,-0.0024018663627446844
0.02627956,-0.0024108863984603395
0.0263302,-0.0024194900812725649
0.02638083,-0.0024276730345427575
0.02643147,-0.0024354382337056111
0.0264821,-0.0024427960032609741
0.02653274,-0.0024497637576129236
0.02658337,-0.0024563659567069774
0.02663401,-0.002462633728051731
0.02668464,-0.0024686039980971837
0.02673528,-0.0024743187978872806
0.02678592,-0.0024798248069119976
0.02683655,-0.0024851728659208627
0.02688719,-0.0024904176736735843
0.02693782,-0.002495616772419427
0.02698845,-0.0025008301234636342
0.02703909,-0.0025061202696790592
0.02708972,-0.002511550734279026
0.02714036,-0.0025171859334115797
0.02719099,-0.002523090182012396
0.02724163,-0.0025293263915973918
0.02729226,-0.0025359561838162225
0.0273429,-0.0025430380105549025
0.02739354,-0.0025506269043723741
0.02744417,-0.0025587735107534884
0.02749481,-0.0025675229317009152
0.02754544,-0.0025769147848402323
0.02759607,-0.002586981700118219
0.02764671,-0.0025977490581585378
0.02769734,-0.0026092340172920109
0.02774798,-0.0026214451450508715
0.02779861,-0.0026343821695047802
0.02784925,-0.0026480353073193891
0.02789988,-0.0026623852498759977
0.02795052,-0.0026774030257039651
0.02800115,-0.0026930497202326377
0.02805179,-0.0027092755980282074
0.02810243,-0.0027260209328590756
0.02815306,-0.0027432154434168543
0.0282037,-0.0027607781691172759
0.02825433,-0.0027786178331917558
0.02830496,-0.0027966331439149119
0.0283556,-0.0028147121498894295
0.02840623,-0.0028327342957563751
0.02845687,-0.002850570256910121
0.0285075,-0.0028680828245622575
0.02855814,-0.0028851280806007646
0.02860877,-0.0029015570754363684
0.02865941,-0.0029172178059689016
0.02871005,-0.0029319570421148305
0.02876068,-0.0029456223957247786
0.02881132,-0.0029580645150415578
0.02886195,-0.0029691397757948255
0.02891259,-0.002978713338033661
0.02896322,-0.002986660818886423
0.02901385,-0.0029928721285775103
0.02906449,-0.0029972537970951014
0.02911512,-0.0029997313972708398
0.02916576,-0.0030002524421822788
0.02921639,-0.0029987863564435169
0.02926703,-0.0029953267309648758
0.02931766,-0.0029898911301193933
0.0293683,-0.0029825212397435923
0.02941894,-0.0029732829438238618
0.02946957,-0.0029622660378204463
0.02952021,-0.0029495841577523102
0.02957084,-0.0029353730507308239
0.02962147,-0.002919791092057613
0.02967211,-0.0029030160247744434
0.02972274,-0.0028852467051111871
0.02977338,-0.002866698515262253
0.02982401,-0.0028476000699730018
0.02987465,-0.0028281909838050387
0.02992528,-0.0028087189660178364
0.02997592,-0.0027894347448299303
0.03002655,-0.0027705882935056127
0.03007719,-0.0027524232004684113
0.03012783,-0.0027351713559668339
0.03017846,-0.002719049224978406
0.0302291,-0.0027042520170994875
0.03027973,-0.0026909496971968669
0.03033036,-0.0026792830397215483
0.030381,-0.0026693608957186017
0.03043163,-0.0026612557504406453
0.03048227,-0.0026549998574600256
0.0305329,-0.0026505832375161818
0.03058354,-0.0026479527391829703
0.03063417,-0.0026470108014234614
0.03068481,-0.0026476186476590492
0.03073545,-0.0026496002317657258
0.03078608,-0.0026527491810577914
0.03083672,-0.0026568363624235895
0.03088735,-0.0026616200678367761
0.03093798,-0.0026668563510298341
0.03098862,-0.0026723088846852595
0.03103925,-0.0026777590563551007
0.03108989,-0.0026830136322017026
0.03114052,-0.0026879104565026238
0.03119116,-0.0026923222981936027
0.03124179,-0.0026961569792248526
0.03129243,-0.002699356171944868
0.03134306,-0.0027018922737660589
0.0313937,-0.0027037635327739184
0.03144433,-0.0027049894225989633
