Physical Time (s),aphi_alt_flux_top Monitor (kg-m/s^3): top_cv1,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv2,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv3,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv4,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv5,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv6,aphi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.00496223,4.9090334405516333e-07,1.1151282149123299e-07,-9.4522592576460954e-07,-1.4784989897767294e-06,-1.6216713620824908e-06,-1.6549008166193353e-06,-1.6508942863420234e-06
0.00501287,4.945747400879459e-07,1.103337142350178e-07,-9.5033200539308436e-07,-1.4857027417997822e-06,-1.6290858050912765e-06,-1.6626880157543748e-06,-1.655625105403522e-06
0.0050635,4.9884457564947428e-07,1.106965137192159e-07,-9.5807432020402801e-07,-1.4981598698002826e-06,-1.6417157101722104e-06,-1.676177983935611e-06,-1.6655411865304284e-06
0.00511413,4.9645763080600243e-07,1.070698090501891e-07,-9.6866967977504272e-07,-1.5134026391807038e-06,-1.6555162546293361e-06,-1.6891520950428015e-06,-1.6722561705096459e-06
0.00516477,5.0305524962137901e-07,1.1111420217266729e-07,-9.7698810275039407e-07,-1.5315651203527771e-06,-1.6741424318159992e-06,-1.7094751734932569e-06,-1.6894231152415342e-06
0.00521541,5.1262574182789748e-07,1.1765026660969586e-07,-9.8453642107031976e-07,-1.5521660862822838e-06,-1.6962649874211544e-06,-1.7346096307694332e-06,-1.7140590522362497e-06
0.00526604,5.2365356598560602e-07,1.254927539177607e-07,-9.8948802499020712e-07,-1.5716434008266029e-06,-1.7176862215706264e-06,-1.7594391425400859e-06,-1.7403850815213971e-06
0.00531667,5.3091612609714761e-07,1.3067944055536142e-07,-9.9183632043576522e-07,-1.5870197469258175e-06,-1.7340490033724451e-06,-1.7778121886902187e-06,-1.7598428408313811e-06
0.00536731,5.4207470832217493e-07,1.384314722822184e-07,-9.904081615992425e-07,-1.5994703462745012e-06,-1.7484254340460993e-06,-1.7952353235597089e-06,-1.7815971923804796e-06
0.00541794,5.5252668137485942e-07,1.4479924871851846e-07,-9.8636677048415e-07,-1.6076675135732684e-06,-1.758275523880038e-06,-1.8078378923122719e-06,-1.7993739713547054e-06
0.00546858,5.6133236702129411e-07,1.485388876570431e-07,-9.8092943036788974e-07,-1.6120860202193526e-06,-1.7640001930672389e-06,-1.8157355495667687e-06,-1.8125510040241359e-06
0.00551922,5.6841461578479964e-07,1.4923683155292603e-07,-9.7536650302378463e-07,-1.6137915664039962e-06,-1.7666288265595664e-06,-1.8201196988275205e-06,-1.8219234499329813e-06
0.00556985,5.74130702110143e-07,1.4695483579448714e-07,-9.7048417653357618e-07,-1.6137590600476355e-06,-1.7669577474765529e-06,-1.8221136313386551e-06,-1.8283401517318113e-06
0.00562048,5.7958272192797079e-07,1.4251236748819631e-07,-9.6663454559119876e-07,-1.6130246049033856e-06,-1.766374991880911e-06,-1.823170780714109e-06,-1.8331826213666723e-06
0.00567112,5.8546635444967928e-07,1.3615939847164802e-07,-9.6427994630204974e-07,-1.611931486693464e-06,-1.7654372143560977e-06,-1.8238367398020938e-06,-1.8366900587025735e-06
0.00572176,5.9247796977324554e-07,1.2895545063871877e-07,-9.634506525497535e-07,-1.6112825102692631e-06,-1.7646949397256245e-06,-1.8246196856466565e-06,-1.8391801459867902e-06
0.00577239,6.0116876961623474e-07,1.2152538975539553e-07,-9.6373907747367052e-07,-1.6109150654353828e-06,-1.7639623195742235e-06,-1.8251994654516248e-06,-1.8401941041003763e-06
0.00582302,6.1187685198798602e-07,1.1422724285526138e-07,-9.6456313146966477e-07,-1.6104070097080962e-06,-1.7627784424593691e-06,-1.8249501259863251e-06,-1.8391381267668127e-06
0.00587366,6.2488381180443246e-07,1.07342844712351e-07,-9.6507770811779762e-07,-1.6090007835300787e-06,-1.7603274076630653e-06,-1.8228873243046364e-06,-1.8351960554554172e-06
