Physical Time (s),phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,phi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.00415207,5.170091055830477e-07,2.5691993349265302e-07,-8.2407348596249734e-07,-1.2725403452740616e-06,-1.381805292324161e-06,-1.3884187951745669e-06,-1.3897298932796868e-06
0.00420271,5.148025276921429e-07,2.5357078727000113e-07,-8.4560000159518634e-07,-1.3028627655653373e-06,-1.4149456122175603e-06,-1.4240090741421861e-06,-1.4275350187649894e-06
0.00425334,5.1552745814103316e-07,2.4952414664376604e-07,-8.6751012455988501e-07,-1.3366845058665929e-06,-1.4524129575757979e-06,-1.4648631800531683e-06,-1.4689166352320579e-06
0.00430397,5.1624279179171908e-07,2.4278866597526849e-07,-8.8901448321346067e-07,-1.3720622082679784e-06,-1.4917533676810564e-06,-1.5078046949315462e-06,-1.511100748810515e-06
0.00435461,5.181119786894971e-07,2.3516498911308063e-07,-9.0753077766155808e-07,-1.4059968242927614e-06,-1.5300854500126351e-06,-1.5497226031321415e-06,-1.5511350359797088e-06
0.00440524,5.1986273064030831e-07,2.2689852936882658e-07,-9.2203433900650508e-07,-1.4362509448018133e-06,-1.5648546796507348e-06,-1.5876460722401424e-06,-1.5866653187469661e-06
0.00445588,5.2029413817680398e-07,2.1607040521752536e-07,-9.3237529972710455e-07,-1.4615627165452723e-06,-1.5945992881516408e-06,-1.6198437106603533e-06,-1.6165355271420694e-06
0.00450651,5.1855470432496378e-07,2.0320047232990698e-07,-9.3861227272863452e-07,-1.4808404124220129e-06,-1.6179667147364267e-06,-1.6446687775266997e-06,-1.6396492582004068e-06
0.00455715,5.1427804089523532e-07,1.88916146610713e-07,-9.4122960952851471e-07,-1.493704164047854e-06,-1.6343859122782197e-06,-1.6615040048612227e-06,-1.6555920697321118e-06
0.00460778,5.0998472828478102e-07,1.7623293794170756e-07,-9.3861563348192084e-07,-1.4980736161316087e-06,-1.6416955039150664e-06,-1.6681967583080907e-06,-1.6623090954209548e-06
