Physical Time (s),ev_bot Monitor (kg-m/s^3): bot_cv1,ev_bot Monitor (kg-m/s^3): bot_cv2,ev_bot Monitor (kg-m/s^3): bot_cv3,ev_bot Monitor (kg-m/s^3): bot_cv4,ev_bot Monitor (kg-m/s^3): bot_cv5,ev_bot Monitor (kg-m/s^3): bot_cv6,ev_bot Monitor (kg-m/s^3): bot_cv7
0.00354445,4.8144424032153501e-07,3.2395353635102189e-07,-8.7659120834355554e-08,-2.0093836590048787e-07,-2.1883155854292419e-07,-2.2150516692388479e-07,-2.4867982804093481e-07
0.00359509,4.8318997053883379e-07,3.2170372199646859e-07,-1.1340197695086822e-07,-2.3633043779107429e-07,-2.5515683829238395e-07,-2.5860825864812567e-07,-2.8155919884543935e-07
0.00364572,4.8500670743777775e-07,3.2133949590689971e-07,-1.3189927303914194e-07,-2.645731113178552e-07,-2.8463519181962398e-07,-2.8859975203604996e-07,-3.072191440835844e-07
0.00369636,4.8813664025738014e-07,3.2351534727271278e-07,-1.4250198981340026e-07,-2.8452214503257229e-07,-3.0614893824758771e-07,-3.1045130795991508e-07,-3.246321953556535e-07
0.00374699,4.9361982915792893e-07,3.2862458280066953e-07,-1.45626468712312e-07,-2.9616619434719727e-07,-3.1967560566860128e-07,-3.2424482389821636e-07,-3.3394058387968626e-07
0.00379762,5.0213467771365303e-07,3.3673147786215543e-07,-1.4261984869063622e-07,-3.0056334997045757e-07,-3.2622515730390424e-07,-3.3107434003031243e-07,-3.3637266250965518e-07
0.00384826,5.1391308265639144e-07,3.4755105282427239e-07,-1.3552963572222396e-07,-2.996540966395519e-07,-3.2765833537476624e-07,-3.3285091153105952e-07,-3.340168550855265e-07
0.00389889,5.2873335245056433e-07,3.6049803933726529e-07,-1.2668857298232765e-07,-2.9585346035494857e-07,-3.2628911128146947e-07,-3.3190855548174021e-07,-3.293851052391283e-07
0.00394953,5.4590941862829283e-07,3.7470685635752687e-07,-1.1846328719142842e-07,-2.9176447544080473e-07,-3.246123423209354e-07,-3.3074309116345216e-07,-3.2509896654745351e-07
0.00400016,5.6446149278619102e-07,3.8921441132565763e-07,-1.1287322121607606e-07,-2.8974762057995844e-07,-3.2488851597977466e-07,-3.3160639437128412e-07,-3.2345589906509296e-07
0.0040508,5.831792650683213e-07,4.0301791848640061e-07,-1.1141904972633644e-07,-2.9168863761319502e-07,-3.2892461146522793e-07,-3.3629176067902442e-07,-3.2621060130819682e-07
0.00410143,6.0078825738467249e-07,4.1521364984648505e-07,-1.1489900681638184e-07,-2.9875138616334051e-07,-3.3783559263453055e-07,-3.4589631626455059e-07,-3.3435506065905528e-07
0.00415207,6.1616197836489391e-07,4.2515178949760205e-07,-1.2327851188233154e-07,-3.111895108468809e-07,-3.5185919582955397e-07,-3.6063658723841758e-07,-3.4796389818316739e-07
0.00420271,6.2847800850015332e-07,4.3250490704174951e-07,-1.3572025960410124e-07,-3.2833334006958452e-07,-3.7034066553507145e-07,-3.7983519839910958e-07,-3.6621737483053572e-07
0.00425334,6.3738427684860955e-07,4.3734173778678998e-07,-1.5066036408604759e-07,-3.4864108471685795e-07,-3.9177767907087826e-07,-4.0196952017330972e-07,-3.8748850196006611e-07
0.00430397,6.4308073335290571e-07,4.4010647508153302e-07,-1.6611399644270324e-07,-3.6999664518324579e-07,-4.1410819992782684e-07,-4.2496423997710114e-07,-4.09667570153028e-07
0.00435461,6.4632456632678947e-07,4.4158480901226524e-07,-1.7996503378561938e-07,-3.9001802365285469e-07,-4.3500779713992315e-07,-4.4649231338455608e-07,-4.3048165027172825e-07
0.00440524,6.4834890645698048e-07,4.4283768413986391e-07,-1.9024348926133115e-07,-4.0638131509481276e-07,-4.5220332884728069e-07,-4.6428859147435842e-07,-4.4780158512528761e-07
0.00445588,6.5072387104853208e-07,4.4512424930636812e-07,-1.9533378868370082e-07,-4.1708011171429363e-07,-4.6372497468366175e-07,-4.7640069561577197e-07,-4.5986110157901157e-07
0.00450651,6.5517860534292435e-07,4.4980886834840688e-07,-1.9407892047377772e-07,-4.2059073475559542e-07,-4.680675524464438e-07,-4.8134753477024666e-07,-4.653644197107226e-07
0.00455715,6.6340447045954342e-07,4.582454805263876e-07,-1.8583919452892858e-07,-4.1599196855849806e-07,-4.6431014003163518e-07,-4.7823586586742887e-07,-4.635384619720681e-07
0.00460778,6.7688322166322526e-07,4.7166335852769701e-07,-1.704221919271013e-07,-4.029397691523855e-07,-4.5209302020347147e-07,-4.6673431526981957e-07,-4.5406642934524375e-07
0.00465842,6.9674619525637178e-07,4.910537093715825e-07,-1.4803954525134224e-07,-3.8164941920233139e-07,-4.3161113356302774e-07,-4.4706382904852218e-07,-4.3705853362301639e-07
0.00470906,7.2364660457890172e-07,5.1703812855121613e-07,-1.1927247026070133e-07,-3.5286247609956616e-07,-4.0358208419384313e-07,-4.1996445492092696e-07,-4.1303212007439422e-07
0.00475969,7.5765760576481232e-07,5.497424432063562e-07,-8.5062172458450004e-08,-3.1781055388857346e-07,-3.6922074801289616e-07,-3.8666629540780228e-07,-3.8294015101698008e-07
0.00481032,7.9821527197305319e-07,5.8870892298502122e-07,-4.6710536311844455e-08,-2.7817733647276074e-07,-3.3020752803231232e-07,-3.4885660703394833e-07,-3.4821855360675805e-07
